Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.481263,[20 13] ; [ 4 42],[10.02531646 22.97468354] ; [13.97468354 32.02531646],1
s2,1,0.000192,13.905185,[22 11] ; [11 34],[13.96153846 19.03846154] ; [19.03846154 25.96153846],1
s3,1,0.000441,12.349594,[22 10] ; [12 31],[14.50666667 17.49333333] ; [19.49333333 23.50666667],1
u3,1,0.005835,7.600568,[8 3] ; [ 7 21],[4.23076923 6.76923077] ; [10.76923077 17.23076923],0
n5,1,0.007341,7.187532,[24  7] ; [21 24],[18.35526316 12.64473684] ; [26.64473684 18.35526316],0
a3,1,0.011701,6.355556,[22 11] ; [17 28],[16.5 16.5] ; [22.5 22.5],0
s4,1,0.017077,5.688485,[12 21] ; [ 6 39],[ 7.61538462 25.38461538] ; [10.38461538 34.61538462],0
p4,1,0.019247,5.478957,[21 12] ; [17 29],[15.87341772 17.12658228] ; [22.12658228 23.87341772],0
p6,1,0.022877,5.177795,[13 19] ; [ 8 38],[ 8.61538462 23.38461538] ; [12.38461538 33.61538462],0
d4,1,0.024593,5.052295,[27  6] ; [26 19],[22.42307692 10.57692308] ; [30.57692308 14.42307692],0
n4,1,0.033852,4.502154,[23 10] ; [21 25],[18.37974684 14.62025316] ; [25.62025316 20.37974684],0
n3,1,0.035819,4.405695,[5 8] ; [15  5],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
a5,1,0.037753,4.316117,[20 13] ; [17 29],[15.4556962 17.5443038] ; [21.5443038 24.4556962],0
b2,1,0.064976,3.405598,[10 17] ; [ 3 19],[ 7.16326531 19.83673469] ; [ 5.83673469 16.16326531],0
b3,1,0.064976,3.405598,[10 17] ; [ 3 19],[ 7.16326531 19.83673469] ; [ 5.83673469 16.16326531],0
v3,1,0.066127,3.376623,[ 9 24] ; [ 5 40],[ 5.92307692 27.07692308] ; [ 8.07692308 36.92307692],0
s6,1,0.06639,3.37009,[21 11] ; [20 25],[17.03896104 14.96103896] ; [23.96103896 21.03896104],0
d5,1,0.096903,2.755792,[24  9] ; [25 21],[20.46835443 12.53164557] ; [28.53164557 17.46835443],0
s5,1,0.122277,2.387914,[10 20] ; [ 8 37],[ 7.2 22.8] ; [10.8 34.2],0
p8,1,0.122626,2.383456,[16 16] ; [15 31],[12.71794872 19.28205128] ; [18.28205128 27.71794872],0
p10,1,0.137608,2.20451,[25  7] ; [28 17],[22.02597403  9.97402597] ; [30.97402597 14.02597403],0
b4,1,0.153422,2.037895,[14 19] ; [27 19],[17.12658228 15.87341772] ; [23.87341772 22.12658228],0
d2,1,0.170315,1.880165,[12 21] ; [10 35],[ 9.30769231 23.69230769] ; [12.69230769 32.30769231],0
p11,1,0.190384,1.714644,[26  7] ; [30 16],[23.39240506  9.60759494] ; [32.60759494 13.39240506],0
p7,1,0.271341,1.209954,[19 13] ; [21 24],[16.62337662 15.37662338] ; [23.37662338 21.62337662],0
a7,1,0.281562,1.159537,[15 18] ; [26 19],[17.34615385 15.65384615] ; [23.65384615 21.34615385],0
