Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.010229,6.594644,[3 5] ; [34  8],[5.92 2.08] ; [31.08 10.92],0
a5,1,0.012161,6.287202,[2 6] ; [30 12],[5.12 2.88] ; [26.88 15.12],0
s3,1,0.01865,5.533996,[2 6] ; [29 13],[4.96 3.04] ; [26.04 15.96],0
a3,1,0.031511,4.624916,[2 6] ; [27 14],[4.73469388 3.26530612] ; [24.26530612 16.73469388],0
d5,1,0.06028,3.529657,[4 4] ; [34  8],[6.08 1.92] ; [31.92 10.08],0
r3,1,0.070318,3.275581,[5 3] ; [37  5],[6.72 1.28] ; [35.28  6.72],0
p9,1,0.076504,3.137651,[5 3] ; [36  5],[6.69387755 1.30612245] ; [34.30612245  6.69387755],0
r4,1,0.091306,2.851203,[4 4] ; [33  9],[5.92 2.08] ; [31.08 10.92],0
a4,1,0.104958,2.628547,[1 7] ; [18 24],[3.04 4.96] ; [15.96 26.04],0
n6,1,0.11726,2.453542,[5 3] ; [36  6],[6.56 1.44] ; [34.44  7.56],0
b4,1,0.11726,2.453542,[5 3] ; [36  6],[6.56 1.44] ; [34.44  7.56],0
d1,1,0.122823,2.380952,[2 6] ; [23 19],[4. 4.] ; [21. 21.],0
s7,1,0.122839,2.380743,[2 5] ; [24 16],[3.87234043 3.12765957] ; [22.12765957 17.87234043],0
u2,1,0.12506,2.352778,[5 1] ; [7 8],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
p6,1,0.174058,1.847643,[2 6] ; [21 20],[3.75510204 4.24489796] ; [19.24489796 21.75510204],0
p5,1,0.189755,1.71952,[3 5] ; [ 7 34],[1.63265306 6.36734694] ; [ 8.36734694 32.63265306],0
p11,1,0.197029,1.664259,[7 1] ; [27 15],[5.44 2.56] ; [28.56 13.44],0
v2,1,0.219013,1.510825,[2 6] ; [19 20],[3.57446809 4.42553191] ; [17.42553191 21.57446809],0
p10,1,0.264685,1.244085,[5 3] ; [33  8],[6.20408163 1.79591837] ; [31.79591837  9.20408163],0
p4,1,0.287802,1.129877,[6 2] ; [23 19],[4.64 3.36] ; [24.36 17.64],0
b1,1,0.287802,1.129877,[2 6] ; [19 23],[3.36 4.64] ; [17.64 24.36],0
n2,1,0.288425,1.126961,[1 1] ; [14  3],[1.57894737 0.42105263] ; [13.42105263  3.57894737],0
d3,1,0.297249,1.086495,[4 4] ; [29 13],[5.28 2.72] ; [27.72 14.28],0
p12,1,0.398304,0.713441,[1 7] ; [ 2 40],[0.48 7.52] ; [ 2.52 39.48],0
s8,1,0.408501,0.68316,[2 6] ; [17 25],[3.04 4.96] ; [15.96 26.04],0
a6,1,0.440401,0.595238,[5 3] ; [20 22],[4. 4.] ; [21. 21.],0
p1,1,0.468078,0.52651,[2 6] ; [ 6 35],[1.30612245 6.69387755] ; [ 6.69387755 34.30612245],0
s4,1,0.479427,0.500165,[2 6] ; [16 26],[2.88 5.12] ; [15.12 26.88],0
b3,1,0.510671,0.432692,[1 3] ; [11 15],[1.6 2.4] ; [10.4 15.6],0
b2,1,0.510671,0.432692,[1 3] ; [11 15],[1.6 2.4] ; [10.4 15.6],0
a7,1,0.528733,0.396825,[4 4] ; [26 16],[4.8 3.2] ; [25.2 16.8],0
b5,1,0.598667,0.277011,[3 5] ; [20 22],[3.68 4.32] ; [19.32 22.68],0
n5,1,0.616924,0.250215,[4 4] ; [25 17],[4.64 3.36] ; [24.36 17.64],0
v4,1,0.624311,0.239854,[7 1] ; [38  3],[7.34693878 0.65306122] ; [37.65306122  3.34693878],0
u3,1,0.675706,0.175,[3 3] ; [9 6],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
p8,1,0.69627,0.152381,[3 5] ; [18 22],[3.5 4.5] ; [17.5 22.5],0
n4,1,0.709131,0.139147,[4 4] ; [24 18],[4.48 3.52] ; [23.52 18.48],0
s6,1,0.72462,0.124109,[6 2] ; [33  8],[6.36734694 1.63265306] ; [32.63265306  8.36734694],0
d4,1,0.768278,0.086806,[7 1] ; [35  7],[6.72 1.28] ; [35.28  6.72],0
p7,1,0.795558,0.067133,[4 4] ; [22 18],[4.33333333 3.66666667] ; [21.66666667 18.33333333],0
n1,1,0.811055,0.057152,[1 1] ; [ 7 10],[0.84210526 1.15789474] ; [7.15789474 9.84210526],0
d2,1,0.874862,0.024802,[3 5] ; [17 25],[3.2 4.8] ; [16.8 25.2],0
a1,1,0.89387,0.017798,[1 7] ; [ 6 36],[1.12 6.88] ; [ 5.88 36.12],0
v3,1,0.938598,0.005934,[2 6] ; [10 28],[2.08695652 5.91304348] ; [ 9.91304348 28.08695652],0
v1,1,0.949673,0.003984,[4 4] ; [21 20],[4.08163265 3.91836735] ; [20.91836735 20.08163265],0
p2,1,0.970735,0.001346,[6 2] ; [31 10],[6.04081633 1.95918367] ; [30.95918367 10.04081633],0
p3,1,1.0,0.0,[4 4] ; [21 21],[4. 4.] ; [21. 21.],0
