Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,69.16951,[450  99] ; [37 52],[419.06426332 129.93573668] ; [67.93573668 21.06426332],1
n4,1,0.0,51.058726,[459  92] ; [45 45],[433.23556942 117.76443058] ; [70.76443058 19.23556942],1
p10,1,1e-05,19.59126,[511  38] ; [70 19],[499.95141066  49.04858934] ; [81.04858934  7.95141066],1
r4,1,6.5e-05,15.944879,[512  39] ; [72 18],[502.00312012  48.99687988] ; [81.99687988  8.00312012],1
p11,1,7.6e-05,15.652248,[472  79] ; [62 28],[459.02340094  91.97659906] ; [74.97659906 15.02340094],1
p8,1,0.000165,14.195379,[315 229] ; [32 56],[298.6835443 245.3164557] ; [48.3164557 39.6835443],1
a5,1,0.000682,11.536411,[443 108] ; [58 32],[430.65678627 120.34321373] ; [70.34321373 19.65678627],1
p2,1,0.000939,10.944779,[487  61] ; [67 21],[477.34591195  70.65408805] ; [76.65408805 11.34591195],1
p6,1,0.001414,10.187672,[232 313] ; [21 65],[218.51822504 326.48177496] ; [34.48177496 51.51822504],0
d2,1,0.001841,9.701183,[305 245] ; [34 56],[291.328125 258.671875] ; [47.671875 42.328125],0
p4,1,0.002001,9.548695,[362 187] ; [43 45],[349.05023548 199.94976452] ; [55.94976452 32.05023548],0
p3,1,0.002761,8.959047,[304 246] ; [34 55],[290.92331768 259.07668232] ; [47.07668232 41.92331768],0
a4,1,0.003451,8.552217,[287 263] ; [32 58],[274.140625 275.859375] ; [44.859375 45.140625],0
v3,1,0.005734,7.631976,[228 303] ; [22 60],[216.55791191 314.44208809] ; [33.44208809 48.55791191],0
s6,1,0.00576,7.623995,[389 150] ; [52 38],[377.89984102 161.10015898] ; [63.10015898 26.89984102],0
u1,1,0.007354,7.184504,[123 428] ; [ 9 81],[113.46645866 437.53354134] ; [18.53354134 71.46645866],0
v4,1,0.008738,6.875512,[531  17] ; [82  8],[526.52664577  21.47335423] ; [86.47335423  3.52664577],0
r3,1,0.008738,6.875512,[531  17] ; [82  8],[526.52664577  21.47335423] ; [86.47335423  3.52664577],0
a2,1,0.012063,6.301551,[155 396] ; [14 76],[145.27145086 405.72854914] ; [23.72854914 66.27145086],0
s7,1,0.012442,6.246841,[287 244] ; [34 52],[276.25769854 254.74230146] ; [44.74230146 41.25769854],0
r2,1,0.014335,5.996431,[520  22] ; [80  9],[515.37242472  26.62757528] ; [84.62757528  4.37242472],0
p7,1,0.016242,5.776453,[367 172] ; [46 38],[357.31460674 181.68539326] ; [55.68539326 28.31460674],0
s8,1,0.026809,4.903041,[276 272] ; [34 56],[266.26959248 281.73040752] ; [43.73040752 46.26959248],0
d5,1,0.030444,4.684017,[491  60] ; [73 17],[484.81123245  66.18876755] ; [79.18876755 10.81123245],0
s5,1,0.032429,4.575655,[206 320] ; [23 62],[197.14238953 328.85761047] ; [31.85761047 53.14238953],0
r1,1,0.033037,4.543866,[454  96] ; [65 24],[446.71361502 103.28638498] ; [72.28638498 16.71361502],0
d1,1,0.034838,4.453107,[397 154] ; [55 35],[388.53666147 162.46333853] ; [63.46333853 26.53666147],0
b5,1,0.042582,4.111923,[330 221] ; [64 26],[338.68018721 212.31981279] ; [55.31981279 34.68018721],0
b1,1,0.045176,4.012043,[185 366] ; [40 50],[193.40873635 357.59126365] ; [31.59126365 58.40873635],0
v2,1,0.052679,3.754073,[322 209] ; [41 42],[313.92996743 217.07003257] ; [49.07003257 33.92996743],0
a3,1,0.054966,3.683125,[428 120] ; [62 28],[420.87774295 127.12225705] ; [69.12225705 20.87774295],0
b3,1,0.060187,3.532222,[144 194] ; [15 37],[137.8 200.2] ; [21.2 30.8],0
b2,1,0.060187,3.532222,[144 194] ; [15 37],[137.8 200.2] ; [21.2 30.8],0
v1,1,0.073829,3.19576,[313 222] ; [42 45],[305.34565916 229.65434084] ; [49.65434084 37.34565916],0
a8,1,0.086662,2.935311,[ 78 422] ; [ 7 76],[ 72.89879931 427.10120069] ; [12.10120069 70.89879931],0
p5,1,0.091368,2.850097,[ 79 467] ; [ 7 82],[ 73.94645669 472.05354331] ; [12.05354331 76.94645669],0
p12,1,0.094369,2.798215,[ 55 493] ; [ 4 85],[ 50.7566719 497.2433281] ; [ 8.2433281 80.7566719],0
u2,1,0.125749,2.344211,[71 51] ; [20  7],[74.51006711 47.48993289] ; [16.48993289 10.51006711],0
s2,1,0.140776,2.16946,[304 243] ; [42 47],[297.58176101 249.41823899] ; [48.41823899 40.58176101],0
