Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.4e-05,17.184142,[ 7 22] ; [26  8],[15.19047619 13.80952381] ; [17.80952381 16.19047619],1
s2,1,0.000744,11.37666,[ 9 20] ; [25  9],[15.65079365 13.34920635] ; [18.34920635 15.65079365],1
s3,1,0.003765,8.39395,[ 9 20] ; [23 11],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
p3,1,0.009781,6.674321,[12 17] ; [25  9],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
r2,1,0.024664,5.047356,[22  6] ; [32  1],[24.78688525  3.21311475] ; [29.21311475  3.78688525],0
s5,1,0.028601,4.791444,[ 7 21] ; [15 13],[11. 17.] ; [11. 17.],0
s6,1,0.044987,4.019139,[14 14] ; [24  8],[17.73333333 10.26666667] ; [20.26666667 11.73333333],0
a3,1,0.071195,3.255258,[14 15] ; [24 10],[17.49206349 11.50793651] ; [20.50793651 13.49206349],0
s4,1,0.084723,2.971894,[ 4 25] ; [11 23],[ 6.9047619 22.0952381] ; [ 8.0952381 25.9047619],0
a5,1,0.119565,2.423011,[14 15] ; [23 11],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
d4,1,0.120232,2.4143,[20  9] ; [29  5],[22.55555556  6.44444444] ; [26.44444444  7.55555556],0
p1,1,0.121642,2.396045,[ 2 27] ; [ 7 27],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
v2,1,0.125547,2.346715,[11 16] ; [20 13],[13.95 13.05] ; [17.05 15.95],0
n4,1,0.127665,2.320675,[16 13] ; [25  9],[18.87301587 10.12698413] ; [22.12698413 11.87301587],0
b5,1,0.174339,1.845232,[21  8] ; [19 15],[18.41269841 10.58730159] ; [21.58730159 12.41269841],0
v1,1,0.177138,1.821475,[10 19] ; [17 16],[12.62903226 16.37096774] ; [14.37096774 18.62903226],0
u3,1,0.188274,1.731069,[6 8] ; [7 3],[7.58333333 6.41666667] ; [5.41666667 4.58333333],0
p8,1,0.195056,1.679014,[20  9] ; [18 16],[17.49206349 11.50793651] ; [20.50793651 13.49206349],0
a7,1,0.20728,1.590324,[20  8] ; [19 15],[17.61290323 10.38709677] ; [21.38709677 12.61290323],0
