Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000446,12.329706,[14 14] ; [66 13],[20.93457944  7.06542056] ; [59.06542056 19.93457944],1
p10,1,0.000515,12.059384,[13 14] ; [65 14],[19.86792453  7.13207547] ; [58.13207547 20.86792453],1
p8,1,0.010976,6.469167,[11 16] ; [54 25],[16.55660377 10.44339623] ; [48.44339623 30.55660377],0
b1,1,0.015302,5.881348,[19  9] ; [33 47],[13.48148148 14.51851852] ; [38.51851852 41.48148148],0
b4,1,0.080959,3.045547,[ 9 19] ; [41 39],[12.96296296 15.03703704] ; [37.03703704 42.96296296],0
n2,1,0.081377,3.03719,[4 4] ; [18  4],[5.86666667 2.13333333] ; [16.13333333  5.86666667],0
b2,1,0.092053,2.838103,[ 1 14] ; [15 40],[ 3.42857143 11.57142857] ; [12.57142857 42.42857143],0
b3,1,0.092053,2.838103,[ 1 14] ; [15 40],[ 3.42857143 11.57142857] ; [12.57142857 42.42857143],0
r1,1,0.094498,2.796035,[14 13] ; [55 24],[17.5754717  9.4245283] ; [51.4245283 27.5754717],0
p4,1,0.100534,2.697051,[21  7] ; [46 34],[17.37037037 10.62962963] ; [49.62962963 30.37037037],0
n5,1,0.102464,2.666767,[17 10] ; [63 17],[20.18691589  6.81308411] ; [59.81308411 20.18691589],0
v4,1,0.110871,2.541756,[24  4] ; [75  4],[25.90654206  2.09345794] ; [73.09345794  5.90654206],0
a4,1,0.131328,2.276732,[ 5 23] ; [26 53],[ 8.11214953 19.88785047] ; [22.88785047 56.11214953],0
a8,1,0.149561,2.076721,[ 5 23] ; [ 6 69],[ 2.99029126 25.00970874] ; [ 8.00970874 66.99029126],0
n4,1,0.155022,2.022122,[16 11] ; [59 21],[18.92523364  8.07476636] ; [56.07476636 23.92523364],0
s2,1,0.161125,1.963636,[14 14] ; [28 52],[10.88888889 17.11111111] ; [31.11111111 48.88888889],0
p2,1,0.169202,1.89,[21  7] ; [69 11],[23.33333333  4.66666667] ; [66.66666667 13.33333333],0
p1,1,0.184255,1.762966,[ 2 26] ; [14 66],[ 4.14814815 23.85185185] ; [11.85185185 68.14814815],0
p3,1,0.221798,1.492702,[12 16] ; [45 35],[14.77777778 13.22222222] ; [42.22222222 37.77777778],0
d3,1,0.290189,1.118744,[10 16] ; [22 58],[ 7.8490566 18.1509434] ; [24.1509434 55.8490566],0
s3,1,0.301611,1.067058,[17 11] ; [39 40],[14.65420561 13.34579439] ; [41.34579439 37.65420561],0
v2,1,0.331585,0.942698,[11 17] ; [38 38],[13.19230769 14.80769231] ; [35.80769231 40.19230769],0
p5,1,0.383062,0.760852,[ 2 25] ; [11 69],[ 3.28037383 23.71962617] ; [ 9.71962617 70.28037383],0
r3,1,0.404539,0.694792,[24  4] ; [73  7],[25.14814815  2.85185185] ; [71.85185185  8.14814815],0
s4,1,0.49876,0.457573,[ 7 21] ; [15 64],[ 5.75700935 22.24299065] ; [16.24299065 62.75700935],0
u2,1,0.501336,0.452107,[7 9] ; [22 19],[8.14035088 7.85964912] ; [20.85964912 20.14035088],0
u3,1,0.559477,0.34061,[8 8] ; [17 24],[7.01754386 8.98245614] ; [17.98245614 23.01754386],0
a3,1,0.59087,0.288987,[12 16] ; [39 41],[13.22222222 14.77777778] ; [37.77777778 42.22222222],0
d2,1,0.61209,0.257143,[ 6 22] ; [21 59],[ 7. 21.] ; [20. 60.],0
n1,1,0.624321,0.239841,[3 5] ; [10 11],[3.5862069 4.4137931] ; [ 9.4137931 11.5862069],0
r4,1,0.645093,0.212143,[22  6] ; [66 14],[22.81481481  5.18518519] ; [65.18518519 14.81481481],0
a2,1,0.6535,0.201516,[ 2 26] ; [ 8 72],[ 2.59259259 25.40740741] ; [ 7.40740741 72.59259259],0
r2,1,0.687195,0.162139,[24  4] ; [70  9],[24.59813084  3.40186916] ; [69.40186916  9.59813084],0
v3,1,0.70007,0.148399,[ 8 20] ; [26 54],[ 8.81481481 19.18518519] ; [25.18518519 54.81481481],0
b5,1,0.756281,0.096329,[16 12] ; [43 37],[15.2962963 12.7037037] ; [43.7037037 36.2962963],0
d1,1,0.756847,0.095867,[ 1 27] ; [ 4 76],[ 1.2962963 26.7037037] ; [ 3.7037037 76.2962963],0
d5,1,0.780442,0.077698,[14 13] ; [39 41],[13.37383178 13.62616822] ; [39.62616822 40.37383178],0
s6,1,0.819663,0.051974,[14 12] ; [44 34],[14.5 11.5] ; [43.5 34.5],0
s5,1,0.846632,0.037411,[ 7 20] ; [22 57],[ 7.38679245 19.61320755] ; [21.61320755 57.38679245],0
s7,1,0.890654,0.0189,[12 14] ; [33 41],[11.7 14.3] ; [33.3 40.7],0
v1,1,0.90506,0.014226,[12 16] ; [32 45],[11.73333333 16.26666667] ; [32.26666667 44.73333333],0
n6,1,0.906568,0.013776,[22  6] ; [62 18],[21.77777778  6.22222222] ; [62.22222222 17.77777778],0
s8,1,0.909874,0.012814,[11 17] ; [32 47],[11.25233645 16.74766355] ; [31.74766355 47.25233645],0
p6,1,0.934633,0.006727,[12 16] ; [35 45],[12.18518519 15.81481481] ; [34.81481481 45.18518519],0
a6,1,0.934633,0.006727,[16 12] ; [45 35],[15.81481481 12.18518519] ; [45.18518519 34.81481481],0
n3,1,0.935467,0.006556,[7 1] ; [19  3],[6.93333333 1.06666667] ; [19.06666667  2.93333333],0
a7,1,0.965707,0.001848,[17 10] ; [50 30],[16.90654206 10.09345794] ; [50.09345794 29.90654206],0
s1,1,0.973414,0.001111,[ 1 26] ; [ 3 75],[ 1.02857143 25.97142857] ; [ 2.97142857 75.02857143],0
a5,1,0.986987,0.000266,[15 13] ; [43 37],[15.03703704 12.96296296] ; [42.96296296 37.03703704],0
