Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,65.366346,[83  4] ; [ 9 26],[65.60655738 21.39344262] ; [26.39344262  8.60655738],1
r1,1,0.0,59.209444,[76 10] ; [ 6 30],[57.80327869 28.19672131] ; [24.19672131 11.80327869],1
v4,1,0.0,38.525049,[83  3] ; [18 18],[71.19672131 14.80327869] ; [29.80327869  6.19672131],1
r2,1,1e-06,24.868031,[84  3] ; [22 13],[75.59016393 11.40983607] ; [30.40983607  4.59016393],1
p2,1,5.1e-05,16.418115,[61 26] ; [11 25],[50.92682927 36.07317073] ; [21.07317073 14.92682927],1
s6,1,0.000196,13.871373,[55 30] ; [10 26],[45.66115702 39.33884298] ; [19.33884298 16.66115702],1
a1,1,0.000247,13.433423,[ 3 84] ; [ 9 27],[ 8.48780488 78.51219512] ; [ 3.51219512 32.48780488],1
a7,1,0.00046,12.269998,[62 25] ; [13 22],[53.48360656 33.51639344] ; [21.51639344 13.48360656],1
p7,1,0.000667,11.578685,[45 40] ; [ 7 29],[36.52892562 48.47107438] ; [15.47107438 20.52892562],1
p4,1,0.002961,8.831431,[42 45] ; [ 7 29],[34.65853659 52.34146341] ; [14.34146341 21.65853659],0
p8,1,0.004389,8.115246,[32 53] ; [ 4 31],[25.5 59.5] ; [10.5 24.5],0
d3,1,0.004746,7.973899,[55 31] ; [13 23],[47.93442623 38.06557377] ; [20.06557377 15.93442623],0
u3,1,0.005903,7.579587,[20 13] ; [ 3 13],[15.48979592 17.51020408] ; [7.51020408 8.48979592],0
s8,1,0.006818,7.320306,[30 55] ; [ 4 32],[23.88429752 61.11570248] ; [10.11570248 25.88429752],0
n6,1,0.008093,7.012885,[70 17] ; [20 15],[64.18032787 22.81967213] ; [25.81967213  9.18032787],0
d5,1,0.008242,6.980074,[68 18] ; [20 16],[62.03278689 23.96721311] ; [25.96721311 10.03278689],0
s2,1,0.010379,6.568694,[37 47] ; [ 7 29],[30.8 53.2] ; [13.2 22.8],0
v1,1,0.010821,6.494504,[36 51] ; [ 6 29],[29.95081967 57.04918033] ; [12.04918033 22.95081967],0
d4,1,0.015866,5.817712,[63 22] ; [18 17],[57.375 27.625] ; [23.625 11.375],0
p3,1,0.015889,5.815082,[31 56] ; [ 5 31],[25.46341463 61.53658537] ; [10.53658537 25.46341463],0
p11,1,0.017681,5.627515,[47 40] ; [11 25],[41.02439024 45.97560976] ; [16.97560976 19.02439024],0
n2,1,0.018215,5.575325,[24  9] ; [ 8 12],[19.9245283 13.0754717] ; [12.0754717  7.9245283],0
s3,1,0.023132,5.158576,[47 37] ; [12 24],[41.3 42.7] ; [17.7 18.3],0
p9,1,0.026496,4.923333,[37 46] ; [ 8 27],[31.65254237 51.34745763] ; [13.34745763 21.65254237],0
a5,1,0.044279,4.045903,[58 29] ; [17 19],[53.04878049 33.95121951] ; [21.95121951 14.04878049],0
n3,1,0.050817,3.814299,[21 10] ; [ 8 12],[17.62745098 13.37254902] ; [11.37254902  8.62745098],0
s7,1,0.057608,3.604958,[35 48] ; [ 8 26],[30.5042735 52.4957265] ; [12.4957265 21.5042735],0
a2,1,0.081057,3.043582,[25 62] ; [ 5 31],[21.2195122 65.7804878] ; [ 8.7804878 27.2195122],0
d1,1,0.090435,2.866619,[46 41] ; [13 23],[41.73170732 45.26829268] ; [17.26829268 18.73170732],0
a8,1,0.093862,2.806851,[14 62] ; [ 2 31],[11.1559633 64.8440367] ; [ 4.8440367 28.1559633],0
u1,1,0.097504,2.745907,[18 69] ; [ 3 33],[14.85365854 72.14634146] ; [ 6.14634146 29.85365854],0
u2,1,0.131512,2.274568,[16 16] ; [ 4 11],[13.61702128 18.38297872] ; [6.38297872 8.61702128],0
p1,1,0.138102,2.198978,[ 5 81] ; [ 5 31],[ 7.04918033 78.95081967] ; [ 2.95081967 33.04918033],0
b4,1,0.13862,2.193212,[56 31] ; [18 18],[52.34146341 34.65853659] ; [21.65853659 14.34146341],0
p6,1,0.138806,2.191146,[26 60] ; [ 6 29],[22.74380165 63.25619835] ; [ 9.25619835 25.74380165],0
p5,1,0.172669,1.85962,[ 9 78] ; [ 1 34],[ 7.13114754 79.86885246] ; [ 2.86885246 32.13114754],0
s4,1,0.285049,1.142857,[12 72] ; [ 8 28],[14. 70.] ; [ 6. 30.],0
v3,1,0.289893,1.120116,[27 58] ; [ 8 28],[24.58677686 60.41322314] ; [10.41322314 25.58677686],0
n1,1,0.300691,1.071127,[17 14] ; [ 8 12],[15.19607843 15.80392157] ; [ 9.80392157 10.19607843],0
a6,1,0.303517,1.058677,[54 32] ; [19 17],[51.45901639 34.54098361] ; [21.54098361 14.45901639],0
s1,1,0.316283,1.004254,[ 5 80] ; [ 4 32],[ 6.32231405 78.67768595] ; [ 2.67768595 33.32231405],0
v2,1,0.343429,0.89759,[32 53] ; [10 25],[29.75 55.25] ; [12.25 22.75],0
s5,1,0.347638,0.882061,[19 66] ; [ 5 29],[17.14285714 67.85714286] ; [ 6.85714286 27.14285714],0
b5,1,0.38033,0.769635,[58 29] ; [21 15],[55.87804878 31.12195122] ; [23.12195122 12.87804878],0
b1,1,0.394927,0.723719,[41 46] ; [20 16],[43.14634146 43.85365854] ; [17.85365854 18.14634146],0
a4,1,0.47577,0.508542,[43 43] ; [15 20],[41.2231405 44.7768595] ; [16.7768595 18.2231405],0
n4,1,0.519175,0.415532,[72 15] ; [28  8],[70.73170732 16.26829268] ; [29.26829268  6.73170732],0
a3,1,0.563295,0.334031,[54 32] ; [20 15],[52.59504132 33.40495868] ; [21.40495868 13.59504132],0
b2,1,0.716716,0.131661,[20 40] ; [ 9 15],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
b3,1,0.716716,0.131661,[20 40] ; [ 9 15],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
d2,1,0.77561,0.08125,[48 38] ; [18 16],[47.3 38.7] ; [18.7 15.3],0
p12,1,0.875506,0.024545,[ 2 85] ; [ 1 35],[ 2.12195122 84.87804878] ; [ 0.87804878 35.12195122],0
