Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.9e-05,16.496764,[51 20] ; [ 2 12],[44.27058824 26.72941176] ; [8.72941176 5.27058824],1
n6,1,8.4e-05,15.472934,[60 11] ; [5 9],[54.29411765 16.70588235] ; [10.70588235  3.29411765],1
v4,1,8.9e-05,15.347027,[66  4] ; [8 6],[61.66666667  8.33333333] ; [12.33333333  1.66666667],1
s3,1,0.001066,10.709441,[44 27] ; [ 2 12],[38.42352941 32.57647059] ; [7.57647059 6.42352941],0
v2,1,0.002579,9.083883,[49 20] ; [ 4 10],[44.06024096 24.93975904] ; [8.93975904 5.06024096],0
p11,1,0.005566,7.685623,[56 15] ; [6 8],[51.78823529 19.21176471] ; [10.21176471  3.78823529],0
s8,1,0.012617,6.22197,[30 41] ; [ 1 13],[25.89411765 45.10588235] ; [5.10588235 8.89411765],0
n4,1,0.018307,5.566489,[53 18] ; [6 8],[49.28235294 21.71764706] ; [9.71764706 4.28235294],0
s6,1,0.030206,4.697525,[48 18] ; [6 8],[44.55 21.45] ; [9.45 4.55],0
b1,1,0.045626,3.995361,[30 41] ; [10  4],[33.41176471 37.58823529] ; [6.58823529 7.41176471],0
d5,1,0.062125,3.479725,[57 14] ; [8 6],[54.29411765 16.70588235] ; [10.70588235  3.29411765],0
p3,1,0.066073,3.377987,[43 26] ; [5 9],[39.90361446 29.09638554] ; [8.09638554 5.90361446],0
p2,1,0.066798,3.36,[56 14] ; [8 6],[53.33333333 16.66666667] ; [10.66666667  3.33333333],0
p10,1,0.121402,2.399135,[57 12] ; [9 5],[54.86746988 14.13253012] ; [11.13253012  2.86746988],0
a1,1,0.143705,2.137827,[ 3 68] ; [ 2 12],[ 4.17647059 66.82352941] ; [ 0.82352941 13.17647059],0
n5,1,0.145436,2.119477,[54 17] ; [8 6],[51.78823529 19.21176471] ; [10.21176471  3.78823529],0
d1,1,0.154957,2.022761,[35 36] ; [ 4 10],[32.57647059 38.42352941] ; [6.42352941 7.57647059],0
b2,1,0.178063,1.813715,[14 31] ; [4 3],[15.57692308 29.42307692] ; [2.42307692 4.57692308],0
b3,1,0.178063,1.813715,[14 31] ; [4 3],[15.57692308 29.42307692] ; [2.42307692 4.57692308],0
s2,1,0.188504,1.72927,[39 32] ; [5 9],[36.75294118 34.24705882] ; [7.24705882 6.75294118],0
d4,1,0.189183,1.723968,[57 14] ; [9 5],[55.12941176 15.87058824] ; [10.87058824  3.12941176],0
d2,1,0.200772,1.636753,[28 43] ; [ 3 11],[25.89411765 45.10588235] ; [5.10588235 8.89411765],0
