Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000263,13.316888,[ 6 18] ; [25  9],[12.82758621 11.17241379] ; [18.17241379 15.82758621],1
r3,1,0.000281,13.19046,[10 15] ; [29  5],[16.52542373  8.47457627] ; [22.47457627 11.52542373],1
p9,1,0.000685,11.529971,[ 8 15] ; [27  7],[14.12280702  8.87719298] ; [20.87719298 13.12280702],1
n3,1,0.00126,10.4,[4 9] ; [12  1],[8. 5.] ; [8. 5.],0
v2,1,0.003191,8.695023,[ 2 22] ; [15 19],[ 7.03448276 16.96551724] ; [ 9.96551724 24.03448276],0
r4,1,0.004995,7.881225,[ 1 24] ; [12 23],[ 5.41666667 19.58333333] ; [ 7.58333333 27.41666667],0
s6,1,0.007526,7.142857,[ 5 20] ; [19 16],[10. 15.] ; [14. 21.],0
d2,1,0.010128,6.612245,[ 3 22] ; [15 20],[ 7.5 17.5] ; [10.5 24.5],0
p2,1,0.014915,5.926531,[10 15] ; [25 10],[14.58333333 10.41666667] ; [20.41666667 14.58333333],0
n2,1,0.015577,5.85,[5 8] ; [11  2],[8. 5.] ; [8. 5.],0
u2,1,0.015931,5.810522,[ 4 10] ; [11  4],[7.24137931 6.75862069] ; [7.75862069 7.24137931],0
a5,1,0.018435,5.554286,[ 8 17] ; [22 13],[12.5 12.5] ; [17.5 17.5],0
p8,1,0.021956,5.249265,[ 3 21] ; [14 21],[ 6.91525424 17.08474576] ; [10.08474576 24.91525424],0
n6,1,0.026412,4.928833,[11 13] ; [26  9],[15.05084746  8.94915254] ; [21.94915254 13.05084746],0
s8,1,0.029876,4.71639,[ 2 23] ; [11 24],[ 5.41666667 19.58333333] ; [ 7.58333333 27.41666667],0
a1,1,0.069379,3.297662,[ 4 21] ; [ 1 34],[ 2.08333333 22.91666667] ; [ 2.91666667 32.08333333],0
b1,1,0.069559,3.293388,[18  7] ; [17 18],[14.58333333 10.41666667] ; [20.41666667 14.58333333],0
s5,1,0.072267,3.230769,[ 1 24] ; [ 7 28],[ 3.33333333 21.66666667] ; [ 4.66666667 30.33333333],0
v4,1,0.094249,2.800259,[11 14] ; [23 12],[14.16666667 10.83333333] ; [19.83333333 15.16666667],0
d3,1,0.106157,2.61052,[ 9 16] ; [20 15],[12.08333333 12.91666667] ; [16.91666667 18.08333333],0
p7,1,0.108809,2.571429,[ 7 18] ; [17 18],[10. 15.] ; [14. 21.],0
n5,1,0.108809,2.571429,[12 13] ; [24 11],[15. 10.] ; [21. 14.],0
d1,1,0.114317,2.493506,[ 4 21] ; [12 23],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
p5,1,0.129994,2.292579,[ 1 23] ; [ 6 29],[ 2.84745763 21.15254237] ; [ 4.15254237 30.84745763],0
b5,1,0.19043,1.714286,[15 10] ; [15 20],[12.5 12.5] ; [17.5 17.5],0
v3,1,0.19043,1.714286,[ 3 22] ; [ 9 26],[ 5. 20.] ; [ 7. 28.],0
a8,1,0.191103,1.709091,[ 4 19] ; [ 2 30],[ 2.50909091 20.49090909] ; [ 3.49090909 28.50909091],0
a6,1,0.199276,1.647673,[ 8 17] ; [17 18],[10.41666667 14.58333333] ; [14.58333333 20.41666667],0
v1,1,0.226025,1.465703,[ 5 20] ; [12 23],[ 7.08333333 17.91666667] ; [ 9.91666667 25.08333333],0
n4,1,0.252227,1.310924,[12 13] ; [22 13],[14.16666667 10.83333333] ; [19.83333333 15.16666667],0
b3,1,0.258116,1.278832,[ 6 11] ; [ 4 17],[ 4.47368421 12.52631579] ; [ 5.52631579 15.47368421],0
b2,1,0.258116,1.278832,[ 6 11] ; [ 4 17],[ 4.47368421 12.52631579] ; [ 5.52631579 15.47368421],0
p1,1,0.304701,1.053506,[ 1 24] ; [ 4 31],[ 2.08333333 22.91666667] ; [ 2.91666667 32.08333333],0
d5,1,0.315205,1.00874,[11 14] ; [20 15],[12.91666667 12.08333333] ; [18.08333333 16.91666667],0
a7,1,0.381673,0.765306,[10 15] ; [18 17],[11.66666667 13.33333333] ; [16.33333333 18.66666667],0
s1,1,0.385123,0.754286,[ 3 22] ; [ 2 33],[ 2.08333333 22.91666667] ; [ 2.91666667 32.08333333],0
a3,1,0.392787,0.730298,[11 13] ; [20 15],[12.61016949 11.38983051] ; [18.38983051 16.61016949],0
n1,1,0.395416,0.722222,[ 3 10] ; [5 8],[4. 9.] ; [4. 9.],0
p4,1,0.451771,0.566204,[ 9 16] ; [16 19],[10.41666667 14.58333333] ; [14.58333333 20.41666667],0
s4,1,0.582306,0.302521,[ 3 22] ; [ 6 29],[ 3.75 21.25] ; [ 5.25 29.75],0
a4,1,0.693012,0.155844,[ 6 19] ; [10 25],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
d4,1,0.711138,0.137143,[16  9] ; [24 11],[16.66666667  8.33333333] ; [23.33333333 11.66666667],0
r1,1,0.711138,0.137143,[ 9 16] ; [11 24],[ 8.33333333 16.66666667] ; [11.66666667 23.33333333],0
a2,1,0.726393,0.122449,[ 2 23] ; [ 2 33],[ 1.66666667 23.33333333] ; [ 2.33333333 32.66666667],0
s7,1,0.729576,0.119501,[ 5 18] ; [ 8 23],[ 5.53703704 17.46296296] ; [ 7.46296296 23.53703704],0
