Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,39.25731,[207  62] ; [41 56],[182.27322404  86.72677596] ; [65.72677596 31.27322404],1
a6,1,4e-06,21.417399,[204  65] ; [49 48],[185.94808743  83.05191257] ; [67.05191257 29.94808743],1
u1,1,0.00042,12.442817,[ 60 210] ; [ 6 91],[ 48.55585831 221.44414169] ; [17.44414169 79.55585831],1
d1,1,0.000913,10.99549,[164 106] ; [40 57],[150.08174387 119.91825613] ; [53.91825613 43.08174387],1
b1,1,0.001376,10.237344,[ 82 188] ; [47 50],[ 94.90463215 175.09536785] ; [34.09536785 62.90463215],0
a2,1,0.001459,10.129106,[ 77 193] ; [12 85],[ 65.47683924 204.52316076] ; [23.52316076 73.47683924],0
d5,1,0.001653,9.899268,[228  41] ; [68 29],[217.55191257  51.44808743] ; [78.44808743 18.55191257],0
d4,1,0.002289,9.30241,[227  42] ; [68 29],[216.81693989  52.18306011] ; [78.18306011 18.81693989],0
u3,1,0.003569,8.491021,[55 27] ; [10 18],[48.45454545 33.54545455] ; [16.54545455 11.45454545],0
b5,1,0.004942,7.900603,[185  85] ; [51 46],[173.6239782  96.3760218] ; [62.3760218 34.6239782],0
r2,1,0.006784,7.329391,[255  12] ; [84 12],[249.34710744  17.65289256] ; [89.65289256  6.34710744],0
r4,1,0.010154,6.607678,[248  22] ; [80 17],[241.30790191  28.69209809] ; [86.69209809 10.30790191],0
v4,1,0.028279,4.810974,[260   8] ; [88  8],[256.21978022  11.78021978] ; [91.78021978  4.21978022],0
r3,1,0.034308,4.479286,[259  10] ; [88  9],[255.03551913  13.96448087] ; [91.96448087  5.03551913],0
r1,1,0.036403,4.378107,[224  43] ; [72 25],[217.12087912  49.87912088] ; [78.87912088 18.12087912],0
p2,1,0.037475,4.328685,[225  44] ; [71 25],[218.14794521  50.85205479] ; [77.85205479 18.14794521],0
p3,1,0.052137,3.771365,[107 163] ; [49 47],[115.08196721 154.91803279] ; [40.91803279 55.08196721],0
u2,1,0.053607,3.724898,[51 29] ; [12 16],[46.66666667 33.33333333] ; [16.33333333 11.66666667],0
v2,1,0.099911,2.706969,[146 109] ; [43 48],[139.29190751 115.70809249] ; [49.70809249 41.29190751],0
p5,1,0.100293,2.700882,[ 17 251] ; [11 84],[ 20.67217631 247.32782369] ; [ 7.32782369 87.67217631],0
s1,1,0.105587,2.619052,[  7 257] ; [ 6 90],[  9.53333333 254.46666667] ; [ 3.46666667 92.53333333],0
n4,1,0.106379,2.607208,[190  79] ; [76 20],[196.03835616  72.96164384] ; [69.96164384 26.03835616],0
n1,1,0.142345,2.152429,[22 43] ; [14 14],[25.16129032 39.83870968] ; [10.83870968 17.16129032],0
p7,1,0.184198,1.763426,[143 118] ; [45 51],[137.44537815 123.55462185] ; [50.55462185 45.44537815],0
n5,1,0.224581,1.474857,[193  76] ; [75 21],[197.51232877  71.48767123] ; [70.48767123 25.51232877],0
s3,1,0.287284,1.132305,[186  78] ; [62 34],[181.86666667  82.13333333] ; [66.13333333 29.86666667],0
a8,1,0.287451,1.131524,[ 37 203] ; [10 82],[ 33.97590361 206.02409639] ; [13.02409639 78.97590361],0
u4,1,0.291314,1.113541,[  8 262] ; [ 1 96],[  6.62125341 263.37874659] ; [ 2.37874659 94.62125341],0
s8,1,0.293684,1.102657,[127 141] ; [52 45],[131.43013699 136.56986301] ; [47.56986301 49.43013699],0
p8,1,0.312404,1.020487,[114 151] ; [36 61],[109.80662983 155.19337017] ; [40.19337017 56.80662983],0
p1,1,0.380329,0.76964,[ 13 255] ; [ 7 90],[ 14.68493151 253.31506849] ; [ 5.31506849 91.68493151],0
s5,1,0.38116,0.766956,[ 95 169] ; [39 56],[ 98.54038997 165.45961003] ; [35.45961003 59.54038997],0
p9,1,0.391768,0.733447,[224  42] ; [78 19],[221.30027548  44.69972452] ; [80.69972452 16.30027548],0
p10,1,0.422946,0.642114,[214  53] ; [74 23],[211.25274725  55.74725275] ; [76.74725275 20.25274725],0
p4,1,0.482562,0.493068,[141 127] ; [47 50],[138.03835616 129.96164384] ; [49.96164384 47.03835616],0
s4,1,0.501778,0.451175,[ 52 215] ; [22 75],[ 54.28021978 212.71978022] ; [19.71978022 77.28021978],0
d2,1,0.507512,0.439193,[127 142] ; [42 55],[124.21038251 144.78961749] ; [44.78961749 52.21038251],0
a4,1,0.531214,0.392069,[112 156] ; [37 60],[109.40273973 158.59726027] ; [39.59726027 57.40273973],0
v1,1,0.539145,0.377128,[129 129] ; [51 44],[131.55807365 126.44192635] ; [48.44192635 46.55807365],0
b2,1,0.555872,0.346902,[ 47 111] ; [20 39],[ 48.78341014 109.21658986] ; [18.21658986 40.78341014],0
b3,1,0.555872,0.346902,[ 47 111] ; [20 39],[ 48.78341014 109.21658986] ; [18.21658986 40.78341014],0
n2,1,0.686788,0.162585,[52 14] ; [21  7],[51.25531915 14.74468085] ; [21.74468085  6.25531915],0
p12,1,0.695313,0.153393,[ 19 251] ; [ 8 89],[ 19.86376022 250.13623978] ; [ 7.13623978 89.86376022],0
a3,1,0.714847,0.133484,[186  83] ; [69 28],[187.41803279  81.58196721] ; [67.58196721 29.41803279],0
a1,1,0.717941,0.130474,[  9 261] ; [ 4 93],[  9.5640327 260.4359673] ; [ 3.4359673 93.5640327],0
n6,1,0.760602,0.092836,[225  44] ; [79 17],[224.04383562  44.95616438] ; [79.95616438 16.04383562],0
a5,1,0.768896,0.08633,[199  71] ; [70 27],[197.90190736  72.09809264] ; [71.09809264 25.90190736],0
s2,1,0.811954,0.056599,[161 107] ; [59 37],[161.97802198 106.02197802] ; [58.02197802 37.97802198],0
b4,1,0.881477,0.02223,[161 109] ; [57 40],[160.38147139 109.61852861] ; [57.61852861 39.38147139],0
v3,1,0.888109,0.019796,[102 157] ; [37 55],[102.56695157 156.43304843] ; [36.43304843 55.56695157],0
n3,1,0.897571,0.016572,[48 18] ; [20  8],[47.74468085 18.25531915] ; [20.25531915  7.74468085],0
p11,1,0.931204,0.007453,[202  68] ; [73 24],[202.31607629  67.68392371] ; [72.68392371 24.31607629],0
s7,1,0.945619,0.004652,[140 120] ; [51 43],[140.28248588 119.71751412] ; [50.71751412 43.28248588],0
