Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.17595,1.831502,[2 3] ; [11  4],[3.25 1.75] ; [9.75 5.25],0
a6,1,0.19446,1.683502,[4 1] ; [7 8],[2.75 2.25] ; [8.25 6.75],0
n4,1,0.196706,1.666667,[3 2] ; [13  2],[4. 1.] ; [12.  3.],0
p6,1,0.243498,1.360227,[1 4] ; [7 7],[2.10526316 2.89473684] ; [5.89473684 8.10526316],0
a7,1,0.291841,1.111111,[2 3] ; [10  5],[3. 2.] ; [9. 6.],0
d2,1,0.371093,0.8,[2 3] ; [ 3 12],[1.25 3.75] ; [ 3.75 11.25],0
p8,1,0.371093,0.8,[3 2] ; [12  3],[3.75 1.25] ; [11.25  3.75],0
p1,1,0.389424,0.740741,[1 4] ; [ 1 14],[0.5 4.5] ; [ 1.5 13.5],0
a3,1,0.436275,0.606061,[3 2] ; [6 9],[2.25 2.75] ; [6.75 8.25],0
v2,1,0.436275,0.606061,[3 2] ; [6 9],[2.25 2.75] ; [6.75 8.25],0
s6,1,0.573138,0.31746,[4 1] ; [10  5],[3.5 1.5] ; [10.5  4.5],0
p7,1,0.573138,0.31746,[3 2] ; [11  4],[3.5 1.5] ; [10.5  4.5],0
d1,1,0.605577,0.266667,[3 2] ; [7 8],[2.5 2.5] ; [7.5 7.5],0
u3,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
s5,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
d4,1,0.717688,0.130719,[4 1] ; [13  2],[4.25 0.75] ; [12.75  2.25],0
p4,1,0.717688,0.130719,[4 1] ; [13  2],[4.25 0.75] ; [12.75  2.25],0
n5,1,0.717688,0.130719,[4 1] ; [13  2],[4.25 0.75] ; [12.75  2.25],0
p2,1,0.763573,0.090476,[4 1] ; [12  2],[4.21052632 0.78947368] ; [11.78947368  2.21052632],0
a4,1,0.765594,0.088889,[1 4] ; [ 4 11],[1.25 3.75] ; [ 3.75 11.25],0
p3,1,0.786648,0.07326,[3 2] ; [10  5],[3.25 1.75] ; [9.75 5.25],0
v3,1,0.786648,0.07326,[2 3] ; [ 5 10],[1.75 3.25] ; [5.25 9.75],0
b4,1,0.786648,0.07326,[3 2] ; [10  5],[3.25 1.75] ; [9.75 5.25],0
b1,1,0.79525,0.06734,[2 3] ; [7 8],[2.25 2.75] ; [6.75 8.25],0
s2,1,0.79525,0.06734,[2 3] ; [7 8],[2.25 2.75] ; [6.75 8.25],0
b5,1,0.79525,0.06734,[3 2] ; [8 7],[2.75 2.25] ; [8.25 6.75],0
v1,1,0.864591,0.029082,[3 2] ; [9 5],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
p12,1,0.946375,0.004524,[1 4] ; [ 3 11],[1.05263158 3.94736842] ; [ 2.94736842 11.05263158],0
b2,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
d3,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
a5,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
a1,1,1.0,0.0,[1 4] ; [ 3 12],[1. 4.] ; [ 3. 12.],0
b3,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
