Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.651983,[60 14] ; [ 6 22],[47.88235294 26.11764706] ; [18.11764706  9.88235294],1
a5,1,0.026505,4.92278,[42 32] ; [ 9 19],[37. 37.] ; [14. 14.],0
a6,1,0.031769,4.610919,[49 25] ; [12 16],[44.25490196 29.74509804] ; [16.74509804 11.25490196],0
a4,1,0.046322,3.969832,[22 52] ; [ 3 25],[18.1372549 55.8627451] ; [ 6.8627451 21.1372549],0
r3,1,0.073513,3.202778,[53 20] ; [25  3],[56.37623762 16.62376238] ; [21.62376238  6.37623762],0
b1,1,0.103167,2.655883,[29 45] ; [16 12],[32.64705882 41.35294118] ; [12.35294118 15.64705882],0
u3,1,0.119416,2.424962,[13 23] ; [10  7],[15.62264151 20.37735849] ; [7.37735849 9.62264151],0
p9,1,0.147383,2.099132,[52 18] ; [16 11],[49.07216495 20.92783505] ; [18.92783505  8.07216495],0
d5,1,0.210361,1.568942,[35 39] ; [ 9 18],[32.23762376 41.76237624] ; [11.76237624 15.23762376],0
v1,1,0.244809,1.352684,[30 43] ; [ 8 20],[27.46534653 45.53465347] ; [10.53465347 17.46534653],0
a3,1,0.250402,1.321059,[38 35] ; [11 17],[35.41584158 37.58415842] ; [13.58415842 14.41584158],0
d2,1,0.276552,1.183958,[21 53] ; [ 5 23],[18.8627451 55.1372549] ; [ 7.1372549 20.8627451],0
s1,1,0.309793,1.031558,[ 2 71] ; [ 2 26],[ 2.89108911 70.10891089] ; [ 1.10891089 26.89108911],0
s7,1,0.310744,1.02751,[16 52] ; [ 4 24],[14.16666667 53.83333333] ; [ 5.83333333 22.16666667],0
p5,1,0.316153,1.004796,[ 7 66] ; [ 1 27],[ 5.78217822 67.21782178] ; [ 2.21782178 25.78217822],0
v4,1,0.321077,0.984556,[60 14] ; [25  3],[61.66666667 12.33333333] ; [23.33333333  4.66666667],0
d3,1,0.338024,0.917912,[15 58] ; [ 8 19],[16.79 56.21] ; [ 6.21 20.79],0
b4,1,0.350368,0.872122,[32 42] ; [15 13],[34.09803922 39.90196078] ; [12.90196078 15.09803922],0
a7,1,0.358537,0.843011,[39 35] ; [17 10],[41.02970297 32.97029703] ; [14.97029703 12.02970297],0
v3,1,0.369743,0.804529,[19 53] ; [ 5 23],[17.28 54.72] ; [ 6.72 21.28],0
p10,1,0.373197,0.792993,[47 25] ; [15 12],[45.09090909 26.90909091] ; [16.90909091 10.09090909],0
p6,1,0.377982,0.777254,[19 52] ; [10 18],[20.7979798 50.2020202] ; [ 8.2020202 19.7979798],0
r1,1,0.389328,0.74104,[44 30] ; [14 14],[42.07843137 31.92156863] ; [15.92156863 12.07843137],0
p8,1,0.405352,0.692391,[31 39] ; [15 13],[32.85714286 37.14285714] ; [13.14285714 14.85714286],0
a8,1,0.411966,0.673121,[ 6 63] ; [ 4 24],[ 7.11340206 61.88659794] ; [ 2.88659794 25.11340206],0
