Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7.3e-05,15.742126,[30 11] ; [31 56],[19.5390625 21.4609375] ; [41.4609375 45.5390625],1
s8,1,0.00036,12.731369,[20 21] ; [16 71],[11.53125 29.46875] ; [24.46875 62.53125],1
p8,1,0.001806,9.737069,[25 16] ; [27 58],[16.92063492 24.07936508] ; [35.07936508 49.92063492],0
p7,1,0.002502,9.13935,[27 12] ; [34 51],[19.18548387 19.81451613] ; [41.81451613 43.18548387],0
v2,1,0.005304,7.772866,[23 17] ; [27 59],[15.87301587 24.12698413] ; [34.12698413 51.87301587],0
s5,1,0.0085,6.924909,[15 21] ; [16 69],[ 9.2231405 26.7768595] ; [21.7768595 63.2231405],0
p2,1,0.010417,6.562104,[36  5] ; [57 29],[30.02362205 10.97637795] ; [62.97637795 23.02362205],0
p3,1,0.014586,5.965755,[24 17] ; [31 56],[17.6171875 23.3828125] ; [37.3828125 49.6171875],0
s7,1,0.017432,5.652351,[19 20] ; [22 60],[13.21487603 25.78512397] ; [27.78512397 54.21487603],0
d3,1,0.033755,4.50705,[32  8] ; [53 34],[26.77165354 13.22834646] ; [58.22834646 28.77165354],0
r4,1,0.03545,4.423362,[31 10] ; [49 38],[25.625 15.375] ; [54.375 32.625],0
p11,1,0.056245,3.64479,[34  7] ; [58 29],[29.46875 11.53125] ; [62.53125 24.46875],0
v3,1,0.109447,2.562186,[16 24] ; [22 63],[12.16 27.84] ; [25.84 59.16],0
p12,1,0.147855,2.094241,[ 4 37] ; [ 3 83],[ 2.25984252 38.74015748] ; [ 4.74015748 81.25984252],0
b3,1,0.193098,1.693822,[12 12] ; [16 31],[ 9.46478873 14.53521127] ; [18.53521127 28.46478873],0
b2,1,0.193098,1.693822,[12 12] ; [16 31],[ 9.46478873 14.53521127] ; [18.53521127 28.46478873],0
v4,1,0.200547,1.638388,[37  4] ; [70 16],[34.54330709  6.45669291] ; [72.45669291 13.54330709],0
d1,1,0.242225,1.367598,[21 20] ; [35 52],[17.9375 23.0625] ; [38.0625 48.9375],0
d4,1,0.243259,1.361609,[34  7] ; [64 23],[31.390625  9.609375] ; [66.609375 20.390625],0
s2,1,0.244921,1.352047,[20 21] ; [33 54],[16.9765625 24.0234375] ; [36.0234375 50.9765625],0
n6,1,0.285522,1.140617,[34  7] ; [64 22],[31.63779528  9.36220472] ; [66.36220472 19.63779528],0
r2,1,0.317851,0.997768,[34  5] ; [67 17],[32.02439024  6.97560976] ; [68.97560976 15.02439024],0
n5,1,0.322684,0.978038,[28 12] ; [53 34],[25.51181102 14.48818898] ; [55.48818898 31.51181102],0
r3,1,0.324398,0.971132,[37  4] ; [72 14],[35.18897638  5.81102362] ; [73.81102362 12.18897638],0
s6,1,0.351751,0.86713,[23 16] ; [43 43],[20.592 18.408] ; [45.408 40.592],0
a6,1,0.386549,0.749772,[30 11] ; [57 30],[27.8671875 13.1328125] ; [59.1328125 27.8671875],0
u1,1,0.407817,0.685156,[ 4 37] ; [ 5 82],[ 2.8828125 38.1171875] ; [ 6.1171875 80.8828125],0
n3,1,0.413272,0.669369,[10  3] ; [14  8],[8.91428571 4.08571429] ; [15.08571429  6.91428571],0
p1,1,0.418231,0.655279,[ 4 37] ; [ 5 81],[ 2.90551181 38.09448819] ; [ 6.09448819 79.90551181],0
