Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.930157,[17  6] ; [22 77],[ 7.35245902 15.64754098] ; [31.64754098 67.35245902],1
p7,1,5e-06,20.880596,[17  8] ; [21 79],[ 7.6 17.4] ; [30.4 69.6],1
s6,1,1e-05,19.479044,[23  1] ; [47 55],[13.33333333 10.66666667] ; [56.66666667 45.33333333],1
p8,1,7.5e-05,15.669952,[14 11] ; [18 84],[ 6.2992126 18.7007874] ; [25.7007874 76.2992126],1
p9,1,0.000105,15.036825,[24  1] ; [54 46],[15.6  9.4] ; [62.4 37.6],1
v1,1,0.000201,13.824457,[18  7] ; [31 68],[ 9.87903226 15.12096774] ; [39.12096774 59.87903226],1
s2,1,0.000232,13.550742,[19  6] ; [36 66],[10.82677165 14.17322835] ; [44.17322835 57.82677165],1
s7,1,0.000315,12.976982,[19  6] ; [34 61],[11.04166667 13.95833333] ; [41.95833333 53.04166667],1
v2,1,0.001652,9.901347,[19  5] ; [42 55],[12.09917355 11.90082645] ; [48.90082645 48.09917355],0
s8,1,0.003052,8.776366,[15  8] ; [33 70],[ 8.76190476 14.23809524] ; [39.23809524 63.76190476],0
p4,1,0.005439,7.727424,[14 10] ; [29 73],[ 8.19047619 15.80952381] ; [34.80952381 67.19047619],0
p3,1,0.006769,7.33329,[14 10] ; [30 73],[ 8.31496063 15.68503937] ; [35.68503937 67.31496063],0
p10,1,0.013939,6.045805,[20  5] ; [54 48],[14.56692913 10.43307087] ; [59.43307087 42.56692913],0
r4,1,0.01915,5.487807,[23  2] ; [71 32],[18.359375  6.640625] ; [75.640625 27.359375],0
n6,1,0.033934,4.498038,[21  3] ; [66 35],[16.704  7.296] ; [70.296 30.704],0
p5,1,0.048438,3.894727,[ 5 20] ; [ 7 93],[ 2.4 22.6] ; [ 9.6 90.4],0
v4,1,0.049517,3.857734,[24  1] ; [81 21],[20.66929134  4.33070866] ; [84.33070866 17.66929134],0
u3,1,0.062101,3.480367,[6 1] ; [11 13],[3.83870968 3.16129032] ; [13.16129032 10.83870968],0
s4,1,0.065463,3.393267,[ 8 17] ; [16 85],[ 4.76190476 20.23809524] ; [19.23809524 81.76190476],0
p1,1,0.069312,3.29923,[ 5 20] ; [ 8 95],[ 2.5390625 22.4609375] ; [10.4609375 92.5390625],0
b4,1,0.076786,3.13165,[18  7] ; [54 49],[14.0625 10.9375] ; [57.9375 45.0625],0
d1,1,0.085287,2.961162,[19  6] ; [59 44],[15.234375  9.765625] ; [62.765625 40.234375],0
