Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000346,12.802504,[64  7] ; [236 104],[51.82481752 19.17518248] ; [248.17518248  91.82481752],1
s3,1,0.001648,9.904849,[55 17] ; [194 150],[43.09615385 28.90384615] ; [205.90384615 138.09615385],0
s5,1,0.001836,9.706822,[39 29] ; [124 211],[27.50372208 40.49627792] ; [135.49627792 199.50372208],0
v2,1,0.001861,9.68216,[33 39] ; [218 115],[44.62222222 27.37777778] ; [206.37777778 126.62222222],0
s2,1,0.004304,8.150687,[50 22] ; [176 169],[39.02158273 32.97841727] ; [186.97841727 158.02158273],0
a8,1,0.013327,6.125224,[ 3 67] ; [ 48 263],[ 9.37007874 60.62992126] ; [ 41.62992126 269.37007874],0
p6,1,0.020098,5.403354,[44 29] ; [154 186],[34.99757869 38.00242131] ; [163.00242131 176.99757869],0
b2,1,0.033977,4.495853,[12 32] ; [101 126],[18.34686347 25.65313653] ; [ 94.65313653 132.34686347],0
b3,1,0.033977,4.495853,[12 32] ; [101 126],[18.34686347 25.65313653] ; [ 94.65313653 132.34686347],0
p11,1,0.039134,4.255052,[54 19] ; [291  55],[60.10739857 12.89260143] ; [284.89260143  61.10739857],0
n4,1,0.054677,3.691895,[55 18] ; [292  53],[60.60047847 12.39952153] ; [286.39952153  58.60047847],0
a7,1,0.061018,3.509498,[47 26] ; [259  86],[53.44019139 19.55980861] ; [252.55980861  92.44019139],0
v3,1,0.090431,2.866689,[27 45] ; [160 170],[33.49253731 38.50746269] ; [153.50746269 176.49253731],0
u2,1,0.105335,2.622857,[ 7 10] ; [53 32],[10.  7.] ; [50. 35.],0
d1,1,0.130253,2.28949,[52 21] ; [214 132],[46.34367542 26.65632458] ; [219.65632458 126.34367542],0
v4,1,0.130618,2.285143,[70  3] ; [341   5],[71.60620525  1.39379475] ; [339.39379475   6.60620525],0
s1,1,0.1432,2.14323,[ 4 69] ; [  8 336],[ 2.10071942 70.89928058] ; [  9.89928058 334.10071942],0
a6,1,0.154876,2.023552,[45 28] ; [242 103],[50.12200957 22.87799043] ; [236.87799043 108.12200957],0
b4,1,0.178685,1.808528,[48 25] ; [198 148],[42.85918854 30.14081146] ; [203.14081146 142.85918854],0
d2,1,0.191753,1.704095,[44 29] ; [179 166],[38.94497608 34.05502392] ; [184.05502392 160.94497608],0
p9,1,0.197792,1.658603,[62 11] ; [309  34],[65.10336538  7.89663462] ; [305.89663462  37.10336538],0
n5,1,0.208969,1.578556,[54 19] ; [277  67],[57.94484412 15.05515588] ; [273.05515588  70.94484412],0
s7,1,0.230464,1.437993,[45 25] ; [183 141],[40.50761421 29.49238579] ; [187.49238579 136.50761421],0
v1,1,0.242823,1.364131,[40 33] ; [207 126],[44.41133005 28.58866995] ; [202.58866995 130.41133005],0
d3,1,0.248354,1.33254,[54 19] ; [232 114],[49.82816229 23.17183771] ; [236.17183771 109.82816229],0
u1,1,0.263312,1.25126,[20 53] ; [ 74 272],[16.37708831 56.62291169] ; [ 77.62291169 268.37708831],0
n3,1,0.303484,1.058824,[10  4] ; [41  8],[11.33333333  2.66666667] ; [39.66666667  9.33333333],0
p4,1,0.310086,1.030311,[62 11] ; [276  70],[58.88782816 14.11217184] ; [279.11217184  66.88782816],0
p10,1,0.366415,0.815786,[61 12] ; [301  43],[63.37170264  9.62829736] ; [298.62829736  45.37170264],0
u4,1,0.399654,0.709368,[ 1 72] ; [ 11 335],[ 2.09069212 70.90930788] ; [  9.90930788 336.09069212],0
d4,1,0.410374,0.677717,[63 10] ; [284  61],[60.60047847 12.39952153] ; [286.39952153  58.60047847],0
a4,1,0.48276,0.492622,[38 35] ; [164 181],[35.27751196 37.72248804] ; [166.72248804 178.27751196],0
n6,1,0.505324,0.443738,[62 11] ; [302  42],[63.72182254  9.27817746] ; [300.27817746  43.72182254],0
p5,1,0.53963,0.376226,[11 62] ; [ 62 281],[12.81009615 60.18990385] ; [ 60.18990385 282.81009615],0
n1,1,0.540291,0.375,[5 9] ; [22 27],[6. 8.] ; [21. 28.],0
b1,1,0.572876,0.317894,[33 40] ; [144 202],[30.83770883 42.16229117] ; [146.16229117 199.83770883],0
r2,1,0.5733,0.317191,[71  2] ; [338   6],[71.59952038  1.40047962] ; [337.40047962   6.59952038],0
d5,1,0.589711,0.290796,[63 10] ; [289  56],[61.47368421 11.52631579] ; [290.52631579  54.47368421],0
u3,1,0.600113,0.274825,[12  5] ; [55 31],[11.05825243  5.94174757] ; [55.94174757 30.05825243],0
p2,1,0.620835,0.244695,[63 10] ; [304  40],[64.2470024  8.7529976] ; [302.7529976  41.2470024],0
r3,1,0.623389,0.241133,[71  1] ; [338   8],[70.44976077  1.55023923] ; [338.55023923   7.44976077],0
p7,1,0.63636,0.223535,[58 15] ; [263  79],[56.46506024 16.53493976] ; [264.53493976  77.46506024],0
p12,1,0.659467,0.194172,[ 7 66] ; [ 39 304],[ 8.07211538 64.92788462] ; [ 37.92788462 305.07211538],0
p1,1,0.733084,0.116299,[10 63] ; [ 42 301],[ 9.125 63.875] ; [ 42.875 300.125],0
n2,1,0.756997,0.095745,[10  4] ; [37 12],[10.44444444  3.55555556] ; [36.55555556 12.44444444],0
s8,1,0.769086,0.086183,[40 33] ; [182 162],[38.86330935 34.13669065] ; [183.13669065 160.86330935],0
b5,1,0.832186,0.044901,[41 32] ; [199 147],[41.81384248 31.18615752] ; [198.18615752 147.81384248],0
