Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.536263,[21 37] ; [44 10],[33.66071429 24.33928571] ; [31.33928571 22.66071429],1
p8,1,0.000107,15.005888,[26 32] ; [42 10],[35.85454545 22.14545455] ; [32.14545455 19.85454545],1
p4,1,0.000184,13.988418,[25 33] ; [42 12],[34.69642857 23.30357143] ; [32.30357143 21.69642857],1
r1,1,0.000294,13.110229,[31 27] ; [46  8],[39.875 18.125] ; [37.125 16.875],1
a3,1,0.000725,11.423643,[23 34] ; [39 15],[31.83783784 25.16216216] ; [30.16216216 23.83783784],1
b3,1,0.000727,11.41934,[ 5 31] ; [18 17],[11.66197183 24.33802817] ; [11.33802817 23.66197183],1
b2,1,0.000727,11.41934,[ 5 31] ; [18 17],[11.66197183 24.33802817] ; [11.33802817 23.66197183],1
s7,1,0.001353,10.268826,[18 37] ; [32 18],[26.19047619 28.80952381] ; [23.80952381 26.19047619],0
p3,1,0.002357,9.248249,[22 36] ; [36 18],[30.03571429 27.96428571] ; [27.96428571 26.03571429],0
a7,1,0.004627,8.019753,[29 29] ; [41 13],[36.25 21.75] ; [33.75 20.25],0
a4,1,0.00478,7.960888,[ 6 52] ; [17 36],[12.01801802 45.98198198] ; [10.98198198 42.01801802],0
d3,1,0.004919,7.90913,[17 41] ; [30 24],[24.33928571 33.66071429] ; [22.66071429 31.33928571],0
s8,1,0.01163,6.366352,[16 42] ; [27 26],[22.46846847 35.53153153] ; [20.53153153 32.46846847],0
p9,1,0.013996,6.03864,[36 22] ; [44  9],[41.8018018 16.1981982] ; [38.1981982 14.8018018],0
r4,1,0.0172,5.675814,[41 17] ; [48  6],[46.08928571 11.91071429] ; [42.91071429 11.08928571],0
v3,1,0.018335,5.563842,[13 45] ; [23 30],[18.81081081 39.18918919] ; [17.18918919 35.81081081],0
p10,1,0.019495,5.456523,[34 24] ; [42 11],[39.71171171 18.28828829] ; [36.28828829 16.71171171],0
p12,1,0.03504,4.443202,[ 2 56] ; [ 8 46],[ 5.17857143 52.82142857] ; [ 4.82142857 49.17857143],0
s5,1,0.045746,3.99093,[12 44] ; [21 33],[16.8 39.2] ; [16.2 37.8],0
p11,1,0.049389,3.862069,[39 19] ; [45  9],[43.5 14.5] ; [40.5 13.5],0
b1,1,0.089991,2.874525,[24 34] ; [31 23],[28.48214286 29.51785714] ; [26.51785714 27.48214286],0
p2,1,0.111269,2.536099,[45 13] ; [48  6],[48.16071429  9.83928571] ; [44.83928571  9.16071429],0
d1,1,0.115619,2.475685,[ 2 56] ; [ 6 48],[ 4.14285714 53.85714286] ; [ 3.85714286 50.14285714],0
u1,1,0.145597,2.117788,[ 1 57] ; [ 4 50],[ 2.58928571 55.41071429] ; [ 2.41071429 51.58928571],0
p6,1,0.185766,1.750882,[22 34] ; [28 26],[25.45454545 30.54545455] ; [24.54545455 29.45454545],0
n1,1,0.192373,1.699346,[ 4 12] ; [5 5],[ 5.53846154 10.46153846] ; [3.46153846 6.53846154],0
u2,1,0.258559,1.276458,[19 14] ; [6 9],[17.1875 15.8125] ; [7.8125 7.1875],0
n5,1,0.265776,1.23842,[35 23] ; [38 16],[37.80357143 20.19642857] ; [35.19642857 18.80357143],0
d4,1,0.299673,1.07565,[32 25] ; [25 29],[29.27027027 27.72972973] ; [27.72972973 26.27027027],0
u3,1,0.305365,1.050618,[15 19] ; [9 6],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
s6,1,0.307512,1.041333,[30 27] ; [33 20],[32.64545455 24.35454545] ; [30.35454545 22.64545455],0
p1,1,0.3263,0.963526,[ 6 52] ; [ 9 45],[ 7.76785714 50.23214286] ; [ 7.23214286 46.76785714],0
v2,1,0.345697,0.889191,[24 32] ; [27 25],[26.44444444 29.55555556] ; [24.55555556 27.44444444],0
r3,1,0.457836,0.551179,[53  5] ; [47  7],[51.78571429  6.21428571] ; [48.21428571  5.78571429],0
s2,1,0.464618,0.534748,[25 33] ; [27 27],[26.92857143 31.07142857] ; [25.07142857 28.92857143],0
n6,1,0.468938,0.524479,[44 14] ; [44 10],[45.57142857 12.42857143] ; [42.42857143 11.57142857],0
p5,1,0.49359,0.468692,[ 8 49] ; [10 43],[ 9.32727273 47.67272727] ; [ 8.67272727 44.32727273],0
d2,1,0.511965,0.430049,[14 44] ; [16 38],[15.53571429 42.46428571] ; [14.46428571 39.53571429],0
n4,1,0.512888,0.42817,[33 25] ; [34 20],[34.69642857 23.30357143] ; [32.30357143 21.69642857],0
b5,1,0.524539,0.404959,[32 26] ; [33 21],[33.66071429 24.33928571] ; [31.33928571 22.66071429],0
s4,1,0.528338,0.397588,[10 48] ; [ 7 47],[ 8.80357143 49.19642857] ; [ 8.19642857 45.80357143],0
s3,1,0.585329,0.297698,[33 24] ; [34 20],[34.40540541 22.59459459] ; [32.59459459 21.40540541],0
a1,1,0.589479,0.291159,[ 2 56] ; [ 3 51],[ 2.58928571 55.41071429] ; [ 2.41071429 51.58928571],0
r2,1,0.671738,0.179576,[48  9] ; [47  7],[48.78378378  8.21621622] ; [46.21621622  7.78378378],0
v1,1,0.712461,0.135831,[25 31] ; [26 28],[25.96363636 30.03636364] ; [25.03636364 28.96363636],0
s1,1,0.722644,0.125974,[ 3 55] ; [ 2 51],[ 2.61261261 55.38738739] ; [ 2.38738739 50.61261261],0
a8,1,0.77629,0.080745,[ 6 50] ; [ 6 42],[ 6.46153846 49.53846154] ; [ 5.53846154 42.46153846],0
v4,1,0.799265,0.064668,[50  6] ; [49  5],[50.4  5.6] ; [48.6  5.4],0
b4,1,0.844698,0.038372,[29 29] ; [28 26],[29.51785714 28.48214286] ; [27.48214286 26.51785714],0
n2,1,0.946434,0.004514,[11  5] ; [7 3],[11.07692308  4.92307692] ; [6.92307692 3.07692308],0
