Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.508502,[51  7] ; [21 24],[40.54368932 17.45631068] ; [31.45631068 13.54368932],1
d1,1,0.006294,7.464275,[25 33] ; [ 8 37],[18.58252427 39.41747573] ; [14.41747573 30.58252427],0
n3,1,0.01117,6.438095,[19  2] ; [8 7],[15.75  5.25] ; [11.25  3.75],0
r2,1,0.02427,5.075205,[53  5] ; [33 11],[48.90196078  9.09803922] ; [37.09803922  6.90196078],0
d4,1,0.033297,4.53044,[47 11] ; [28 17],[42.23300971 15.76699029] ; [32.76699029 12.23300971],0
v2,1,0.036936,4.353353,[25 28] ; [12 33],[20.01020408 32.98979592] ; [16.98979592 28.01020408],0
r3,1,0.047007,3.945146,[54  4] ; [36  9],[50.67961165  7.32038835] ; [39.32038835  5.67961165],0
n1,1,0.057975,3.59439,[ 9 12] ; [ 2 13],[ 6.41666667 14.58333333] ; [ 4.58333333 10.41666667],0
a4,1,0.101016,2.689422,[12 46] ; [ 4 41],[ 9.00970874 48.99029126] ; [ 6.99029126 38.00970874],0
b1,1,0.112309,2.52142,[17 41] ; [20 25],[20.83495146 37.16504854] ; [16.16504854 28.83495146],0
d5,1,0.125141,2.351768,[39 19] ; [23 21],[35.25490196 22.74509804] ; [26.74509804 17.25490196],0
a6,1,0.142662,2.149012,[29 29] ; [16 29],[25.33980583 32.66019417] ; [19.66019417 25.33980583],0
b4,1,0.21022,1.569912,[38 20] ; [24 21],[34.91262136 23.08737864] ; [27.08737864 17.91262136],0
s6,1,0.217774,1.518978,[25 32] ; [14 30],[22.00990099 34.99009901] ; [16.99009901 27.00990099],0
a7,1,0.237411,1.395901,[42 16] ; [27 17],[39.23529412 18.76470588] ; [29.76470588 14.23529412],0
p6,1,0.242749,1.36456,[ 9 47] ; [11 32],[11.31313131 44.68686869] ; [ 8.68686869 34.31313131],0
v4,1,0.257838,1.280329,[53  5] ; [37  7],[51.17647059  6.82352941] ; [38.82352941  5.17647059],0
v1,1,0.304458,1.054565,[19 36] ; [11 33],[16.66666667 38.33333333] ; [13.33333333 30.66666667],0
n2,1,0.312563,1.019814,[14  6] ; [8 7],[12.57142857  7.42857143] ; [9.42857143 5.57142857],0
p2,1,0.339456,0.912486,[37 21] ; [32 12],[39.23529412 18.76470588] ; [29.76470588 14.23529412],0
d3,1,0.345455,0.890082,[37 21] ; [24 20],[34.68627451 23.31372549] ; [26.31372549 17.68627451],0
