Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.2e-05,15.748959,[31 12] ; [51 85],[19.69832402 23.30167598] ; [62.30167598 73.69832402],1
s5,1,0.001162,10.549351,[22 20] ; [34 99],[13.44 28.56] ; [42.56 90.44],0
s6,1,0.001403,10.2024,[35  8] ; [73 62],[26.08988764 16.91011236] ; [81.91011236 53.08988764],0
p6,1,0.00303,8.789502,[18 25] ; [ 26 108],[10.68926554 32.31073446] ; [ 33.31073446 100.68926554],0
s7,1,0.004088,8.244509,[22 20] ; [37 94],[14.32369942 27.67630058] ; [44.67630058 86.32369942],0
s3,1,0.025357,4.999369,[28 15] ; [61 73],[21.62146893 21.37853107] ; [67.37853107 66.62146893],0
p1,1,0.032729,4.559897,[ 6 37] ; [  6 127],[ 2.93181818 40.06818182] ; [  9.06818182 123.93181818],0
r2,1,0.064176,3.426046,[42  1] ; [119  16],[38.89325843  4.10674157] ; [122.10674157  12.89325843],0
d3,1,0.077505,3.116468,[34  8] ; [90 45],[29.42372881 12.57627119] ; [94.57627119 40.42372881],0
b1,1,0.078015,3.105772,[ 9 34] ; [48 88],[13.69273743 29.30726257] ; [43.30726257 92.69273743],0
n6,1,0.087045,2.928189,[33  9] ; [87 48],[28.47457627 13.52542373] ; [91.52542373 43.47457627],0
d2,1,0.150903,2.063102,[17 26] ; [38 98],[13.2122905 29.7877095] ; [41.7877095 94.2122905],0
p5,1,0.18179,1.78293,[ 1 42] ; [ 11 123],[ 2.91525424 40.08474576] ; [  9.08474576 124.91525424],0
d5,1,0.204347,1.611031,[33  9] ; [93 43],[29.73033708 12.26966292] ; [96.26966292 39.73033708],0
p8,1,0.204677,1.608687,[16 26] ; [67 69],[19.58426966 22.41573034] ; [63.41573034 72.58426966],0
p11,1,0.2376,1.394775,[29 14] ; [104  32],[31.94972067 11.05027933] ; [101.05027933  34.94972067],0
s8,1,0.253407,1.304421,[18 25] ; [44 92],[14.89385475 28.10614525] ; [47.10614525 88.89385475],0
r4,1,0.257921,1.279884,[38  5] ; [110  26],[35.55307263  7.44692737] ; [112.44692737  23.55307263],0
p10,1,0.258095,1.278948,[39  4] ; [113  22],[36.71910112  6.28089888] ; [115.28089888  19.71910112],0
d4,1,0.273198,1.200617,[36  7] ; [103  33],[33.39106145  9.60893855] ; [105.60893855  30.39106145],0
a5,1,0.27445,1.194368,[29 14] ; [79 57],[25.94413408 17.05586592] ; [82.05586592 53.94413408],0
p3,1,0.300566,1.07168,[13 30] ; [53 83],[15.8547486 27.1452514] ; [50.1452514 85.8547486],0
d1,1,0.327572,0.958471,[22 21] ; [58 78],[19.21787709 23.78212291] ; [60.78212291 75.21787709],0
v4,1,0.335112,0.929041,[39  4] ; [127   7],[40.32768362  2.67231638] ; [125.67231638   8.32768362],0
v1,1,0.364788,0.821342,[17 25] ; [64 68],[19.55172414 22.44827586] ; [61.44827586 70.55172414],0
