Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,81.647628,[187  72] ; [ 4 52],[157.04444444 101.95555556] ; [33.95555556 22.04444444],1
d4,1,0.0,55.42997,[235  24] ; [28 28],[216.24444444  42.75555556] ; [46.75555556  9.24444444],1
d3,1,2e-06,22.231837,[201  58] ; [26 30],[186.64444444  72.35555556] ; [40.35555556 15.64444444],1
a4,1,3e-06,21.995913,[125 133] ; [ 8 48],[109.28025478 148.71974522] ; [23.71974522 32.28025478],1
d2,1,4.4e-05,16.679159,[138 121] ; [13 43],[124.15555556 134.84444444] ; [26.84444444 29.15555556],1
a2,1,0.000415,12.462423,[ 71 188] ; [ 3 53],[ 60.84444444 198.15555556] ; [13.15555556 42.84444444],1
u1,1,0.001065,10.710446,[ 51 208] ; [ 1 55],[ 42.75555556 216.24444444] ; [ 9.24444444 46.75555556],0
a5,1,0.001317,10.319242,[198  61] ; [31 25],[188.28888889  70.71111111] ; [40.71111111 15.28888889],0
p1,1,0.024948,5.027461,[ 12 247] ; [ 7 49],[ 15.62222222 243.37777778] ; [ 3.37777778 52.62222222],0
a3,1,0.036845,4.35755,[193  66] ; [34 22],[186.64444444  72.35555556] ; [40.35555556 15.64444444],0
a7,1,0.03686,4.356856,[204  54] ; [37 19],[198.01910828  59.98089172] ; [42.98089172 13.01910828],0
a6,1,0.043165,4.088933,[192  67] ; [34 22],[185.82222222  73.17777778] ; [40.17777778 15.82222222],0
p2,1,0.07693,3.12859,[215  43] ; [41 15],[210.34394904  47.65605096] ; [45.65605096 10.34394904],0
p4,1,0.079144,3.082396,[154 102] ; [26 29],[148.16720257 107.83279743] ; [31.83279743 23.16720257],0
n2,1,0.090701,2.861885,[35 17] ; [11  1],[37.375 14.625] ; [8.625 3.375],0
p9,1,0.098772,2.725257,[214  41] ; [41 14],[209.75806452  45.24193548] ; [45.24193548  9.75806452],0
s7,1,0.118552,2.436352,[108 139] ; [17 36],[102.91666667 144.08333333] ; [22.08333333 30.91666667],0
s8,1,0.137877,2.201489,[101 157] ; [16 40],[ 96.13375796 161.86624204] ; [20.86624204 35.13375796],0
b5,1,0.140878,2.168347,[166  93] ; [30 26],[161.15555556  97.84444444] ; [34.84444444 21.15555556],0
b1,1,0.169462,1.887697,[ 86 173] ; [24 32],[ 90.44444444 168.55555556] ; [19.55555556 36.44444444],0
v3,1,0.193621,1.689849,[134 113] ; [25 31],[129.61386139 117.38613861] ; [29.38613861 26.61386139],0
r1,1,0.240592,1.377121,[216  43] ; [43 13],[212.95555556  46.04444444] ; [46.04444444  9.95555556],0
a1,1,0.248763,1.330236,[ 14 245] ; [ 1 55],[ 12.33333333 246.66666667] ; [ 2.66666667 53.33333333],0
s6,1,0.261899,1.258689,[152 105] ; [28 27],[148.26923077 108.73076923] ; [31.73076923 23.26923077],0
r2,1,0.276249,1.185449,[238  17] ; [49  6],[236.08064516  18.91935484] ; [50.91935484  4.08064516],0
s3,1,0.303521,1.058658,[115 140] ; [29 26],[118.4516129 136.5483871] ; [25.5483871 29.4516129],0
a8,1,0.324573,0.970429,[ 34 195] ; [ 5 47],[ 31.78291815 197.21708185] ; [ 7.21708185 44.78291815],0
p10,1,0.331252,0.943999,[205  50] ; [41 14],[202.35483871  52.64516129] ; [43.64516129 11.35483871],0
p5,1,0.35617,0.851351,[ 11 248] ; [ 4 52],[ 12.33333333 246.66666667] ; [ 2.66666667 53.33333333],0
n4,1,0.39891,0.71161,[202  57] ; [40 15],[199.61146497  59.38853503] ; [42.38853503 12.61146497],0
s2,1,0.414735,0.665186,[104 153] ; [19 36],[101.31730769 155.68269231] ; [21.68269231 33.31730769],0
n1,1,0.459543,0.547009,[12 40] ; [4 8],[13. 39.] ; [3. 9.],0
p3,1,0.49668,0.462022,[123 134] ; [24 32],[120.69968051 136.30031949] ; [26.30031949 29.69968051],0
u3,1,0.538148,0.378984,[35 31] ; [10 12],[33.75 32.25] ; [11.25 10.75],0
b4,1,0.55527,0.34796,[159 100] ; [32 24],[157.04444444 101.95555556] ; [33.95555556 22.04444444],0
r4,1,0.573384,0.317053,[229  30] ; [48  8],[227.75555556  31.24444444] ; [49.24444444  6.75555556],0
u4,1,0.58836,0.292912,[  6 253] ; [ 2 54],[  6.57777778 252.42222222] ; [ 1.42222222 54.57777778],0
b2,1,0.58837,0.292897,[ 56 103] ; [10 23],[ 54.65625 104.34375] ; [11.34375 21.65625],0
b3,1,0.58837,0.292897,[ 56 103] ; [10 23],[ 54.65625 104.34375] ; [11.34375 21.65625],0
p8,1,0.591111,0.288612,[125 127] ; [30 26],[126.81818182 125.18181818] ; [28.18181818 27.81818182],0
p7,1,0.693009,0.155847,[159  94] ; [33 22],[157.71428571  95.28571429] ; [34.28571429 20.71428571],0
p12,1,0.773554,0.082788,[ 16 241] ; [ 4 51],[ 16.47435897 240.52564103] ; [ 3.52564103 51.47435897],0
n5,1,0.786749,0.073189,[187  70] ; [41 14],[187.80769231  69.19230769] ; [40.19230769 14.80769231],0
v1,1,0.800752,0.063693,[160  94] ; [35 19],[160.81168831  93.18831169] ; [34.18831169 19.81168831],0
p11,1,0.802434,0.062599,[209  50] ; [46 10],[209.66666667  49.33333333] ; [45.33333333 10.66666667],0
s1,1,0.825009,0.048888,[  6 250] ; [ 1 53],[  5.78064516 250.21935484] ; [ 1.21935484 52.78064516],0
v4,1,0.83815,0.041722,[243  16] ; [52  3],[243.32802548  15.67197452] ; [51.67197452  3.32802548],0
u2,1,0.862377,0.03005,[36 30] ; [11 10],[35.65517241 30.34482759] ; [11.34482759  9.65517241],0
s4,1,0.897613,0.016558,[ 25 234] ; [ 5 50],[ 24.74522293 234.25477707] ; [ 5.25477707 49.74522293],0
r3,1,0.914194,0.01161,[248  10] ; [54  2],[248.14012739   9.85987261] ; [53.85987261  2.14012739],0
n3,1,0.972676,0.001173,[40 13] ; [9 3],[39.95384615 13.04615385] ; [9.04615385 2.95384615],0
p6,1,0.977396,0.000803,[ 86 166] ; [19 37],[ 85.90909091 166.09090909] ; [19.09090909 36.90909091],0
n6,1,0.996086,2.4e-05,[212  46] ; [46 10],[211.98726115  46.01273885] ; [46.01273885  9.98726115],0
