Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000552,11.931818,[21 21] ; [29  4],[28. 14.] ; [22. 11.],1
s3,1,0.000698,11.495192,[ 9 32] ; [19 12],[15.94444444 25.05555556] ; [12.05555556 18.94444444],1
s2,1,0.000903,11.016493,[ 7 35] ; [17 15],[13.62162162 28.37837838] ; [10.37837838 21.62162162],1
r4,1,0.00107,10.701553,[22 20] ; [29  4],[28.56 13.44] ; [22.44 10.56],0
s4,1,0.001176,10.528181,[ 2 40] ; [11 22],[ 7.28 34.72] ; [ 5.72 27.28],0
s8,1,0.001687,9.862013,[ 3 39] ; [12 21],[ 8.4 33.6] ; [ 6.6 26.4],0
s5,1,0.007954,7.043764,[ 1 39] ; [ 7 24],[ 4.50704225 35.49295775] ; [ 3.49295775 27.50704225],0
p6,1,0.008001,7.033212,[ 3 38] ; [10 22],[ 7.30136986 33.69863014] ; [ 5.69863014 26.30136986],0
v2,1,0.013323,6.125724,[ 9 30] ; [16 15],[13.92857143 25.07142857] ; [11.07142857 19.92857143],0
s7,1,0.031137,4.645374,[ 5 36] ; [10 20],[ 8.66197183 32.33802817] ; [ 6.33802817 23.66197183],0
r3,1,0.032751,4.558745,[28 14] ; [29  4],[31.92 10.08] ; [25.08  7.92],0
v4,1,0.045616,3.99572,[27 15] ; [28  5],[30.8 11.2] ; [24.2  8.8],0
a7,1,0.083478,2.995857,[17 25] ; [20 13],[20.72 21.28] ; [16.28 16.72],0
a8,1,0.083718,2.9912,[ 1 40] ; [ 4 27],[ 2.84722222 38.15277778] ; [ 2.15277778 28.84722222],0
v1,1,0.086263,2.942768,[10 32] ; [14 19],[13.44 28.56] ; [10.56 22.44],0
r1,1,0.128643,2.308802,[22 20] ; [23 10],[25.2 16.8] ; [19.8 13.2],0
b4,1,0.128643,2.308802,[22 20] ; [23 10],[25.2 16.8] ; [19.8 13.2],0
u3,1,0.136209,2.220271,[10 14] ; [14  8],[12.52173913 11.47826087] ; [11.47826087 10.52173913],0
d2,1,0.140779,2.169421,[14 28] ; [ 6 27],[11.2 30.8] ; [ 8.8 24.2],0
p11,1,0.147446,2.098474,[21 21] ; [22 11],[24.08 17.92] ; [18.92 14.08],0
p4,1,0.197718,1.659149,[ 7 33] ; [10 23],[ 9.31506849 30.68493151] ; [ 7.68493151 25.31506849],0
b5,1,0.264525,1.244918,[24 18] ; [23 10],[26.32 15.68] ; [20.68 12.32],0
p3,1,0.265725,1.238685,[ 7 35] ; [ 9 24],[ 8.96 33.04] ; [ 7.04 25.96],0
n5,1,0.283851,1.148559,[21 20] ; [21 12],[23.27027027 17.72972973] ; [18.72972973 14.27027027],0
p7,1,0.29634,1.090592,[12 28] ; [13 18],[14.08450704 25.91549296] ; [10.91549296 20.08450704],0
d5,1,0.314547,1.011489,[18 24] ; [18 15],[20.16 21.84] ; [15.84 17.16],0
n2,1,0.317311,1.0,[13  5] ; [3 3],[12.  6.] ; [4. 2.],0
b1,1,0.340461,0.908695,[17 25] ; [17 16],[19.04 22.96] ; [14.96 18.04],0
d1,1,0.343709,0.896547,[13 29] ; [ 7 26],[11.2 30.8] ; [ 8.8 24.2],0
p12,1,0.419539,0.651605,[ 1 41] ; [ 2 31],[ 1.68 40.32] ; [ 1.32 31.68],0
a1,1,0.431399,0.619055,[ 3 39] ; [ 1 32],[ 2.24 39.76] ; [ 1.76 31.24],0
n4,1,0.438503,0.600197,[23 19] ; [21 12],[24.64 17.36] ; [19.36 13.64],0
a3,1,0.459006,0.548317,[18 24] ; [11 21],[16.45945946 25.54054054] ; [12.54054054 19.45945946],0
d3,1,0.520578,0.412747,[16 26] ; [15 18],[17.36 24.64] ; [13.64 19.36],0
b3,1,0.531387,0.391738,[ 8 18] ; [ 4 14],[ 7.09090909 18.90909091] ; [ 4.90909091 13.09090909],0
b2,1,0.531387,0.391738,[ 8 18] ; [ 4 14],[ 7.09090909 18.90909091] ; [ 4.90909091 13.09090909],0
u2,1,0.536355,0.382338,[12 12] ; [13  9],[13.04347826 10.95652174] ; [11.95652174 10.04347826],0
d4,1,0.553638,0.350839,[27 15] ; [19 14],[25.76 16.24] ; [20.24 12.76],0
v3,1,0.556298,0.346154,[10 30] ; [10 22],[11.11111111 28.88888889] ; [ 8.88888889 23.11111111],0
n3,1,0.632585,0.228571,[10  8] ; [4 2],[10.5  7.5] ; [3.5 2.5],0
a4,1,0.642817,0.215076,[ 5 37] ; [ 5 27],[ 5.67567568 36.32432432] ; [ 4.32432432 27.67567568],0
a6,1,0.669764,0.181878,[16 26] ; [11 22],[15.12 26.88] ; [11.88 21.12],0
p9,1,0.792069,0.069498,[20 20] ; [15 17],[19.44444444 20.55555556] ; [15.55555556 16.44444444],0
n1,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
p8,1,0.816056,0.054113,[ 8 34] ; [ 7 26],[ 8.4 33.6] ; [ 6.6 26.4],0
p1,1,0.852043,0.034787,[ 3 39] ; [ 2 31],[ 2.8 39.2] ; [ 2.2 30.8],0
s1,1,0.865161,0.028835,[ 6 36] ; [ 4 27],[ 5.75342466 36.24657534] ; [ 4.24657534 26.75342466],0
r2,1,0.884518,0.021096,[33  8] ; [27  6],[33.24324324  7.75675676] ; [26.75675676  6.24324324],0
p10,1,0.933193,0.007027,[19 21] ; [16 17],[19.17808219 20.82191781] ; [15.82191781 17.17808219],0
