Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8e-06,19.898704,[ 18 101] ; [18 17],[27.81818182 91.18181818] ; [ 8.18181818 26.81818182],1
s2,1,0.002678,9.014863,[38 81] ; [21 14],[45.59090909 73.40909091] ; [13.40909091 21.59090909],0
r3,1,0.003742,8.405011,[89 30] ; [34  1],[95.04545455 23.95454545] ; [27.95454545  7.04545455],0
r4,1,0.005714,7.638508,[77 43] ; [31  4],[83.61290323 36.38709677] ; [24.38709677 10.61290323],0
v4,1,0.006291,7.464993,[86 33] ; [33  2],[91.95454545 27.04545455] ; [27.04545455  7.95454545],0
s6,1,0.00842,6.941908,[51 67] ; [24 11],[57.84313725 60.15686275] ; [17.15686275 17.84313725],0
u1,1,0.009392,6.746728,[ 13 107] ; [10 25],[ 17.80645161 102.19354839] ; [ 5.19354839 29.80645161],0
s8,1,0.020636,5.357249,[33 86] ; [17 18],[38.63636364 80.36363636] ; [11.36363636 23.63636364],0
s3,1,0.020722,5.35003,[48 70] ; [22 13],[53.9869281 64.0130719] ; [16.0130719 18.9869281],0
p10,1,0.027231,4.876116,[52 65] ; [23 12],[57.73026316 59.26973684] ; [17.26973684 17.73026316],0
p9,1,0.039205,4.251954,[55 58] ; [24 11],[60.31756757 52.68243243] ; [18.68243243 16.31756757],0
s5,1,0.042234,4.125795,[20 93] ; [11 21],[24.15862069 88.84137931] ; [ 6.84137931 25.15862069],0
n6,1,0.073145,3.211005,[76 43] ; [28  7],[80.36363636 38.63636364] ; [23.63636364 11.36363636],0
p11,1,0.109794,2.557179,[57 63] ; [22 13],[61.16129032 58.83870968] ; [17.83870968 17.16129032],0
p5,1,0.153034,2.041743,[  2 117] ; [ 2 30],[  3.15231788 115.84768212] ; [ 0.84768212 31.15231788],0
d5,1,0.172394,1.861999,[81 38] ; [28  7],[84.22727273 34.77272727] ; [24.77272727 10.22727273],0
p6,1,0.174765,1.84159,[ 11 107] ; [ 6 28],[ 13.19736842 104.80263158] ; [ 3.80263158 30.19736842],0
r1,1,0.187228,1.739294,[74 45] ; [26  9],[77.27272727 41.72727273] ; [22.72727273 12.27272727],0
n3,1,0.193031,1.694332,[28 21] ; [10  3],[30.03225806 18.96774194] ; [7.96774194 5.03225806],0
d1,1,0.193125,1.693619,[57 63] ; [21 14],[60.38709677 59.61290323] ; [17.61290323 17.38709677],0
s7,1,0.201635,1.630495,[39 74] ; [15 17],[42.08275862 70.91724138] ; [11.91724138 20.08275862],0
p7,1,0.22574,1.467505,[23 94] ; [10 24],[25.56953642 91.43046358] ; [ 7.43046358 26.56953642],0
d2,1,0.241364,1.37261,[57 60] ; [21 14],[60.03947368 56.96052632] ; [17.96052632 17.03947368],0
r2,1,0.251147,1.316913,[97 19] ; [32  3],[99.09933775 16.90066225] ; [29.90066225  5.09933775],0
u3,1,0.27402,1.196513,[21 22] ; [8 4],[22.67272727 20.32727273] ; [6.32727273 5.67272727],0
v1,1,0.288213,1.127948,[40 79] ; [14 18],[42.55629139 76.44370861] ; [11.44370861 20.55629139],0
n2,1,0.320224,0.988032,[33 20] ; [10  3],[34.53030303 18.46969697] ; [8.46969697 4.53030303],0
a4,1,0.370055,0.803478,[51 68] ; [18 17],[53.31818182 65.68181818] ; [15.68181818 19.31818182],0
u2,1,0.380707,0.768418,[21 22] ; [7 4],[22.2962963 20.7037037] ; [5.7037037 5.2962963],0
b5,1,0.383997,0.757866,[69 51] ; [23 12],[71.22580645 48.77419355] ; [20.77419355 14.22580645],0
a1,1,0.475276,0.509682,[ 12 108] ; [ 5 30],[ 13.16129032 106.83870968] ; [ 3.83870968 31.16129032],0
a5,1,0.54141,0.372932,[72 48] ; [23 12],[73.5483871 46.4516129] ; [21.4516129 13.5483871],0
a6,1,0.610261,0.259794,[67 52] ; [18 17],[65.68181818 53.31818182] ; [19.31818182 15.68181818],0
a7,1,0.632779,0.228311,[70 49] ; [19 16],[68.77272727 50.22727273] ; [20.22727273 14.77272727],0
n5,1,0.771271,0.084514,[75 44] ; [23 12],[75.72727273 43.27272727] ; [22.27272727 12.72727273],0
v2,1,0.782113,0.076489,[46 65] ; [15 19],[46.69655172 64.30344828] ; [14.30344828 19.69655172],0
b2,1,0.792162,0.069434,[32 47] ; [ 9 15],[31.44660194 47.55339806] ; [ 9.55339806 14.44660194],0
b3,1,0.792162,0.069434,[32 47] ; [ 9 15],[31.44660194 47.55339806] ; [ 9.55339806 14.44660194],0
s1,1,0.81969,0.051958,[  9 109] ; [ 3 31],[  9.31578947 108.68421053] ; [ 2.68421053 31.31578947],0
n1,1,0.819984,0.051786,[24 29] ; [5 7],[23.64615385 29.35384615] ; [5.35384615 6.64615385],0
b4,1,0.86013,0.03105,[70 50] ; [21 14],[70.4516129 49.5483871] ; [20.5483871 14.4516129],0
p12,1,0.87482,0.024819,[  6 113] ; [ 2 33],[  6.18181818 112.81818182] ; [ 1.81818182 33.18181818],0
u4,1,0.888427,0.019683,[  4 116] ; [ 1 34],[  3.87096774 116.12903226] ; [ 1.12903226 33.87096774],0
d3,1,0.888548,0.01964,[63 56] ; [19 16],[63.36363636 55.63636364] ; [18.63636364 16.36363636],0
b1,1,0.911093,0.012468,[63 57] ; [18 17],[62.70967742 57.29032258] ; [18.29032258 16.70967742],0
a3,1,0.912487,0.012078,[77 42] ; [23 12],[77.27272727 41.72727273] ; [22.72727273 12.27272727],0
a2,1,0.91257,0.012056,[23 97] ; [ 7 28],[23.22580645 96.77419355] ; [ 6.77419355 28.22580645],0
v3,1,0.938728,0.005909,[35 76] ; [10 21],[35.17605634 75.82394366] ; [ 9.82394366 21.17605634],0
n4,1,0.941068,0.005465,[79 40] ; [23 12],[78.81818182 40.18181818] ; [23.18181818 11.81818182],0
a8,1,0.945728,0.004634,[ 11 105] ; [ 3 30],[ 10.89932886 105.10067114] ; [ 3.10067114 29.89932886],0
d4,1,0.95192,0.003636,[89 30] ; [26  9],[88.86363636 30.13636364] ; [26.13636364  8.86363636],0
s4,1,0.957631,0.002822,[25 94] ; [ 7 27],[24.88888889 94.11111111] ; [ 7.11111111 26.88888889],0
p1,1,0.964337,0.001999,[ 10 110] ; [ 3 32],[ 10.06451613 109.93548387] ; [ 2.93548387 32.06451613],0
