Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.5e-05,15.229501,[ 8 18] ; [24  5],[15.12727273 10.87272727] ; [16.87272727 12.12727273],1
s2,1,0.000418,12.44916,[ 4 22] ; [18 11],[10.4 15.6] ; [11.6 17.4],1
s5,1,0.008227,6.983332,[ 2 23] ; [11 17],[ 6.13207547 18.86792453] ; [ 6.86792453 21.13207547],0
r4,1,0.018077,5.588652,[17 10] ; [26  3],[20.73214286  6.26785714] ; [22.26785714  6.73214286],0
r1,1,0.022882,5.177452,[16 11] ; [25  4],[19.76785714  7.23214286] ; [21.23214286  7.76785714],0
s7,1,0.036324,4.38183,[ 6 18] ; [15 13],[ 9.69230769 14.30769231] ; [11.30769231 16.69230769],0
r3,1,0.045033,4.017398,[19  7] ; [27  2],[21.74545455  4.25454545] ; [24.25454545  4.74545455],0
n1,1,0.092133,2.836706,[5 2] ; [3 7],[3.29411765 3.70588235] ; [4.70588235 5.29411765],0
p4,1,0.100445,2.698465,[ 9 18] ; [16 13],[12.05357143 14.94642857] ; [12.94642857 16.05357143],0
v4,1,0.101489,2.681992,[21  6] ; [27  2],[23.14285714  3.85714286] ; [24.85714286  4.14285714],0
p7,1,0.12317,2.376543,[ 8 19] ; [14 14],[10.8 16.2] ; [11.2 16.8],0
a1,1,0.136092,2.221601,[ 4 23] ; [ 1 28],[ 2.41071429 24.58928571] ; [ 2.58928571 26.41071429],0
a8,1,0.155549,2.01697,[ 2 23] ; [ 6 21],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
p2,1,0.186357,1.746183,[12 15] ; [18 11],[14.46428571 12.53571429] ; [15.53571429 13.46428571],0
a5,1,0.190098,1.716858,[14 13] ; [20  9],[16.39285714 10.60714286] ; [17.60714286 11.39285714],0
p3,1,0.201425,1.632011,[ 6 21] ; [11 18],[ 8.19642857 18.80357143] ; [ 8.80357143 20.19642857],0
v1,1,0.227661,1.455418,[13 14] ; [18 10],[15.21818182 11.78181818] ; [15.78181818 12.21818182],0
u1,1,0.266191,1.236271,[ 2 25] ; [ 5 24],[ 3.375 23.625] ; [ 3.625 25.375],0
p8,1,0.359181,0.840755,[ 8 19] ; [12 17],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
s8,1,0.414128,0.666919,[ 8 18] ; [12 17],[ 9.45454545 16.54545455] ; [10.54545455 18.45454545],0
n4,1,0.421921,0.644958,[22  5] ; [21  8],[20.73214286  6.26785714] ; [22.26785714  6.73214286],0
b4,1,0.449237,0.572577,[17 10] ; [21  8],[18.32142857  8.67857143] ; [19.67857143  9.32142857],0
d4,1,0.466502,0.530249,[21  5] ; [21  8],[19.85454545  6.14545455] ; [22.14545455  6.85454545],0
r2,1,0.510878,0.432267,[25  2] ; [28  1],[25.55357143  1.44642857] ; [27.44642857  1.55357143],0
a3,1,0.5343,0.386207,[18  9] ; [17 12],[16.875 10.125] ; [18.125 10.875],0
d1,1,0.570864,0.321239,[11 16] ; [14 15],[12.05357143 14.94642857] ; [12.94642857 16.05357143],0
s1,1,0.574473,0.315256,[ 1 26] ; [ 2 26],[ 1.47272727 25.52727273] ; [ 1.52727273 26.47272727],0
a7,1,0.577084,0.310973,[18  8] ; [18 11],[17.01818182  8.98181818] ; [18.98181818 10.01818182],0
b1,1,0.585917,0.296766,[15 12] ; [14 15],[13.98214286 13.01785714] ; [15.01785714 13.98214286],0
n3,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
v2,1,0.610063,0.260084,[14 12] ; [17 11],[14.92592593 11.07407407] ; [16.07407407 11.92592593],0
p9,1,0.630677,0.231144,[ 8 19] ; [10 18],[ 8.83636364 18.16363636] ; [ 9.16363636 18.83636364],0
n6,1,0.672407,0.178799,[20  7] ; [20  9],[19.28571429  7.71428571] ; [20.71428571  8.28571429],0
d3,1,0.697595,0.150986,[19  8] ; [19 10],[18.32142857  8.67857143] ; [19.67857143  9.32142857],0
d2,1,0.701278,0.147146,[13 13] ; [13 16],[12.29090909 13.70909091] ; [13.70909091 15.29090909],0
u2,1,0.713628,0.13468,[4 4] ; [7 5],[4.4 3.6] ; [6.6 5.4],0
p6,1,0.715337,0.133005,[ 5 20] ; [ 7 22],[ 5.55555556 19.44444444] ; [ 6.44444444 22.55555556],0
p11,1,0.789137,0.07152,[13 14] ; [15 14],[13.5 13.5] ; [14.5 14.5],0
b2,1,0.796602,0.066434,[ 3 14] ; [ 4 15],[ 3.30555556 13.69444444] ; [ 3.69444444 15.30555556],0
b3,1,0.796602,0.066434,[ 3 14] ; [ 4 15],[ 3.30555556 13.69444444] ; [ 3.69444444 15.30555556],0
a4,1,0.803387,0.061984,[13 14] ; [13 16],[12.53571429 14.46428571] ; [13.46428571 15.53571429],0
d5,1,0.888509,0.019653,[20  7] ; [21  8],[19.76785714  7.23214286] ; [21.23214286  7.76785714],0
a2,1,0.888509,0.019653,[ 7 20] ; [ 8 21],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
u3,1,0.898708,0.016204,[5 4] ; [7 5],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
a6,1,0.927669,0.008241,[18  9] ; [19 10],[17.83928571  9.16071429] ; [19.16071429  9.83928571],0
b5,1,0.927669,0.008241,[18  9] ; [19 10],[17.83928571  9.16071429] ; [19.16071429  9.83928571],0
n5,1,0.961289,0.002356,[16 11] ; [17 12],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
