Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,22.014019,[28  7] ; [45 82],[15.77160494 19.22839506] ; [57.22839506 69.77160494],1
s2,1,0.000338,12.847656,[20 15] ; [32 95],[11.2345679 23.7654321] ; [40.7654321 86.2345679],1
p3,1,0.005316,7.768551,[16 19] ; [28 99],[ 9.50617284 25.49382716] ; [34.49382716 92.50617284],0
s3,1,0.006131,7.511487,[20 14] ; [42 85],[13.0931677 20.9068323] ; [48.9068323 78.0931677],0
p5,1,0.016952,5.701335,[ 4 30] ; [  3 124],[ 1.47826087 32.52173913] ; [  5.52173913 121.47826087],0
n6,1,0.018406,5.557073,[28  7] ; [74 53],[22.03703704 12.96296296] ; [79.96296296 47.03703704],0
a1,1,0.018809,5.519195,[ 4 31] ; [  3 125],[ 1.50306748 33.49693252] ; [  5.49693252 122.50306748],0
a5,1,0.022847,5.180071,[24 11] ; [60 68],[18.03680982 16.96319018] ; [65.96319018 62.03680982],0
b1,1,0.023362,5.141372,[ 6 29] ; [48 80],[11.59509202 23.40490798] ; [42.40490798 85.59509202],0
d4,1,0.034707,4.459533,[31  4] ; [91 37],[26.19631902  8.80368098] ; [95.80368098 32.19631902],0
s8,1,0.046864,3.950267,[ 8 27] ; [ 13 115],[ 4.50920245 30.49079755] ; [ 16.49079755 111.50920245],0
p9,1,0.047172,3.939258,[29  6] ; [83 44],[24.19753086 10.80246914] ; [87.80246914 39.19753086],0
u2,1,0.065285,3.397749,[ 5 13] ; [31 28],[8.41558442 9.58441558] ; [27.58441558 31.41558442],0
d1,1,0.073688,3.198889,[19 16] ; [48 80],[14.38650307 20.61349693] ; [52.61349693 75.38650307],0
n5,1,0.083345,2.998441,[ 7 28] ; [45 82],[11.2345679 23.7654321] ; [40.7654321 86.2345679],0
p10,1,0.088563,2.900301,[25  9] ; [73 54],[20.69565217 13.30434783] ; [77.30434783 49.69565217],0
r3,1,0.098126,2.735743,[34  1] ; [112  16],[31.34969325  3.65030675] ; [114.65030675  13.34969325],0
r2,1,0.118096,2.442387,[32  2] ; [107  21],[29.17283951  4.82716049] ; [109.82716049  18.17283951],0
d2,1,0.122214,2.38871,[14 21] ; [34 94],[10.30674847 24.69325153] ; [37.69325153 90.30674847],0
u1,1,0.14083,2.168863,[ 4 31] ; [  6 122],[ 2.14723926 32.85276074] ; [  7.85276074 120.14723926],0
v1,1,0.166767,1.911771,[15 18] ; [41 85],[11.62264151 21.37735849] ; [44.37735849 81.62264151],0
p11,1,0.168786,1.893691,[26  9] ; [79 49],[22.54601227 12.45398773] ; [82.45398773 45.54601227],0
a2,1,0.174681,1.842307,[ 5 30] ; [  9 119],[ 3.00613497 31.99386503] ; [ 10.99386503 117.00613497],0
a4,1,0.193467,1.691015,[12 23] ; [30 98],[ 9.01840491 25.98159509] ; [32.98159509 95.01840491],0
n3,1,0.275463,1.189338,[5 5] ; [36 17],[6.50793651 3.49206349] ; [34.49206349 18.50793651],0
s4,1,0.314799,1.010434,[ 8 27] ; [ 20 108],[ 6.01226994 28.98773006] ; [ 21.98773006 106.01226994],0
r4,1,0.333761,0.934249,[28  7] ; [92 36],[25.76687117  9.23312883] ; [94.23312883 33.76687117],0
r1,1,0.339408,0.912665,[24 10] ; [79 49],[21.61728395 12.38271605] ; [81.38271605 46.61728395],0
v2,1,0.381531,0.765764,[18 17] ; [53 70],[15.7278481 19.2721519] ; [55.2721519 67.7278481],0
v4,1,0.403731,0.697186,[31  2] ; [114  14],[29.72049689  3.27950311] ; [115.27950311  12.72049689],0
p2,1,0.413488,0.66875,[26  8] ; [88 39],[24.07453416  9.92546584] ; [89.92546584 37.07453416],0
p1,1,0.454969,0.558244,[ 2 32] ; [  4 123],[ 1.26708075 32.73291925] ; [  4.73291925 122.26708075],0
d5,1,0.499703,0.455568,[25 10] ; [83 44],[23.33333333 11.66666667] ; [84.66666667 42.33333333],0
p4,1,0.500516,0.453842,[14 21] ; [43 84],[12.31481481 22.68518519] ; [44.68518519 82.31481481],0
