Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,65.800096,[121  58] ; [ 31 110],[85.025 93.975] ; [66.975 74.025],1
p6,1,0.0,38.012614,[ 76 105] ; [ 15 125],[ 51.31152648 129.68847352] ; [ 39.68847352 100.31152648],1
p4,1,0.0,33.814788,[120  62] ; [47 94],[94.09907121 87.90092879] ; [72.90092879 68.09907121],1
p2,1,0.0,29.808413,[160  21] ; [89 53],[139.53250774  41.46749226] ; [109.46749226  32.53250774],1
p3,1,0.0,26.702655,[98 84] ; [ 36 106],[ 75.27160494 106.72839506] ; [58.72839506 83.27160494],1
d5,1,2.8e-05,17.516432,[158  25] ; [95 47],[142.45846154  40.54153846] ; [110.54153846  31.45846154],1
r4,1,9.2e-05,15.288117,[167  16] ; [107  35],[154.28307692  28.71692308] ; [119.71692308  22.28307692],1
r3,1,9.8e-05,15.165821,[173   9] ; [114  26],[162.2173913  19.7826087] ; [124.7826087  15.2173913],1
v1,1,0.000761,11.334688,[107  70] ; [58 82],[92.12933754 84.87066246] ; [72.87066246 67.12933754],1
r1,1,0.001373,10.242052,[143  37] ; [90 52],[130.2484472  49.7515528] ; [102.7515528  39.2484472],0
p10,1,0.001727,9.819039,[151  30] ; [96 44],[139.2741433  41.7258567] ; [107.7258567  32.2741433],0
v4,1,0.001785,9.758762,[171  11] ; [118  24],[162.33950617  19.66049383] ; [126.66049383  15.33950617],0
v2,1,0.003119,8.736668,[98 77] ; [51 80],[85.2124183 89.7875817] ; [63.7875817 67.2124183],0
p9,1,0.006082,7.525882,[153  28] ; [100  39],[143.103125  37.896875] ; [109.896875  29.103125],0
s6,1,0.009425,6.740474,[100  77] ; [59 82],[88.5 88.5] ; [70.5 70.5],0
s5,1,0.011625,6.367175,[ 49 130] ; [ 21 115],[ 39.77777778 139.22222222] ; [ 30.22222222 105.77777778],0
d4,1,0.012053,6.303115,[148  35] ; [97 44],[138.37962963  44.62037037] ; [106.62037037  34.37962963],0
d1,1,0.016412,5.758172,[107  76] ; [64 78],[96.28615385 86.71384615] ; [74.71384615 67.28615385],0
a1,1,0.017797,5.615994,[  4 179] ; [ 11 131],[  8.44615385 174.55384615] ; [  6.55384615 135.44615385],0
s8,1,0.017884,5.607501,[ 42 141] ; [ 18 124],[ 33.78461538 149.21538462] ; [ 26.21538462 115.78461538],0
p5,1,0.026181,4.944001,[ 20 162] ; [  6 136],[ 14.60493827 167.39506173] ; [ 11.39506173 130.60493827],0
n4,1,0.07879,3.089688,[160  23] ; [114  28],[154.28307692  28.71692308] ; [119.71692308  22.28307692],0
p11,1,0.08094,3.045915,[150  33] ; [105  37],[143.58461538  39.41538462] ; [111.41538462  30.58461538],0
b4,1,0.092369,2.832589,[103  80] ; [93 49],[110.36307692  72.63692308] ; [85.63692308 56.36307692],0
a2,1,0.092721,2.826479,[ 45 138] ; [ 24 118],[ 38.85230769 144.14769231] ; [ 30.14769231 111.85230769],0
n3,1,0.115759,2.473788,[24  6] ; [29 17],[20.92105263  9.07894737] ; [32.07894737 13.92105263],0
s2,1,0.1249,2.354773,[ 56 125] ; [ 32 106],[ 49.93103448 131.06896552] ; [38.06896552 99.93103448],0
a7,1,0.134743,2.236996,[134  48] ; [93 48],[127.90712074  54.09287926] ; [99.09287926 41.90712074],0
n6,1,0.159214,1.981677,[157  24] ; [115  27],[152.42105263  28.57894737] ; [119.57894737  22.42105263],0
u1,1,0.18741,1.737865,[ 27 156] ; [ 14 128],[ 23.08615385 159.91384615] ; [ 17.91384615 124.08615385],0
p12,1,0.20469,1.608591,[  7 174] ; [ 10 132],[  9.52631579 171.47368421] ; [  7.47368421 134.52631579],0
r2,1,0.20522,1.604833,[166  14] ; [125  17],[162.67080745  17.32919255] ; [128.32919255  13.67080745],0
v3,1,0.220087,1.503804,[ 62 114] ; [39 97],[ 56.97435897 119.02564103] ; [44.02564103 91.97435897],0
a5,1,0.22973,1.442533,[130  53] ; [92 50],[125.00307692  57.99692308] ; [96.99692308 45.00307692],0
b5,1,0.245509,1.34868,[116  67] ; [81 61],[110.92615385  72.07384615] ; [86.07384615 55.92615385],0
s3,1,0.251813,1.313218,[ 73 108] ; [47 91],[ 68.08777429 112.91222571] ; [51.91222571 86.08777429],0
d3,1,0.283639,1.149572,[117  65] ; [83 59],[112.34567901  69.65432099] ; [87.65432099 54.34567901],0
a3,1,0.326045,0.964544,[117  66] ; [82 58],[112.74613003  70.25386997] ; [86.25386997 53.74613003],0
