Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,147.766194,[ 63 262] ; [198  94],[137.47974068 187.52025932] ; [123.52025932 168.47974068],1
s2,1,0.0,103.514564,[103 218] ; [215  79],[165.9804878 155.0195122] ; [152.0195122 141.9804878],1
s3,1,0.0,75.802046,[125 194] ; [216  75],[178.32622951 140.67377049] ; [162.67377049 128.32622951],1
s6,1,0.0,63.19335,[171 148] ; [245  48],[216.83660131 102.16339869] ; [199.16339869  93.83660131],1
s5,1,0.0,45.256086,[ 60 254] ; [126 156],[ 97.99328859 216.00671141] ; [ 88.00671141 193.99328859],1
u1,1,0.0,25.925823,[ 46 279] ; [ 92 203],[ 72.33870968 252.66129032] ; [ 65.66129032 229.33870968],1
p6,1,1e-06,24.913381,[ 87 234] ; [135 155],[116.63175123 204.36824877] ; [105.36824877 184.63175123],1
p5,1,8e-06,19.96433,[ 18 306] ; [ 49 243],[ 35.24025974 288.75974026] ; [ 31.75974026 260.24025974],1
a3,1,9e-06,19.729149,[205 119] ; [233  60],[230.00324149  93.99675851] ; [207.99675851  85.00324149],1
p4,1,5.2e-05,16.355806,[170 153] ; [201  92],[194.53409091 128.46590909] ; [176.46590909 116.53409091],1
a2,1,0.000152,14.34332,[ 72 253] ; [106 189],[ 93.30645161 231.69354839] ; [ 84.69354839 210.30645161],1
n5,1,0.000188,13.949772,[213 109] ; [234  60],[233.65909091  88.34090909] ; [213.34090909  80.65909091],1
d2,1,0.000527,12.015894,[135 189] ; [163 130],[156.48622366 167.51377634] ; [141.51377634 151.48622366],1
n4,1,0.000672,11.564784,[225  99] ; [239  55],[243.26213592  80.73786408] ; [220.73786408  73.26213592],1
p7,1,0.000713,11.454132,[180 138] ; [198  85],[200.00665557 117.99334443] ; [177.99334443 105.00665557],1
p3,1,0.000925,10.972707,[137 187] ; [163 130],[157.53646677 166.46353323] ; [142.46353323 150.53646677],1
v3,1,0.001511,10.065037,[102 210] ; [128 154],[120.80808081 191.19191919] ; [109.19191919 172.80808081],0
p9,1,0.001561,10.005016,[257  62] ; [262  30],[270.96726678  48.03273322] ; [248.03273322  43.96726678],0
s1,1,0.003195,8.692749,[  4 315] ; [ 16 274],[ 10.47619048 308.52380952] ; [  9.52380952 280.47619048],0
a5,1,0.004209,8.191241,[225 100] ; [234  61],[240.60483871  84.39516129] ; [218.39516129  76.60483871],0
n6,1,0.006814,7.321239,[262  62] ; [260  33],[274.11345219  49.88654781] ; [247.88654781  45.11345219],0
v2,1,0.007587,7.128423,[162 144] ; [183 104],[178.02698145 127.97301855] ; [166.97301855 120.02698145],0
p10,1,0.011095,6.45004,[251  69] ; [252  40],[263.00653595  56.99346405] ; [239.99346405  52.00653595],0
d1,1,0.013135,6.150899,[189 136] ; [200  95],[203.91129032 121.08870968] ; [185.08870968 109.91129032],0
v1,1,0.013239,6.136918,[152 163] ; [168 120],[167.1641791 147.8358209] ; [152.8358209 135.1641791],0
r1,1,0.017122,5.68383,[256  66] ; [255  39],[267.11363636  54.88636364] ; [243.88636364  50.11363636],0
u4,1,0.018848,5.515568,[  3 322] ; [ 11 284],[  7.33870968 317.66129032] ; [  6.66129032 288.33870968],0
a8,1,0.019493,5.456698,[ 32 267] ; [ 45 211],[ 41.48288288 257.51711712] ; [ 35.51711712 220.48288288],0
p12,1,0.024224,5.078505,[ 19 304] ; [ 32 262],[ 26.69854133 296.30145867] ; [ 24.30145867 269.69854133],0
a4,1,0.040256,4.207058,[131 193] ; [143 151],[143.65048544 180.34951456] ; [130.34951456 163.65048544],0
p8,1,0.048372,3.89701,[157 163] ; [166 125],[169.16530278 150.83469722] ; [153.83469722 137.16530278],0
r2,1,0.053251,3.736022,[307  16] ; [286   6],[311.44552846  11.55447154] ; [281.55447154  10.44552846],0
p1,1,0.076355,3.140836,[ 23 300] ; [ 33 261],[ 29.31604538 293.68395462] ; [ 26.68395462 267.31604538],0
u3,1,0.089186,2.88901,[72 45] ; [46 16],[77.12849162 39.87150838] ; [40.87150838 21.12849162],0
d3,1,0.101542,2.681154,[248  76] ; [240  53],[256.25931929  67.74068071] ; [231.74068071  61.25931929],0
s4,1,0.134724,2.237208,[ 48 269] ; [ 58 236],[ 54.99509002 262.00490998] ; [ 51.00490998 242.99509002],0
a1,1,0.145407,2.119784,[ 10 315] ; [ 16 279],[ 13.62903226 311.37096774] ; [ 12.37096774 282.62903226],0
n1,1,0.15944,1.979528,[23 50] ; [26 34],[26.89473684 46.10526316] ; [22.10526316 37.89473684],0
r4,1,0.171535,1.869479,[297  28] ; [278  17],[301.41129032  23.58870968] ; [273.58870968  21.41129032],0
p2,1,0.201048,1.634748,[268  56] ; [255  40],[273.75121163  50.24878837] ; [249.24878837  45.75121163],0
n3,1,0.239985,1.380682,[58 17] ; [41 19],[55. 20.] ; [44. 16.],0
n2,1,0.239985,1.380682,[52 23] ; [47 13],[55. 20.] ; [44. 16.],0
d4,1,0.242221,1.367623,[272  53] ; [255  38],[277.14401294  47.85598706] ; [249.85598706  43.14401294],0
b3,1,0.243076,1.362665,[ 55 112] ; [ 78 123],[ 60.35597826 106.64402174] ; [ 72.64402174 128.35597826],0
b2,1,0.243076,1.362665,[ 55 112] ; [ 78 123],[ 60.35597826 106.64402174] ; [ 72.64402174 128.35597826],0
u2,1,0.255372,1.293676,[65 53] ; [39 22],[68.55865922 49.44134078] ; [35.44134078 25.55865922],0
a6,1,0.296859,1.08825,[248  77] ; [233  59],[253.363047  71.636953] ; [227.636953  64.363047],0
b5,1,0.341477,0.904878,[220 105] ; [189 106],[214.39516129 110.60483871] ; [194.60483871 100.39516129],0
r3,1,0.645256,0.211933,[313  12] ; [281  13],[311.87399031  13.12600969] ; [282.12600969  11.87399031],0
d5,1,0.702338,0.146051,[268  57] ; [245  48],[269.7815534  55.2184466] ; [243.2184466  49.7815534],0
p11,1,0.802007,0.062876,[255  70] ; [229  66],[253.70967742  71.29032258] ; [230.29032258  64.70967742],0
b4,1,0.827849,0.047289,[190 135] ; [175 120],[191.33064516 133.66935484] ; [173.66935484 121.33064516],0
b1,1,0.969599,0.001452,[113 212] ; [103 192],[113.22580645 211.77419355] ; [102.77419355 192.22580645],0
