Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.1747,[14 46] ; [18  5],[23.13253012 36.86746988] ; [ 8.86746988 14.13253012],1
p8,1,0.002132,9.431873,[ 8 51] ; [10 12],[13.11111111 45.88888889] ; [ 4.88888889 17.11111111],0
r3,1,0.002815,8.923476,[34 26] ; [21  2],[39.75903614 20.24096386] ; [15.24096386  7.75903614],0
r4,1,0.005335,7.762136,[27 34] ; [18  5],[32.67857143 28.32142857] ; [12.32142857 10.67857143],0
p3,1,0.018635,5.535415,[13 47] ; [11 12],[17.34939759 42.65060241] ; [ 6.65060241 16.34939759],0
v2,1,0.020395,5.377769,[15 41] ; [12 10],[19.38461538 36.61538462] ; [ 7.61538462 14.38461538],0
p7,1,0.020581,5.361926,[15 44] ; [12 11],[19.42682927 39.57317073] ; [ 7.57317073 15.42682927],0
u3,1,0.022119,5.236364,[ 8 14] ; [8 2],[11. 11.] ; [5. 5.],0
v3,1,0.026317,4.935065,[10 45] ; [ 9 12],[13.75 41.25] ; [ 5.25 15.75],0
a5,1,0.030356,4.689037,[29 32] ; [17  6],[33.4047619 27.5952381] ; [12.5952381 10.4047619],0
p2,1,0.047362,3.932482,[25 36] ; [15  8],[29.04761905 31.95238095] ; [10.95238095 12.04761905],0
p6,1,0.048702,3.885604,[ 7 51] ; [ 7 16],[10.02469136 47.97530864] ; [ 3.97530864 19.02469136],0
s2,1,0.083595,2.993585,[17 44] ; [11 12],[20.33333333 40.66666667] ; [ 7.66666667 15.33333333],0
n5,1,0.098871,2.723668,[29 32] ; [ 6 16],[25.72289157 35.27710843] ; [ 9.27710843 12.72289157],0
s5,1,0.147759,2.095238,[ 8 48] ; [ 6 15],[10.18181818 45.81818182] ; [ 3.81818182 17.18181818],0
n4,1,0.188786,1.727068,[31 30] ; [ 8 15],[28.32142857 32.67857143] ; [10.67857143 12.32142857],0
v4,1,0.19386,1.688036,[38 22] ; [18  5],[40.48192771 19.51807229] ; [15.51807229  7.48192771],0
a7,1,0.202762,1.622366,[41 20] ; [12 11],[38.48809524 22.51190476] ; [14.51190476  8.48809524],0
s8,1,0.230638,1.436921,[ 7 54] ; [ 5 18],[ 8.71428571 52.28571429] ; [ 3.28571429 19.71428571],0
a3,1,0.282592,1.154584,[39 21] ; [12 11],[36.86746988 23.13253012] ; [14.13253012  8.86746988],0
b1,1,0.293579,1.103134,[32 29] ; [15  8],[34.13095238 26.86904762] ; [12.86904762 10.13095238],0
a8,1,0.2936,1.103039,[ 7 51] ; [ 1 22],[ 5.72839506 52.27160494] ; [ 2.27160494 20.72839506],0
p10,1,0.312533,1.019941,[18 39] ; [10 13],[19.95 37.05] ; [ 8.05 14.95],0
a2,1,0.313037,1.017819,[10 51] ; [ 6 17],[11.61904762 49.38095238] ; [ 4.38095238 18.61904762],0
a1,1,0.321033,0.984732,[ 7 54] ; [ 1 22],[ 5.80952381 55.19047619] ; [ 2.19047619 20.80952381],0
b2,1,0.353219,0.861859,[11 19] ; [ 4 13],[ 9.57446809 20.42553191] ; [ 5.42553191 11.57446809],0
b3,1,0.353219,0.861859,[11 19] ; [ 4 13],[ 9.57446809 20.42553191] ; [ 5.42553191 11.57446809],0
r1,1,0.37467,0.788119,[36 25] ; [16  7],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
p9,1,0.412618,0.671243,[24 33] ; [12 11],[25.65 31.35] ; [10.35 12.65],0
b4,1,0.432904,0.615021,[35 26] ; [11 12],[33.4047619 27.5952381] ; [12.5952381 10.4047619],0
d2,1,0.469349,0.523507,[26 34] ; [12 11],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
s3,1,0.469349,0.523507,[26 34] ; [12 11],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
a6,1,0.474816,0.510747,[39 21] ; [13 10],[37.59036145 22.40963855] ; [14.40963855  8.59036145],0
a4,1,0.481985,0.494369,[24 37] ; [11 12],[25.41666667 35.58333333] ; [ 9.58333333 13.41666667],0
u1,1,0.514071,0.425771,[ 3 58] ; [ 2 21],[ 3.63095238 57.36904762] ; [ 1.36904762 21.63095238],0
n3,1,0.523593,0.40681,[17 12] ; [7 3],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
d5,1,0.52409,0.405836,[40 20] ; [17  6],[41.20481928 18.79518072] ; [15.79518072  7.20481928],0
u2,1,0.542129,0.371607,[11 10] ; [7 4],[11.8125  9.1875] ; [6.1875 4.8125],0
v1,1,0.628376,0.234269,[22 39] ; [ 7 16],[21.05952381 39.94047619] ; [ 7.94047619 15.05952381],0
s4,1,0.699686,0.148799,[11 50] ; [ 5 18],[11.61904762 49.38095238] ; [ 4.38095238 18.61904762],0
d3,1,0.709223,0.139054,[36 23] ; [13 10],[35.25609756 23.74390244] ; [13.74390244  9.25609756],0
s7,1,0.770243,0.085297,[13 41] ; [ 6 16],[13.5 40.5] ; [ 5.5 16.5],0
r2,1,0.787428,0.072713,[48 12] ; [19  4],[48.43373494 11.56626506] ; [18.56626506  4.43373494],0
d4,1,0.804982,0.060962,[42 17] ; [17  6],[42.45121951 16.54878049] ; [16.54878049  6.45121951],0
b5,1,0.806699,0.059872,[31 30] ; [11 12],[30.5 30.5] ; [11.5 11.5],0
s1,1,0.856982,0.032478,[ 6 54] ; [ 2 21],[ 5.78313253 54.21686747] ; [ 2.21686747 20.78313253],0
p1,1,0.873847,0.025209,[ 6 55] ; [ 2 21],[ 5.80952381 55.19047619] ; [ 2.19047619 20.80952381],0
n1,1,0.893852,0.017804,[10 21] ; [3 7],[ 9.82926829 21.17073171] ; [3.17073171 6.82926829],0
