Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,75.77311,[106   1] ; [47 56],[77.95714286 29.04285714] ; [75.04285714 27.95714286],1
d2,1,0.0,66.512525,[79 26] ; [19 83],[49.71014493 55.28985507] ; [48.28985507 53.71014493],1
d3,1,0.0,64.277305,[94 13] ; [35 68],[65.72857143 41.27142857] ; [63.27142857 39.72857143],1
d4,1,0.0,55.694944,[104   2] ; [56 47],[81.14832536 24.85167464] ; [78.85167464 24.14832536],1
a2,1,0.0,27.533799,[32 75] ; [  3 100],[17.83333333 89.16666667] ; [17.16666667 85.83333333],1
a4,1,0.0,26.712489,[62 44] ; [24 79],[43.61722488 62.38277512] ; [42.38277512 60.61722488],1
u1,1,1e-06,23.920676,[27 80] ; [  2 101],[14.77619048 92.22380952] ; [14.22380952 88.77619048],1
a5,1,3e-05,17.390436,[79 28] ; [47 56],[64.2 42.8] ; [61.8 41.2],1
a7,1,8.3e-05,15.487704,[83 23] ; [54 49],[69.48325359 36.51674641] ; [67.51674641 35.48325359],1
a3,1,0.00064,11.657068,[79 28] ; [52 50],[67.06698565 39.93301435] ; [63.93301435 38.06698565],1
s8,1,0.000671,11.568185,[40 67] ; [17 86],[29.04285714 77.95714286] ; [27.95714286 75.04285714],1
s7,1,0.001327,10.305074,[41 61] ; [19 79],[30.6 71.4] ; [29.4 68.6],0
r2,1,0.004801,7.95304,[97  8] ; [81 22],[89.85576923 15.14423077] ; [88.14423077 14.85576923],0
s2,1,0.005255,7.789381,[43 63] ; [23 79],[33.63461538 72.36538462] ; [32.36538462 69.63461538],0
s3,1,0.008863,6.850127,[53 54] ; [32 69],[43.72596154 63.27403846] ; [41.27403846 59.72596154],0
v2,1,0.011754,6.347673,[44 59] ; [25 72],[35.535 67.465] ; [33.465 63.535],0
a6,1,0.018697,5.529642,[75 32] ; [56 47],[66.74761905 40.25238095] ; [64.25238095 38.74761905],0
u3,1,0.021274,5.304232,[18 10] ; [19 32],[13.11392405 14.88607595] ; [23.88607595 27.11392405],0
r1,1,0.040587,4.193156,[77 29] ; [61 42],[69.99043062 36.00956938] ; [68.00956938 34.99043062],0
n6,1,0.056364,3.641271,[86 21] ; [71 32],[79.9952381 27.0047619] ; [77.0047619 25.9952381],0
p4,1,0.067651,3.339115,[41 66] ; [27 75],[34.81339713 72.18660287] ; [33.18660287 68.81339713],0
n2,1,0.076017,3.14806,[26 22] ; [27 10],[29.92941176 18.07058824] ; [23.07058824 13.92941176],0
p6,1,0.107054,2.597185,[16 91] ; [ 8 94],[12.28708134 94.71291866] ; [11.71291866 90.28708134],0
r3,1,0.118681,2.434639,[92 14] ; [81 22],[87.74162679 18.25837321] ; [85.25837321 17.74162679],0
p10,1,0.125568,2.346456,[70 37] ; [55 45],[64.61352657 42.38647343] ; [60.38647343 39.61352657],0
s6,1,0.140342,2.1742,[54 52] ; [42 61],[48.68899522 57.31100478] ; [47.31100478 55.68899522],0
a8,1,0.24263,1.365248,[ 5 95] ; [ 9 88],[ 7.10659898 92.89340102] ; [ 6.89340102 90.10659898],0
n5,1,0.242889,1.363746,[73 33] ; [63 40],[68.97607656 37.02392344] ; [67.02392344 35.97607656],0
b2,1,0.253453,1.304171,[21 48] ; [18 26],[23.81415929 45.18584071] ; [15.18584071 28.81415929],0
b3,1,0.253453,1.304171,[21 48] ; [18 26],[23.81415929 45.18584071] ; [15.18584071 28.81415929],0
r4,1,0.272757,1.20283,[81 26] ; [71 32],[77.44761905 29.55238095] ; [74.55238095 28.44761905],0
p9,1,0.274174,1.195745,[72 34] ; [60 39],[68.25365854 37.74634146] ; [63.74634146 35.25365854],0
v4,1,0.301379,1.068081,[91 16] ; [82 21],[88.14761905 18.85238095] ; [84.85238095 18.14761905],0
p3,1,0.303865,1.057156,[28 78] ; [21 82],[24.85167464 81.14832536] ; [24.14832536 78.85167464],0
n3,1,0.3424,0.901426,[26 21] ; [23 12],[28.08536585 18.91463415] ; [20.91463415 14.08536585],0
s5,1,0.351187,0.869164,[24 78] ; [18 81],[21.31343284 80.68656716] ; [20.68656716 78.31343284],0
p2,1,0.425472,0.635151,[64 43] ; [56 47],[61.14285714 45.85714286] ; [58.85714286 44.14285714],0
b1,1,0.430139,0.622448,[40 67] ; [44 59],[42.8 64.2] ; [41.2 61.8],0
n4,1,0.434884,0.609745,[74 33] ; [66 37],[71.33333333 35.66666667] ; [68.66666667 34.33333333],0
p11,1,0.516018,0.421845,[66 41] ; [59 44],[63.69047619 43.30952381] ; [61.30952381 41.69047619],0
b5,1,0.60444,0.268351,[63 44] ; [57 46],[61.14285714 45.85714286] ; [58.85714286 44.14285714],0
n1,1,0.654721,0.2,[21 27] ; [14 22],[20. 28.] ; [15. 21.],0
p5,1,0.738961,0.111042,[  4 103] ; [  3 100],[  3.56666667 103.43333333] ; [ 3.43333333 99.56666667],0
v3,1,0.760219,0.093143,[25 78] ; [22 76],[24.08457711 78.91542289] ; [22.91542289 75.08457711],0
u2,1,0.778174,0.079355,[13 15] ; [22 29],[12.40506329 15.59493671] ; [22.59493671 28.40506329],0
p1,1,0.895553,0.017235,[10 97] ; [ 9 93],[ 9.72727273 97.27272727] ; [ 9.27272727 92.72727273],0
p8,1,0.917107,0.010832,[21 85] ; [21 82],[21.30143541 84.69856459] ; [20.69856459 82.30143541],0
s4,1,0.922065,0.009571,[19 87] ; [19 84],[19.27272727 86.72727273] ; [18.72727273 84.27272727],0
b4,1,0.932014,0.007278,[69 38] ; [67 36],[69.2952381 37.7047619] ; [66.7047619 36.2952381],0
s1,1,0.945277,0.004711,[  6 100] ; [ 6 96],[ 6.11538462 99.88461538] ; [ 5.88461538 96.11538462],0
a1,1,0.945813,0.004619,[  6 101] ; [ 6 97],[  6.11428571 100.88571429] ; [ 5.88571429 97.11428571],0
p12,1,0.950776,0.003811,[  5 102] ; [ 5 98],[  5.0952381 101.9047619] ; [ 4.9047619 98.0952381],0
