Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,73.697819,[217  39] ; [68 85],[178.38630807  77.61369193] ; [106.61369193  46.38630807],1
s2,1,2.2e-05,17.995832,[239  28] ; [115  41],[223.44680851  43.55319149] ; [130.55319149  25.44680851],1
p10,1,0.000127,14.682898,[235  29] ; [115  39],[221.05263158  42.94736842] ; [128.94736842  25.05263158],1
v1,1,0.000296,13.096523,[158  96] ; [67 86],[140.41769042 113.58230958] ; [84.58230958 68.41769042],1
p9,1,0.000415,12.465602,[245  21] ; [123  30],[233.62291169  32.37708831] ; [134.37708831  18.62291169],1
p8,1,0.001226,10.451318,[158 106] ; [67 87],[142.10526316 121.89473684] ; [82.89473684 71.10526316],0
a3,1,0.001316,10.319303,[213  53] ; [103  53],[199.18483412  66.81516588] ; [116.81516588  39.18483412],0
d1,1,0.001393,10.215576,[182  85] ; [82 74],[166.63829787 100.36170213] ; [97.36170213 58.63829787],0
a5,1,0.004994,7.881455,[208  59] ; [102  54],[195.67375887  71.32624113] ; [114.32624113  41.67375887],0
p5,1,0.005217,7.802605,[ 46 218] ; [ 12 144],[ 36.45714286 227.54285714] ; [ 21.54285714 134.45714286],0
n6,1,0.005918,7.575116,[236  29] ; [122  32],[226.42004773  38.57995227] ; [131.57995227  22.42004773],0
u4,1,0.009632,6.701758,[ 15 252] ; [  1 155],[ 10.09929078 256.90070922] ; [  5.90070922 150.09929078],0
p3,1,0.012613,6.222571,[155 112] ; [71 85],[142.65248227 124.34751773] ; [83.34751773 72.65248227],0
d2,1,0.014719,5.949777,[150 117] ; [68 87],[137.92890995 129.07109005] ; [80.07109005 74.92890995],0
p6,1,0.020909,5.334401,[118 145] ; [ 51 102],[106.84375 156.15625] ; [62.15625 90.84375],0
d5,1,0.022671,5.193533,[229  37] ; [120  35],[220.50831354  45.49168646] ; [128.49168646  26.50831354],0
n5,1,0.025609,4.982253,[217  49] ; [112  43],[207.87173397  58.12826603] ; [121.12826603  33.87173397],0
p4,1,0.028513,4.796799,[180  86] ; [89 67],[169.55924171  96.44075829] ; [99.44075829 56.55924171],0
p11,1,0.033858,4.501877,[220  47] ; [115  41],[211.45390071  55.54609929] ; [123.54609929  32.45390071],0
b2,1,0.040433,4.199623,[ 73 106] ; [22 58],[ 65.65637066 113.34362934] ; [29.34362934 50.65637066],0
b3,1,0.040433,4.199623,[ 73 106] ; [22 58],[ 65.65637066 113.34362934] ; [29.34362934 50.65637066],0
a7,1,0.04484,4.02463,[184  82] ; [122  34],[192.88151659  73.11848341] ; [113.11848341  42.88151659],0
v3,1,0.050221,3.834079,[113 141] ; [ 53 100],[103.5970516 150.4029484] ; [62.4029484 90.5970516],0
s5,1,0.053272,3.735366,[128 128] ; [61 91],[118.58823529 137.41176471] ; [70.41176471 81.58823529],0
n4,1,0.059665,3.546685,[216  49] ; [115  41],[208.34916865  56.65083135] ; [122.65083135  33.34916865],0
b4,1,0.065065,3.403332,[152 115] ; [103  53],[160.95744681 106.04255319] ; [94.04255319 61.95744681],0
n1,1,0.09044,2.86653,[31 30] ; [10 21],[27.18478261 33.81521739] ; [13.81521739 17.18478261],0
p12,1,0.105345,2.622698,[ 34 232] ; [ 12 144],[ 28.99526066 237.00473934] ; [ 17.00473934 138.99526066],0
v4,1,0.108775,2.571935,[260   6] ; [147   8],[257.1543943   8.8456057] ; [149.8456057   5.1543943],0
r4,1,0.109589,2.56014,[251  16] ; [140  16],[246.80141844  20.19858156] ; [144.19858156  11.80141844],0
v2,1,0.125553,2.346648,[150 102] ; [77 72],[142.65336658 109.34663342] ; [84.34663342 64.65336658],0
p1,1,0.161699,1.958264,[ 32 233] ; [ 12 143],[ 27.76190476 237.23809524] ; [ 16.23809524 138.76190476],0
a8,1,0.203531,1.616857,[ 42 205] ; [ 18 129],[ 37.6142132 209.3857868] ; [ 22.3857868 124.6142132],0
p7,1,0.240155,1.379682,[179  78] ; [96 54],[173.64864865  83.35135135] ; [101.35135135  48.64864865],0
b1,1,0.289677,1.121124,[115 152] ; [59 97],[109.82978723 157.17021277] ; [64.17021277 91.82978723],0
u3,1,0.299618,1.075893,[39 15] ; [32 19],[36.51428571 17.48571429] ; [34.48571429 16.51428571],0
u1,1,0.308434,1.037369,[ 59 208] ; [ 28 128],[ 54.91489362 212.08510638] ; [ 32.08510638 123.91489362],0
r1,1,0.311457,1.024489,[227  38] ; [127  28],[223.35714286  41.64285714] ; [130.64285714  24.35714286],0
