Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.890076,[141  22] ; [33 26],[127.75675676  35.24324324] ; [46.24324324 12.75675676],1
s7,1,2e-06,23.026676,[107  50] ; [18 39],[91.70560748 65.29439252] ; [33.29439252 23.70560748],1
p9,1,3.6e-05,17.047503,[140  23] ; [37 24],[128.79910714  34.20089286] ; [48.20089286 12.79910714],1
s5,1,7.1e-05,15.795168,[76 83] ; [11 49],[63.16438356 95.83561644] ; [23.83561644 36.16438356],1
s8,1,7.3e-05,15.722231,[95 70] ; [17 44],[81.7699115 83.2300885] ; [30.2300885 30.7699115],1
p10,1,0.000223,13.622578,[134  29] ; [35 25],[123.52914798  39.47085202] ; [45.47085202 14.52914798],1
p4,1,0.000513,12.066306,[111  54] ; [25 35],[99.73333333 65.26666667] ; [36.26666667 23.73333333],1
n6,1,0.006746,7.339453,[136  29] ; [40 21],[128.49557522  36.50442478] ; [47.50442478 13.49557522],0
v4,1,0.008072,7.017453,[158   6] ; [52  8],[153.75  10.25] ; [56.25  3.75],0
u2,1,0.009773,6.675866,[30 15] ; [10 18],[24.65753425 20.34246575] ; [15.34246575 12.65753425],0
a2,1,0.010822,6.494392,[ 42 123] ; [ 6 55],[ 35.04424779 129.95575221] ; [12.95575221 48.04424779],0
s4,1,0.012042,6.304735,[ 51 111] ; [ 9 52],[ 43.58744395 118.41255605] ; [16.41255605 44.58744395],0
a7,1,0.014213,6.011486,[113  52] ; [31 30],[105.13274336  59.86725664] ; [38.86725664 22.13274336],0
d1,1,0.014818,5.937943,[95 70] ; [24 37],[86.88053097 78.11946903] ; [32.11946903 28.88053097],0
a3,1,0.015273,5.884645,[119  46] ; [33 27],[111.46666667  53.53333333] ; [40.53333333 19.46666667],0
u3,1,0.016447,5.754421,[32 13] ; [12 16],[27.12328767 17.87671233] ; [16.87671233 11.12328767],0
p11,1,0.027379,4.866782,[127  38] ; [38 23],[120.46460177  44.53539823] ; [44.53539823 16.46460177],0
p6,1,0.038182,4.296875,[66 99] ; [15 45],[ 59.4 105.6] ; [21.6 38.4],0
