Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.041036,[ 1 10] ; [79  9],[8.88888889 2.11111111] ; [71.11111111 16.88888889],1
r3,1,4.1e-05,16.803458,[6 5] ; [82  5],[9.87755102 1.12244898] ; [78.12244898  8.87755102],1
r1,1,0.000204,13.796365,[3 8] ; [70 18],[8.11111111 2.88888889] ; [64.88888889 23.11111111],1
p9,1,0.00034,12.834225,[5 6] ; [75 10],[9.16666667 1.83333333] ; [70.83333333 14.16666667],1
b1,1,0.002256,9.328846,[9 2] ; [30 58],[4.33333333 6.66666667] ; [34.66666667 53.33333333],0
b4,1,0.002256,9.328846,[2 9] ; [58 30],[6.66666667 4.33333333] ; [53.33333333 34.66666667],0
v4,1,0.005564,7.686335,[8 3] ; [84  4],[10.22222222  0.77777778] ; [81.77777778  6.22222222],0
n6,1,0.011104,6.448598,[3 8] ; [58 29],[6.84693878 4.15306122] ; [54.15306122 32.84693878],0
b5,1,0.067752,3.336659,[4 7] ; [57 31],[6.77777778 4.22222222] ; [54.22222222 33.77777778],0
p10,1,0.075876,3.151089,[6 5] ; [67 18],[8.36458333 2.63541667] ; [64.63541667 20.36458333],0
n5,1,0.091415,2.849284,[2 9] ; [39 48],[4.60204082 6.39795918] ; [36.39795918 50.60204082],0
s3,1,0.102128,2.67199,[3 8] ; [47 41],[5.55555556 5.44444444] ; [44.44444444 43.55555556],0
d5,1,0.124984,2.353728,[6 5] ; [67 21],[8.11111111 2.88888889] ; [64.88888889 23.11111111],0
p2,1,0.131348,2.276505,[6 5] ; [66 21],[8.08163265 2.91836735] ; [63.91836735 23.08163265],0
s8,1,0.175516,1.835185,[2 9] ; [34 53],[4.04081633 6.95918367] ; [31.95918367 55.04081633],0
n3,1,0.217657,1.51975,[3 4] ; [21 10],[4.42105263 2.57894737] ; [19.57894737 11.42105263],0
v2,1,0.226052,1.465533,[5 6] ; [54 30],[6.83157895 4.16842105] ; [52.16842105 31.83157895],0
a7,1,0.246135,1.345109,[6 5] ; [63 25],[7.66666667 3.33333333] ; [61.33333333 26.66666667],0
s5,1,0.28751,1.131246,[2 9] ; [29 56],[3.55208333 7.44791667] ; [27.44791667 57.55208333],0
s4,1,0.296934,1.087912,[ 1 10] ; [20 68],[2.33333333 8.66666667] ; [18.66666667 69.33333333],0
p11,1,0.365712,0.818182,[6 5] ; [60 28],[7.33333333 3.66666667] ; [58.66666667 29.33333333],0
a1,1,0.366898,0.814145,[ 1 10] ; [ 3 85],[ 0.44444444 10.55555556] ; [ 3.55555556 84.44444444],0
s1,1,0.372842,0.794171,[ 1 10] ; [ 3 84],[ 0.44897959 10.55102041] ; [ 3.55102041 83.44897959],0
s2,1,0.393551,0.727941,[4 7] ; [44 44],[5.33333333 5.66666667] ; [42.66666667 45.33333333],0
d1,1,0.393551,0.727941,[4 7] ; [44 44],[5.33333333 5.66666667] ; [42.66666667 45.33333333],0
p3,1,0.445924,0.580993,[3 7] ; [37 50],[4.12371134 5.87628866] ; [35.87628866 51.12371134],0
s6,1,0.459436,0.547269,[6 5] ; [56 29],[7.10416667 3.89583333] ; [54.89583333 30.10416667],0
n1,1,0.517268,0.419337,[1 6] ; [ 8 23],[1.65789474 5.34210526] ; [ 7.34210526 23.65789474],0
p12,1,0.530618,0.393207,[ 1 10] ; [ 4 82],[ 0.56701031 10.43298969] ; [ 4.43298969 81.56701031],0
p4,1,0.542265,0.371357,[6 5] ; [39 48],[5.05102041 5.94897959] ; [39.94897959 47.05102041],0
p8,1,0.57218,0.319048,[4 7] ; [39 47],[4.87628866 6.12371134] ; [38.12371134 47.87628866],0
n2,1,0.589032,0.291859,[5 2] ; [25  6],[5.52631579 1.47368421] ; [24.47368421  6.52631579],0
a6,1,0.60041,0.274378,[8 3] ; [57 31],[7.22222222 3.77777778] ; [57.77777778 30.22222222],0
p6,1,0.656907,0.197302,[2 8] ; [22 61],[2.58064516 7.41935484] ; [21.41935484 61.58064516],0
p5,1,0.670967,0.180473,[ 1 10] ; [ 5 81],[ 0.68041237 10.31958763] ; [ 5.31958763 80.68041237],0
b3,1,0.690553,0.158487,[2 4] ; [18 25],[2.44897959 3.55102041] ; [17.55102041 25.44897959],0
b2,1,0.690553,0.158487,[2 4] ; [18 25],[2.44897959 3.55102041] ; [17.55102041 25.44897959],0
a5,1,0.701649,0.146762,[7 4] ; [61 27],[7.55555556 3.44444444] ; [60.44444444 27.55555556],0
s7,1,0.752295,0.099613,[5 6] ; [34 50],[4.51578947 6.48421053] ; [34.48421053 49.51578947],0
a3,1,0.759242,0.093928,[8 3] ; [60 28],[7.55555556 3.44444444] ; [60.44444444 27.55555556],0
a4,1,0.772923,0.083263,[5 6] ; [36 52],[4.55555556 6.44444444] ; [36.44444444 51.55555556],0
a2,1,0.794279,0.067995,[2 9] ; [19 69],[2.33333333 8.66666667] ; [18.66666667 69.33333333],0
u1,1,0.821098,0.051136,[ 1 10] ; [10 78],[1.22222222 9.77777778] ; [ 9.77777778 78.22222222],0
d4,1,0.924935,0.008877,[9 2] ; [73 15],[9.11111111 1.88888889] ; [72.88888889 15.11111111],0
p7,1,0.929598,0.007806,[6 5] ; [47 37],[6.13684211 4.86315789] ; [46.86315789 37.13684211],0
d3,1,0.94075,0.005525,[7 4] ; [57 31],[7.11111111 3.88888889] ; [56.88888889 31.11111111],0
d2,1,0.94145,0.005395,[4 7] ; [33 55],[4.11111111 6.88888889] ; [32.88888889 55.11111111],0
p1,1,0.990979,0.000128,[ 1 10] ; [ 8 79],[1.01020408 9.98979592] ; [ 7.98979592 79.01020408],0
v3,1,0.994467,4.8e-05,[4 7] ; [31 54],[4.01041667 6.98958333] ; [30.98958333 54.01041667],0
