Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.005701,7.642556,[14 11] ; [ 1 11],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
r3,1,0.029257,4.752444,[21  4] ; [6 6],[18.24324324  6.75675676] ; [8.75675676 3.24324324],0
d3,1,0.046156,3.975877,[15 10] ; [3 9],[12.16216216 12.83783784] ; [5.83783784 6.16216216],0
d5,1,0.046313,3.970159,[17  8] ; [4 8],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
u2,1,0.058375,3.582959,[11  2] ; [2 3],[9.38888889 3.61111111] ; [3.61111111 1.38888889],0
p11,1,0.088483,2.901759,[21  4] ; [7 5],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
p10,1,0.11376,2.5012,[19  6] ; [6 6],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
s4,1,0.116248,2.467156,[ 8 17] ; [ 1 11],[ 6.08108108 18.91891892] ; [2.91891892 9.08108108],0
b4,1,0.126699,2.332495,[ 8 17] ; [7 5],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
a6,1,0.12871,2.307992,[15 10] ; [4 8],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
a8,1,0.137155,2.209596,[ 2 22] ; [3 8],[ 3.42857143 20.57142857] ; [1.57142857 9.42857143],0
v2,1,0.151494,2.057143,[12 12] ; [3 9],[10. 14.] ; [5. 7.],0
s1,1,0.186379,1.746013,[ 1 24] ; [ 2 10],[ 2.02702703 22.97297297] ; [ 0.97297297 11.02702703],0
d4,1,0.189446,1.721923,[18  7] ; [6 6],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
u3,1,0.195539,1.675385,[7 6] ; [1 4],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
v3,1,0.22842,1.450676,[ 9 16] ; [ 2 10],[ 7.43243243 17.56756757] ; [3.56756757 8.43243243],0
p2,1,0.230549,1.437471,[21  4] ; [8 4],[19.59459459  5.40540541] ; [9.40540541 2.59459459],0
p9,1,0.271067,1.21134,[19  6] ; [7 5],[17.56756757  7.43243243] ; [8.43243243 3.56756757],0
s8,1,0.271067,1.21134,[ 6 19] ; [5 7],[ 7.43243243 17.56756757] ; [3.56756757 8.43243243],0
s7,1,0.284005,1.147826,[ 8 14] ; [2 9],[ 6.66666667 15.33333333] ; [3.33333333 7.66666667],0
b5,1,0.286167,1.137569,[12 13] ; [8 4],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
n5,1,0.290588,1.116894,[17  8] ; [6 6],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
s6,1,0.294859,1.097304,[15 10] ; [5 7],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
n2,1,0.333998,0.933333,[6 3] ; [2 3],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
a4,1,0.405798,0.691078,[ 7 18] ; [5 7],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
a5,1,0.536158,0.382707,[14 11] ; [8 4],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
a3,1,0.556067,0.346559,[12 13] ; [7 5],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
b1,1,0.564222,0.332447,[17  8] ; [7 5],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
s3,1,0.565449,0.330357,[10 15] ; [6 6],[10.81081081 14.18918919] ; [5.18918919 6.81081081],0
n4,1,0.565449,0.330357,[15 10] ; [6 6],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
u1,1,0.585289,0.297762,[ 1 24] ; [ 1 11],[ 1.35135135 23.64864865] ; [ 0.64864865 11.35135135],0
s5,1,0.611982,0.257299,[ 6 19] ; [ 2 10],[ 5.40540541 19.59459459] ; [2.59459459 9.40540541],0
a7,1,0.717448,0.130951,[12 13] ; [5 7],[11.48648649 13.51351351] ; [5.51351351 6.48648649],0
p12,1,0.736692,0.113056,[ 3 22] ; [ 1 11],[ 2.7027027 22.2972973] ; [ 1.2972973 10.7027027],0
p8,1,0.759766,0.093506,[15 10] ; [6 5],[14.58333333 10.41666667] ; [6.41666667 4.58333333],0
n1,1,0.803017,0.062222,[3 6] ; [2 3],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
b2,1,0.834969,0.043403,[ 3 13] ; [2 7],[ 3.2 12.8] ; [1.8 7.2],0
b3,1,0.834969,0.043403,[ 3 13] ; [2 7],[ 3.2 12.8] ; [1.8 7.2],0
p6,1,0.873624,0.025299,[ 9 16] ; [4 8],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
s2,1,0.873624,0.025299,[ 9 16] ; [4 8],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
r1,1,0.893314,0.017986,[11 14] ; [5 7],[10.81081081 14.18918919] ; [5.18918919 6.81081081],0
p5,1,0.898963,0.016122,[ 5 20] ; [2 9],[ 4.86111111 20.13888889] ; [2.13888889 8.86111111],0
p3,1,0.909285,0.012982,[12 13] ; [6 6],[12.16216216 12.83783784] ; [5.83783784 6.16216216],0
n6,1,0.909285,0.012982,[13 12] ; [6 6],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
v1,1,0.922995,0.009343,[10 15] ; [5 7],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
p4,1,0.93536,0.006578,[17  8] ; [8 4],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
d2,1,0.93536,0.006578,[ 8 17] ; [4 8],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
