Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.010502,6.547619,[ 7 26] ; [17 16],[12. 21.] ; [12. 21.],0
p11,1,0.022141,5.234688,[27  6] ; [19 15],[22.65671642 10.34328358] ; [23.34328358 10.65671642],0
a5,1,0.037038,4.348681,[15 18] ; [24 10],[19.20895522 13.79104478] ; [19.79104478 14.20895522],0
a3,1,0.037921,4.308557,[14 19] ; [23 11],[18.2238806 14.7761194] ; [18.7761194 15.2238806],0
d3,1,0.047556,3.925607,[ 6 26] ; [14 20],[ 9.6969697 22.3030303] ; [10.3030303 23.6969697],0
p6,1,0.051494,3.792121,[ 8 25] ; [16 18],[11.82089552 21.17910448] ; [12.17910448 21.82089552],0
d2,1,0.05819,3.588227,[ 5 28] ; [12 22],[ 8.37313433 24.62686567] ; [ 8.62686567 25.37313433],0
s8,1,0.066811,3.359689,[15 18] ; [23 11],[18.71641791 14.28358209] ; [19.28358209 14.71641791],0
s1,1,0.086768,2.933333,[ 5 28] ; [ 1 32],[ 3. 30.] ; [ 3. 30.],0
s4,1,0.108043,2.582609,[13 20] ; [ 7 26],[10. 23.] ; [10. 23.],0
a6,1,0.111859,2.527762,[16 17] ; [23 11],[19.20895522 13.79104478] ; [19.79104478 14.20895522],0
p7,1,0.11548,2.477582,[17 14] ; [25  9],[20.03076923 10.96923077] ; [21.96923077 12.03076923],0
p2,1,0.120393,2.412197,[21 11] ; [28  6],[23.75757576  8.24242424] ; [25.24242424  8.75757576],0
d5,1,0.144654,2.127741,[15 17] ; [22 12],[17.93939394 14.06060606] ; [19.06060606 14.93939394],0
a2,1,0.173783,1.850003,[ 1 32] ; [ 4 30],[ 2.46268657 30.53731343] ; [ 2.53731343 31.46268657],0
d1,1,0.173783,1.850003,[ 1 32] ; [ 4 30],[ 2.46268657 30.53731343] ; [ 2.53731343 31.46268657],0
n6,1,0.186714,1.743358,[30  3] ; [27  7],[28.07462687  4.92537313] ; [28.92537313  5.07462687],0
s3,1,0.240228,1.379257,[26  6] ; [31  3],[27.63636364  4.36363636] ; [29.36363636  4.63636364],0
n5,1,0.250592,1.32,[23 10] ; [27  6],[25.  8.] ; [25.  8.],0
p5,1,0.264855,1.243199,[ 2 30] ; [ 5 29],[ 3.39393939 28.60606061] ; [ 3.60606061 30.39393939],0
n1,1,0.279642,1.168831,[2 6] ; [5 5],[3.11111111 4.88888889] ; [3.88888889 6.11111111],0
s7,1,0.280713,1.163636,[20 12] ; [24  8],[22. 10.] ; [22. 10.],0
a4,1,0.281092,1.161804,[ 6 27] ; [10 24],[ 7.88059701 25.11940299] ; [ 8.11940299 25.88059701],0
a8,1,0.328703,0.954001,[ 3 26] ; [ 6 25],[ 4.35 24.65] ; [ 4.65 26.35],0
r4,1,0.349608,0.87488,[29  4] ; [27  7],[27.58208955  5.41791045] ; [28.41791045  5.58208955],0
b1,1,0.374873,0.787448,[12 21] ; [16 18],[13.79104478 19.20895522] ; [14.20895522 19.79104478],0
s6,1,0.385205,0.754025,[25  8] ; [27  5],[26.4  6.6] ; [25.6  6.4],0
u3,1,0.389414,0.740772,[10  9] ; [4 7],[ 8.86666667 10.13333333] ; [5.13333333 5.86666667],0
v4,1,0.413614,0.668389,[30  2] ; [29  4],[29.04615385  2.95384615] ; [29.95384615  3.04615385],0
n4,1,0.42788,0.628571,[21 12] ; [24  9],[22.5 10.5] ; [22.5 10.5],0
b2,1,0.522001,0.409938,[ 3 18] ; [ 5 18],[ 3.81818182 17.18181818] ; [ 4.18181818 18.81818182],0
b3,1,0.522001,0.409938,[ 3 18] ; [ 5 18],[ 3.81818182 17.18181818] ; [ 4.18181818 18.81818182],0
b5,1,0.534095,0.386594,[19 14] ; [17 17],[17.73134328 15.26865672] ; [18.26865672 15.73134328],0
b4,1,0.540004,0.375533,[18 15] ; [16 18],[16.74626866 16.25373134] ; [17.25373134 16.74626866],0
r2,1,0.554563,0.349206,[32  1] ; [31  2],[31.5  1.5] ; [31.5  1.5],0
p1,1,0.559999,0.339706,[ 4 28] ; [ 6 28],[ 4.84848485 27.15151515] ; [ 5.15151515 28.84848485],0
u2,1,0.562771,0.334928,[ 5 14] ; [4 7],[ 5.7 13.3] ; [3.3 7.7],0
p9,1,0.590399,0.289721,[27  6] ; [26  8],[26.10447761  6.89552239] ; [26.89552239  7.10447761],0
v2,1,0.64109,0.21732,[15 17] ; [14 20],[14.06060606 17.93939394] ; [14.93939394 19.06060606],0
r3,1,0.659081,0.194642,[29  4] ; [31  3],[29.55223881  3.44776119] ; [30.44776119  3.55223881],0
v1,1,0.702905,0.145467,[14 19] ; [16 18],[14.7761194 18.2238806] ; [15.2238806 18.7761194],0
n3,1,0.737369,0.112453,[7 1] ; [9 2],[6.73684211 1.26315789] ; [9.26315789 1.73684211],0
s5,1,0.799687,0.06439,[13 20] ; [12 21],[12.5 20.5] ; [12.5 20.5],0
n2,1,0.811055,0.057152,[7 1] ; [10  1],[7.15789474 0.84210526] ; [9.84210526 1.15789474],0
a7,1,0.842599,0.03943,[19 13] ; [21 13],[19.39393939 12.60606061] ; [20.60606061 13.39393939],0
v3,1,0.861742,0.030331,[11 21] ; [11 23],[10.66666667 21.33333333] ; [11.33333333 22.66666667],0
p8,1,0.917544,0.010718,[14 19] ; [14 20],[13.79104478 19.20895522] ; [14.20895522 19.79104478],0
p10,1,0.952931,0.003484,[26  6] ; [27  6],[26.09230769  5.90769231] ; [26.90769231  6.09230769],0
p12,1,0.982901,0.000459,[ 1 32] ; [ 1 33],[ 0.98507463 32.01492537] ; [ 1.01492537 32.98507463],0
