Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.024547,5.055538,[13 30] ; [14 10],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],0
a4,1,0.043132,4.090222,[10 33] ; [ 1 23],[ 7.05970149 35.94029851] ; [ 3.94029851 20.05970149],0
p4,1,0.053905,3.715624,[13 30] ; [13 11],[16.68656716 26.31343284] ; [ 9.31343284 14.68656716],0
p6,1,0.054589,3.694608,[ 6 36] ; [ 8 15],[ 9.04615385 32.95384615] ; [ 4.95384615 18.04615385],0
p10,1,0.071166,3.25592,[17 26] ; [15  9],[20.53731343 22.46268657] ; [11.46268657 12.53731343],0
d4,1,0.071166,3.25592,[26 17] ; [ 9 15],[22.46268657 20.53731343] ; [12.53731343 11.46268657],0
v1,1,0.074416,3.182814,[10 31] ; [11 13],[13.24615385 27.75384615] ; [ 7.75384615 16.24615385],0
s6,1,0.173417,1.853154,[15 28] ; [12 11],[17.59090909 25.40909091] ; [ 9.40909091 13.59090909],0
v4,1,0.18447,1.76124,[39  4] ; [19  5],[37.2238806  5.7761194] ; [20.7761194  3.2238806],0
p3,1,0.20161,1.630674,[13 30] ; [11 13],[15.40298507 27.59701493] ; [ 8.59701493 15.40298507],0
p7,1,0.205593,1.602188,[23 20] ; [16  7],[25.40909091 17.59090909] ; [13.59090909  9.40909091],0
a8,1,0.205841,1.600438,[ 6 35] ; [ 1 22],[ 4.484375 36.515625] ; [ 2.515625 20.484375],0
v3,1,0.211899,1.558404,[ 8 33] ; [ 8 16],[10.09230769 30.90769231] ; [ 5.90769231 18.09230769],0
a7,1,0.219417,1.508181,[22 21] ; [16  8],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
a3,1,0.243919,1.357801,[22 20] ; [ 9 15],[19.72727273 22.27272727] ; [11.27272727 12.72727273],0
s1,1,0.254249,1.299802,[ 1 42] ; [ 2 22],[ 1.92537313 41.07462687] ; [ 1.07462687 22.92537313],0
p5,1,0.254249,1.299802,[ 1 42] ; [ 2 22],[ 1.92537313 41.07462687] ; [ 1.07462687 22.92537313],0
n3,1,0.260531,1.265934,[11  2] ; [3 2],[10.11111111  2.88888889] ; [3.88888889 1.11111111],0
b5,1,0.302969,1.061081,[25 18] ; [17  7],[26.95522388 16.04477612] ; [15.04477612  8.95522388],0
n2,1,0.418222,0.655306,[11  3] ; [3 2],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
r1,1,0.45593,0.555867,[29 14] ; [14 10],[27.59701493 15.40298507] ; [15.40298507  8.59701493],0
s7,1,0.470302,0.521267,[ 7 33] ; [ 6 18],[ 8.125 31.875] ; [ 4.875 19.125],0
r4,1,0.499689,0.455596,[32 11] ; [16  8],[30.80597015 12.19402985] ; [17.19402985  6.80597015],0
n4,1,0.506184,0.441948,[16 27] ; [ 7 17],[14.76119403 28.23880597] ; [ 8.23880597 15.76119403],0
s3,1,0.551701,0.354279,[22 21] ; [10 13],[20.84848485 22.15151515] ; [11.15151515 11.84848485],0
r3,1,0.561971,0.336303,[38  5] ; [20  4],[37.2238806  5.7761194] ; [20.7761194  3.2238806],0
v2,1,0.620959,0.244522,[11 29] ; [ 8 16],[11.875 28.125] ; [ 7.125 16.875],0
p2,1,0.64867,0.207581,[30 13] ; [18  6],[30.80597015 12.19402985] ; [17.19402985  6.80597015],0
a2,1,0.671129,0.180285,[ 1 42] ; [ 1 23],[ 1.28358209 41.71641791] ; [ 0.71641791 23.28358209],0
d1,1,0.671129,0.180285,[ 1 42] ; [ 1 23],[ 1.28358209 41.71641791] ; [ 0.71641791 23.28358209],0
a6,1,0.675674,0.175036,[21 22] ; [13 11],[21.82089552 21.17910448] ; [12.17910448 11.82089552],0
s4,1,0.677248,0.173241,[ 7 36] ; [ 3 21],[ 6.41791045 36.58208955] ; [ 3.58208955 20.41791045],0
b3,1,0.715478,0.132867,[ 8 18] ; [3 9],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
b2,1,0.715478,0.132867,[ 8 18] ; [3 9],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
n6,1,0.719606,0.128871,[27 16] ; [14 10],[26.31343284 16.68656716] ; [14.68656716  9.31343284],0
u3,1,0.76738,0.0875,[ 9 11] ; [6 9],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
u2,1,0.76738,0.0875,[11  9] ; [9 6],[11.42857143  8.57142857] ; [8.57142857 6.42857143],0
b4,1,0.784017,0.075125,[23 20] ; [12 12],[22.46268657 20.53731343] ; [12.53731343 11.46268657],0
p11,1,0.793062,0.068821,[30 13] ; [16  8],[29.52238806 13.47761194] ; [16.47761194  7.52238806],0
