Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.679061,[61  9] ; [12 18],[51.1 18.9] ; [21.9  8.1],1
v4,1,0.001469,10.117435,[63  7] ; [19 11],[57.4 12.6] ; [24.6  5.4],0
r2,1,0.001894,9.649812,[68  1] ; [22  5],[64.6875  4.3125] ; [25.3125  1.6875],0
s8,1,0.006371,7.442144,[34 35] ; [ 6 24],[27.87878788 41.12121212] ; [12.12121212 17.87878788],0
n3,1,0.014306,6.0,[19  8] ; [ 6 12],[15. 12.] ; [10.  8.],0
v3,1,0.016732,5.72422,[26 38] ; [ 4 23],[21.0989011 42.9010989] ; [ 8.9010989 18.0989011],0
p9,1,0.022325,5.22026,[49 20] ; [13 15],[44.10309278 24.89690722] ; [17.89690722 10.10309278],0
r3,1,0.023473,5.133138,[62  8] ; [21  9],[58.1 11.9] ; [24.9  5.1],0
s7,1,0.033797,4.50492,[38 28] ; [ 9 18],[33.35483871 32.64516129] ; [13.64516129 13.35483871],0
p10,1,0.042201,4.127142,[45 24] ; [13 17],[40.42424242 28.57575758] ; [17.57575758 12.42424242],0
s6,1,0.055299,3.673043,[42 27] ; [12 18],[37.63636364 31.36363636] ; [16.36363636 13.63636364],0
n4,1,0.056811,3.628118,[53 17] ; [17 13],[49. 21.] ; [21.  9.],0
u1,1,0.07776,3.111111,[21 49] ; [ 4 26],[17.5 52.5] ; [ 7.5 22.5],0
s3,1,0.106281,2.608663,[38 32] ; [11 19],[34.3 35.7] ; [14.7 15.3],0
a7,1,0.112513,2.51856,[53 17] ; [18 12],[49.7 20.3] ; [21.3  8.7],0
n6,1,0.135941,2.223315,[53 16] ; [18 11],[49.98979592 19.01020408] ; [21.01020408  7.98979592],0
n1,1,0.144674,2.127524,[16 13] ; [ 6 12],[13.57446809 15.42553191] ; [8.42553191 9.57446809],0
u2,1,0.148795,2.084559,[11  6] ; [1 3],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
a3,1,0.170801,1.875902,[52 18] ; [26  4],[54.6 15.4] ; [23.4  6.6],0
v1,1,0.216289,1.528827,[29 40] ; [ 8 20],[26.31958763 42.68041237] ; [10.68041237 17.31958763],0
a2,1,0.223878,1.479342,[25 45] ; [ 7 23],[22.4 47.6] ; [ 9.6 20.4],0
b2,1,0.259084,1.273646,[17 33] ; [11 12],[19.17808219 30.82191781] ; [ 8.82191781 14.17808219],0
b3,1,0.259084,1.273646,[17 33] ; [11 12],[19.17808219 30.82191781] ; [ 8.82191781 14.17808219],0
d2,1,0.26356,1.249959,[49 19] ; [24  5],[51.17525773 16.82474227] ; [21.82474227  7.17525773],0
p11,1,0.272822,1.202501,[41 29] ; [14 16],[38.5 31.5] ; [16.5 13.5],0
s1,1,0.278728,1.173282,[ 3 66] ; [ 3 27],[ 4.18181818 64.81818182] ; [ 1.81818182 28.18181818],0
v2,1,0.280627,1.164052,[38 29] ; [12 15],[35.63829787 31.36170213] ; [14.36170213 12.63829787],0
n5,1,0.317231,1.000331,[47 23] ; [17 13],[44.8 25.2] ; [19.2 10.8],0
s2,1,0.33347,0.935374,[33 37] ; [11 19],[30.8 39.2] ; [13.2 16.8],0
p6,1,0.335496,0.927567,[13 56] ; [ 8 21],[14.78571429 54.21428571] ; [ 6.21428571 22.78571429],0
p5,1,0.348949,0.877276,[ 6 62] ; [ 1 28],[ 4.90721649 63.09278351] ; [ 2.09278351 26.90721649],0
u3,1,0.388072,0.744974,[13  5] ; [2 2],[12.27272727  5.72727273] ; [2.72727273 1.27272727],0
u4,1,0.462284,0.540358,[ 5 65] ; [ 1 29],[ 4.2 65.8] ; [ 1.8 28.2],0
a6,1,0.46357,0.537262,[46 22] ; [18 12],[44.40816327 23.59183673] ; [19.59183673 10.40816327],0
a5,1,0.486126,0.485089,[54 16] ; [25  5],[55.3 14.7] ; [23.7  6.3],0
d5,1,0.547788,0.361295,[67  1] ; [29  1],[66.6122449  1.3877551] ; [29.3877551  0.6122449],0
a4,1,0.595947,0.281152,[45 25] ; [17 12],[43.83838384 26.16161616] ; [18.16161616 10.83838384],0
p4,1,0.609279,0.261226,[24 44] ; [ 9 21],[22.89795918 45.10204082] ; [10.10204082 19.89795918],0
s5,1,0.639689,0.219149,[19 47] ; [ 7 22],[18.06315789 47.93684211] ; [ 7.93684211 21.06315789],0
b1,1,0.693949,0.154843,[32 38] ; [15 15],[32.9 37.1] ; [14.1 15.9],0
b5,1,0.790794,0.070373,[40 30] ; [18 12],[40.6 29.4] ; [17.4 12.6],0
a1,1,0.81906,0.052329,[ 6 64] ; [ 3 27],[ 6.3 63.7] ; [ 2.7 27.3],0
p8,1,0.833111,0.0444,[15 55] ; [ 7 23],[15.4 54.6] ; [ 6.6 23.4],0
n2,1,0.83632,0.042685,[17 12] ; [10  8],[16.65957447 12.34042553] ; [10.34042553  7.65957447],0
p7,1,0.858609,0.031736,[21 45] ; [ 9 21],[20.625 45.375] ; [ 9.375 20.625],0
s4,1,0.918891,0.01037,[13 55] ; [ 6 24],[13.18367347 54.81632653] ; [ 5.81632653 24.18367347],0
p3,1,0.934209,0.006815,[22 47] ; [ 9 20],[21.82653061 47.17346939] ; [ 9.17346939 19.82653061],0
d3,1,0.951749,0.003662,[57 11] ; [25  5],[56.89795918 11.10204082] ; [25.10204082  4.89795918],0
a8,1,0.953546,0.003394,[ 4 59] ; [ 2 28],[ 4.06451613 58.93548387] ; [ 1.93548387 28.06451613],0
b4,1,0.963949,0.002043,[44 26] ; [19 11],[44.1 25.9] ; [18.9 11.1],0
