Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.007427,7.166667,[21 22] ; [33 10],[27. 16.] ; [27. 16.],0
p7,1,0.031948,4.601259,[30 11] ; [20 20],[25.30864198 15.69135802] ; [24.69135802 15.30864198],0
s4,1,0.041153,4.169697,[14 29] ; [ 6 37],[10. 33.] ; [10. 33.],0
s7,1,0.048024,3.909142,[15 26] ; [25 18],[19.52380952 21.47619048] ; [20.47619048 22.52380952],0
p9,1,0.07776,3.111111,[28 14] ; [35  7],[31.5 10.5] ; [31.5 10.5],0
p4,1,0.082368,3.017544,[28 15] ; [20 23],[24. 19.] ; [24. 19.],0
b3,1,0.106827,2.600546,[ 5 21] ; [11 17],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
b2,1,0.106827,2.600546,[ 5 21] ; [11 17],[ 7.7037037 18.2962963] ; [ 8.2962963 19.7037037],0
u3,1,0.107184,2.595262,[13  8] ; [9 1],[14.90322581  6.09677419] ; [7.09677419 2.90322581],0
v2,1,0.140803,2.169157,[18 22] ; [24 15],[21.26582278 18.73417722] ; [20.73417722 18.26582278],0
r3,1,0.158497,1.988511,[42  1] ; [38  4],[40.47058824  2.52941176] ; [39.52941176  2.47058824],0
d4,1,0.158497,1.988511,[31 11] ; [37  6],[33.6  8.4] ; [34.4  8.6],0
v3,1,0.201831,1.629073,[ 8 31] ; [13 26],[10.5 28.5] ; [10.5 28.5],0
n1,1,0.234417,1.413856,[ 4 11] ; [8 9],[5.625 9.375] ; [ 6.375 10.625],0
v4,1,0.249623,1.325415,[38  5] ; [40  2],[39.45882353  3.54117647] ; [38.54117647  3.45882353],0
a1,1,0.305788,1.04878,[ 1 42] ; [ 3 40],[ 2. 41.] ; [ 2. 41.],0
a7,1,0.365459,0.819048,[30 13] ; [26 17],[28. 15.] ; [28. 15.],0
s8,1,0.387165,0.747826,[18 25] ; [22 21],[20. 23.] ; [20. 23.],0
d3,1,0.396913,0.717658,[30 12] ; [27 16],[28.16470588 13.83529412] ; [28.83529412 14.16470588],0
p1,1,0.397239,0.716667,[ 2 41] ; [ 4 39],[ 3. 40.] ; [ 3. 40.],0
r1,1,0.414135,0.666899,[30 12] ; [34  9],[31.62352941 10.37647059] ; [32.37647059 10.62352941],0
a2,1,0.416614,0.659847,[ 7 36] ; [10 33],[ 8.5 34.5] ; [ 8.5 34.5],0
p2,1,0.435537,0.608013,[35  8] ; [32 11],[33.5  9.5] ; [33.5  9.5],0
s3,1,0.439528,0.597513,[31 12] ; [27 15],[29.34117647 13.65882353] ; [28.65882353 13.34117647],0
u1,1,0.457794,0.551282,[ 5 38] ; [ 3 40],[ 4. 39.] ; [ 4. 39.],0
a4,1,0.485773,0.485876,[12 31] ; [15 28],[13.5 29.5] ; [13.5 29.5],0
b5,1,0.5059,0.442539,[25 18] ; [28 15],[26.5 16.5] ; [26.5 16.5],0
b4,1,0.515812,0.422259,[25 18] ; [22 21],[23.5 19.5] ; [23.5 19.5],0
s5,1,0.517363,0.419147,[11 29] ; [14 27],[12.34567901 27.65432099] ; [12.65432099 28.34567901],0
n4,1,0.517634,0.418605,[20 23] ; [23 20],[21.5 21.5] ; [21.5 21.5],0
a8,1,0.52611,0.401899,[ 6 34] ; [ 4 35],[ 5.06329114 34.93670886] ; [ 4.93670886 34.06329114],0
p6,1,0.530213,0.393983,[11 31] ; [13 27],[12.29268293 29.70731707] ; [11.70731707 28.29268293],0
a6,1,0.542972,0.37006,[29 13] ; [27 16],[27.67058824 14.32941176] ; [28.32941176 14.67058824],0
n5,1,0.593425,0.285027,[18 25] ; [20 22],[19.22352941 23.77647059] ; [18.77647059 23.22352941],0
n3,1,0.599283,0.276078,[11  4] ; [11  6],[10.3125  4.6875] ; [11.6875  5.3125],0
p5,1,0.644692,0.212658,[ 2 40] ; [ 3 39],[ 2.5 39.5] ; [ 2.5 39.5],0
b1,1,0.666143,0.186147,[21 22] ; [23 20],[22. 21.] ; [22. 21.],0
n2,1,0.737342,0.112476,[13  2] ; [14  3],[12.65625  2.34375] ; [14.34375  2.65625],0
p8,1,0.749502,0.10195,[19 22] ; [18 24],[18.27710843 22.72289157] ; [18.72289157 23.27710843],0
d5,1,0.753797,0.098368,[31 11] ; [33 10],[31.62352941 10.37647059] ; [32.37647059 10.62352941],0
d2,1,0.75568,0.09682,[18 24] ; [17 26],[17.29411765 24.70588235] ; [17.70588235 25.29411765],0
r2,1,0.778445,0.079155,[37  6] ; [37  5],[37.43529412  5.56470588] ; [36.56470588  5.43529412],0
p10,1,0.81849,0.052665,[27 15] ; [28 14],[27.5 14.5] ; [27.5 14.5],0
p3,1,0.827588,0.047435,[18 25] ; [19 24],[18.5 24.5] ; [18.5 24.5],0
s2,1,0.827588,0.047435,[24 19] ; [25 18],[24.5 18.5] ; [24.5 18.5],0
d1,1,0.828516,0.046918,[23 20] ; [24 19],[23.5 19.5] ; [23.5 19.5],0
r4,1,1.0,0.0,[34  9] ; [34  9],[34.  9.] ; [34.  9.],0
a5,1,1.0,0.0,[28 15] ; [28 15],[28. 15.] ; [28. 15.],0
p11,1,1.0,0.0,[27 16] ; [27 16],[27. 16.] ; [27. 16.],0
