Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.083014,3.004887,[17 29] ; [12  8],[20.21212121 25.78787879] ; [ 8.78787879 11.21212121],0
u2,1,0.089192,2.888889,[ 7 11] ; [6 2],[9. 9.] ; [4. 4.],0
b1,1,0.103837,2.645593,[11 36] ; [ 9 12],[13.82352941 33.17647059] ; [ 6.17647059 14.82352941],0
a7,1,0.103837,2.645593,[36 11] ; [12  9],[33.17647059 13.82352941] ; [14.82352941  6.17647059],0
p3,1,0.141432,2.162312,[19 28] ; [12  8],[21.74626866 25.25373134] ; [ 9.25373134 10.74626866],0
s8,1,0.153318,2.038925,[16 31] ; [11 10],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
v4,1,0.159336,1.980515,[43  2] ; [18  3],[41.59090909  3.40909091] ; [19.40909091  1.59090909],0
p7,1,0.166301,1.915972,[28 18] ; [ 8 11],[25.47692308 20.52307692] ; [10.52307692  8.47692308],0
n4,1,0.172604,1.860182,[14 33] ; [ 3 18],[11.75 35.25] ; [ 5.25 15.75],0
a4,1,0.209714,1.573397,[21 26] ; [ 6 15],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
b4,1,0.212268,1.555887,[36 11] ; [13  8],[33.86764706 13.13235294] ; [15.13235294  5.86764706],0
n3,1,0.216522,1.527273,[8 2] ; [6 5],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
p1,1,0.225432,1.469453,[ 4 42] ; [ 4 17],[ 5.49253731 40.50746269] ; [ 2.50746269 18.49253731],0
u3,1,0.233703,1.418182,[9 9] ; [6 2],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
s3,1,0.245424,1.349166,[26 20] ; [15  6],[28.14925373 17.85074627] ; [12.85074627  8.14925373],0
r4,1,0.253211,1.305501,[41  6] ; [16  5],[39.39705882  7.60294118] ; [17.60294118  3.39705882],0
u1,1,0.319332,0.99168,[ 9 38] ; [ 2 19],[ 7.60294118 39.39705882] ; [ 3.39705882 17.60294118],0
a2,1,0.319332,0.99168,[ 9 38] ; [ 2 19],[ 7.60294118 39.39705882] ; [ 3.39705882 17.60294118],0
b2,1,0.323436,0.975,[ 9 18] ; [6 6],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
b3,1,0.323436,0.975,[ 9 18] ; [6 6],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
p5,1,0.329415,0.951195,[ 6 40] ; [ 1 19],[ 4.87878788 41.12121212] ; [ 2.12121212 17.87878788],0
s7,1,0.369212,0.806317,[21 25] ; [11  8],[22.64615385 23.35384615] ; [9.35384615 9.64615385],0
n2,1,0.375399,0.785714,[6 5] ; [8 3],[7. 4.] ; [7. 4.],0
p11,1,0.383021,0.760984,[32 15] ; [12  9],[30.41176471 16.58823529] ; [13.58823529  7.41176471],0
n1,1,0.391805,0.733333,[4 7] ; [6 5],[5. 6.] ; [5. 6.],0
d1,1,0.406949,0.687695,[24 23] ; [13  8],[25.57352941 21.42647059] ; [11.42647059  9.57352941],0
d4,1,0.429926,0.623024,[42  5] ; [20  1],[42.85294118  4.14705882] ; [19.14705882  1.85294118],0
a5,1,0.498672,0.457761,[33 14] ; [13  8],[31.79411765 15.20588235] ; [14.20588235  6.79411765],0
p9,1,0.619652,0.246357,[37  9] ; [15  5],[36.24242424  9.75757576] ; [15.75757576  4.24242424],0
a1,1,0.646621,0.210186,[ 3 44] ; [ 2 19],[ 3.45588235 43.54411765] ; [ 1.54411765 19.45588235],0
r2,1,0.664451,0.188162,[43  3] ; [19  2],[42.56716418  3.43283582] ; [19.43283582  1.56716418],0
d5,1,0.667356,0.184711,[40  7] ; [17  4],[39.39705882  7.60294118] ; [17.60294118  3.39705882],0
