Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,56.301972,[104  58] ; [ 30 111],[71.64356436 90.35643564] ; [62.35643564 78.64356436],1
p6,1,0.0,30.72208,[74 87] ; [ 22 116],[ 51.69230769 109.30769231] ; [44.30769231 93.69230769],1
p7,1,2e-06,22.690007,[120  40] ; [66 71],[100.2020202  59.7979798] ; [85.7979798 51.2020202],1
p8,1,5e-06,20.920459,[104  56] ; [54 86],[84.26666667 75.73333333] ; [73.73333333 66.26666667],1
p5,1,0.000194,13.884384,[ 29 132] ; [  6 135],[ 18.6589404 142.3410596] ; [ 16.3410596 124.6589404],1
s7,1,0.005518,7.701195,[81 69] ; [52 86],[69.27083333 80.72916667] ; [63.72916667 74.27083333],0
n5,1,0.009978,6.638765,[132  29] ; [97 43],[122.48837209  38.51162791] ; [106.51162791  33.48837209],0
p2,1,0.017518,5.643741,[142  19] ; [110  31],[134.34437086  26.65562914] ; [117.65562914  23.34437086],0
n2,1,0.042221,4.126316,[25 11] ; [32  4],[28.5  7.5] ; [28.5  7.5],0
n6,1,0.048594,3.889329,[141  20] ; [110  29],[134.70333333  26.29666667] ; [116.29666667  22.70333333],0
s4,1,0.059942,3.539001,[ 21 139] ; [ 30 111],[ 27.10963455 132.89036545] ; [ 23.89036545 117.10963455],0
n4,1,0.073691,3.19882,[122  40] ; [93 48],[114.95049505  47.04950495] ; [100.04950495  40.95049505],0
u1,1,0.093552,2.812174,[  4 158] ; [  9 132],[  6.95049505 155.04950495] ; [  6.04950495 134.95049505],0
a4,1,0.097156,2.751618,[ 48 114] ; [ 30 111],[ 41.7029703 120.2970297] ; [ 36.2970297 104.7029703],0
s8,1,0.098144,2.735455,[69 93] ; [47 94],[62.01980198 99.98019802] ; [53.98019802 87.01980198],0
d5,1,0.119776,2.420252,[100  62] ; [74 66],[93.33774834 68.66225166] ; [80.66225166 59.33774834],0
a2,1,0.12504,2.35303,[ 14 148] ; [  6 135],[ 10.69306931 151.30693069] ; [  9.30693069 131.69306931],0
r1,1,0.151026,2.061857,[122  40] ; [95 45],[116.40397351  45.59602649] ; [100.59602649  39.40397351],0
d2,1,0.1604,1.970448,[ 25 137] ; [ 14 126],[ 20.9205298 141.0794702] ; [ 18.0794702 121.9205298],0
a6,1,0.180637,1.792379,[103  59] ; [79 62],[97.30693069 64.69306931] ; [84.69306931 56.30693069],0
u2,1,0.22044,1.501508,[40 23] ; [31 28],[36.66393443 26.33606557] ; [34.33606557 24.66393443],0
