Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.54519,[16 40] ; [22  5],[25.63855422 30.36144578] ; [12.36144578 14.63855422],1
n4,1,0.002765,8.956716,[36 23] ; [25  2],[41.84883721 17.15116279] ; [19.15116279  7.84883721],0
s8,1,0.00464,8.014482,[11 48] ; [13 14],[16.46511628 42.53488372] ; [ 7.53488372 19.46511628],0
p2,1,0.006132,7.511159,[38 21] ; [25  2],[43.22093023 15.77906977] ; [19.77906977  7.22093023],0
r1,1,0.012114,6.294176,[34 25] ; [23  4],[39.10465116 19.89534884] ; [17.89534884  9.10465116],0
p8,1,0.012628,6.220423,[16 42] ; [15 12],[21.15294118 36.84705882] ; [ 9.84705882 17.15294118],0
r4,1,0.012987,6.170839,[40 19] ; [25  2],[44.59302326 14.40697674] ; [20.40697674  6.59302326],0
p3,1,0.02439,5.066667,[19 38] ; [16 11],[23.75 33.25] ; [11.25 15.75],0
a5,1,0.031231,4.640242,[34 25] ; [22  5],[38.41860465 20.58139535] ; [17.58139535  9.41860465],0
p6,1,0.032846,4.553787,[11 47] ; [11 16],[15.01176471 42.98823529] ; [ 6.98823529 20.01176471],0
b3,1,0.035084,4.441091,[13 25] ; [11  6],[16.58181818 21.41818182] ; [7.41818182 9.58181818],0
b2,1,0.035084,4.441091,[13 25] ; [11  6],[16.58181818 21.41818182] ; [7.41818182 9.58181818],0
v1,1,0.036555,4.37102,[20 37] ; [16 11],[24.42857143 32.57142857] ; [11.57142857 15.42857143],0
d1,1,0.03853,4.281457,[23 36] ; [17 10],[27.44186047 31.55813953] ; [12.55813953 14.44186047],0
v4,1,0.040053,4.21562,[45 12] ; [26  1],[48.17857143  8.82142857] ; [22.82142857  4.17857143],0
n5,1,0.053569,3.726064,[35 23] ; [22  5],[38.89411765 19.10588235] ; [18.10588235  8.89411765],0
p11,1,0.060162,3.532904,[36 23] ; [22  5],[39.79069767 19.20930233] ; [18.20930233  8.79069767],0
p10,1,0.08175,3.029767,[37 22] ; [22  5],[40.47674419 18.52325581] ; [18.52325581  8.47674419],0
b4,1,0.129992,2.292602,[29 30] ; [18  9],[32.24418605 26.75581395] ; [14.75581395 12.24418605],0
a3,1,0.1514,2.058091,[36 22] ; [21  6],[38.89411765 19.10588235] ; [18.10588235  8.89411765],0
