Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000684,11.533126,[15  8] ; [17 49],[ 8.26966292 14.73033708] ; [23.73033708 42.26966292],1
r2,1,0.021781,5.263208,[23  1] ; [51 18],[19.09677419  4.90322581] ; [54.90322581 14.09677419],0
a5,1,0.033071,4.542108,[18  6] ; [35 35],[13.53191489 10.46808511] ; [39.46808511 30.53191489],0
p3,1,0.052647,3.7551,[ 9 13] ; [14 55],[ 5.56043956 16.43956044] ; [17.43956044 51.56043956],0
v1,1,0.061958,3.484186,[12 12] ; [20 49],[ 8.25806452 15.74193548] ; [23.74193548 45.25806452],0
v4,1,0.088184,2.907213,[20  4] ; [44 24],[16.69565217  7.30434783] ; [47.30434783 20.69565217],0
s8,1,0.097049,2.753378,[ 4 20] ; [ 4 66],[ 2.04255319 21.95744681] ; [ 5.95744681 64.04255319],0
r4,1,0.09808,2.736491,[17  7] ; [36 34],[13.53191489 10.46808511] ; [39.46808511 30.53191489],0
b5,1,0.119007,2.430342,[10 14] ; [42 28],[13.27659574 10.72340426] ; [38.72340426 31.27659574],0
p9,1,0.148178,2.090909,[15  8] ; [33 36],[12. 11.] ; [36. 33.],0
s2,1,0.148358,2.089052,[ 7 17] ; [11 59],[ 4.59574468 19.40425532] ; [13.40425532 56.59574468],0
a7,1,0.150811,2.064033,[18  6] ; [41 29],[15.06382979  8.93617021] ; [43.93617021 26.06382979],0
p10,1,0.162157,1.953996,[13  9] ; [29 40],[10.15384615 11.84615385] ; [31.84615385 37.15384615],0
r3,1,0.177151,1.821367,[19  5] ; [45 25],[16.34042553  7.65957447] ; [47.65957447 22.34042553],0
p1,1,0.178773,1.807798,[ 4 20] ; [ 5 64],[ 2.32258065 21.67741935] ; [ 6.67741935 62.32258065],0
r1,1,0.192767,1.696346,[17  7] ; [39 31],[14.29787234  9.70212766] ; [41.70212766 28.29787234],0
p8,1,0.222026,1.491226,[ 8 14] ; [16 53],[ 5.8021978 16.1978022] ; [18.1978022 50.8021978],0
d5,1,0.278653,1.173646,[18  6] ; [44 26],[15.82978723  8.17021277] ; [46.17021277 23.82978723],0
p7,1,0.285566,1.140409,[11 12] ; [24 44],[ 8.84615385 14.15384615] ; [26.15384615 41.84615385],0
p11,1,0.285882,1.138915,[14 10] ; [32 38],[11.74468085 12.25531915] ; [34.25531915 35.74468085],0
n4,1,0.409048,0.681565,[14 10] ; [34 36],[12.25531915 11.74468085] ; [35.74468085 34.25531915],0
a2,1,0.450807,0.568622,[ 2 22] ; [10 60],[ 3.06382979 20.93617021] ; [ 8.93617021 61.06382979],0
a3,1,0.452696,0.563892,[17  7] ; [43 26],[15.48387097  8.51612903] ; [44.51612903 24.48387097],0
n2,1,0.45536,0.557276,[4 2] ; [15 15],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
b1,1,0.483766,0.490362,[15  9] ; [38 32],[13.53191489 10.46808511] ; [39.46808511 30.53191489],0
b4,1,0.483766,0.490362,[15  9] ; [38 32],[13.53191489 10.46808511] ; [39.46808511 30.53191489],0
n5,1,0.498106,0.458969,[12 12] ; [29 40],[10.58064516 13.41935484] ; [30.41935484 38.58064516],0
p4,1,0.505711,0.442932,[ 7 15] ; [17 52],[ 5.8021978 16.1978022] ; [18.1978022 50.8021978],0
a8,1,0.594956,0.282671,[ 1 22] ; [ 5 61],[ 1.5505618 21.4494382] ; [ 4.4494382 61.5505618],0
b2,1,0.602027,0.27195,[4 7] ; [11 28],[3.3 7.7] ; [11.7 27.3],0
b3,1,0.602027,0.27195,[4 7] ; [11 28],[3.3 7.7] ; [11.7 27.3],0
d3,1,0.602154,0.271759,[14 10] ; [36 33],[12.90322581 11.09677419] ; [37.09677419 31.90322581],0
u1,1,0.606756,0.264926,[ 1 23] ; [ 5 65],[ 1.53191489 22.46808511] ; [ 4.46808511 65.53191489],0
a4,1,0.616709,0.250521,[11 13] ; [28 42],[ 9.95744681 14.04255319] ; [29.04255319 40.95744681],0
s4,1,0.671276,0.180113,[ 2 22] ; [ 8 62],[ 2.55319149 21.44680851] ; [ 7.44680851 62.55319149],0
d1,1,0.678712,0.17158,[ 9 15] ; [23 47],[ 8.17021277 15.82978723] ; [23.82978723 46.17021277],0
