Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.4e-05,16.685358,[ 22 118] ; [39 61],[ 35.58333333 104.41666667] ; [25.41666667 74.58333333],1
r3,1,9.8e-05,15.181219,[109  33] ; [97  5],[119.8852459  22.1147541] ; [86.1147541 15.8852459],1
v1,1,0.000205,13.785608,[42 99] ; [54 47],[55.9338843 85.0661157] ; [40.0661157 60.9338843],1
s6,1,0.00133,10.300173,[47 94] ; [55 47],[59.18518519 81.81481481] ; [42.81481481 59.18518519],0
r1,1,0.002896,8.871817,[80 63] ; [76 26],[91.05306122 51.94693878] ; [64.94693878 37.05306122],0
d1,1,0.003496,8.528438,[55 88] ; [59 44],[66.26829268 76.73170732] ; [47.73170732 55.26829268],0
a7,1,0.00357,8.490477,[87 56] ; [80 22],[97.47346939 45.52653061] ; [69.52653061 32.47346939],0
b1,1,0.004956,7.89554,[64 79] ; [28 75],[53.4796748 89.5203252] ; [38.5203252 64.4796748],0
d5,1,0.00553,7.69752,[92 51] ; [83 20],[101.72764228  41.27235772] ; [73.27235772 29.72764228],0
d3,1,0.008074,7.016898,[79 64] ; [74 29],[88.93902439 54.06097561] ; [64.06097561 38.93902439],0
d4,1,0.008616,6.900688,[98 45] ; [85 17],[106.8122449  36.1877551] ; [76.1877551 25.8122449],0
p4,1,0.008978,6.827171,[ 38 104] ; [44 59],[47.52653061 94.47346939] ; [34.47346939 68.52653061],0
a5,1,0.029977,4.710596,[85 58] ; [75 28],[93.00813008 49.99186992] ; [66.99186992 36.00813008],0
s1,1,0.03155,4.622758,[ 12 130] ; [  2 100],[  8.14754098 133.85245902] ; [ 5.85245902 96.14754098],0
p11,1,0.039266,4.249309,[83 60] ; [73 30],[90.68292683 52.31707317] ; [65.31707317 37.68292683],0
p10,1,0.051373,3.796068,[77 64] ; [69 34],[84.36885246 56.63114754] ; [61.63114754 41.36885246],0
r4,1,0.070756,3.265386,[96 47] ; [80 23],[102.30894309  40.69105691] ; [73.69105691 29.30894309],0
p9,1,0.072773,3.219335,[85 54] ; [73 28],[91.50833333 47.49166667] ; [66.49166667 34.50833333],0
n3,1,0.07341,3.205074,[26 24] ; [23  9],[29.87804878 20.12195122] ; [19.12195122 12.87804878],0
n6,1,0.095189,2.784359,[95 47] ; [79 24],[100.84897959  41.15102041] ; [73.15102041 29.84897959],0
n5,1,0.106231,2.609413,[95 48] ; [58 45],[88.93902439 54.06097561] ; [64.06097561 38.93902439],0
u2,1,0.106297,2.608427,[24 38] ; [21 17],[27.9 34.1] ; [17.1 20.9],0
p2,1,0.127316,2.324926,[85 58] ; [71 32],[90.68292683 52.31707317] ; [65.31707317 37.68292683],0
p8,1,0.226264,1.464191,[ 27 115] ; [26 76],[ 30.8442623 111.1557377] ; [22.1557377 79.8442623],0
p12,1,0.237483,1.395474,[  3 138] ; [ 5 98],[  4.62295082 136.37704918] ; [ 3.37704918 99.62295082],0
r2,1,0.248815,1.329947,[121  21] ; [92 10],[123.95901639  18.04098361] ; [89.04098361 12.95901639],0
p3,1,0.252351,1.310241,[ 30 112] ; [28 74],[ 33.75409836 108.24590164] ; [24.24590164 77.75409836],0
n2,1,0.2548,1.296795,[31 21] ; [23  9],[33.42857143 18.57142857] ; [20.57142857 11.42857143],0
a8,1,0.269761,1.217963,[ 14 122] ; [ 6 91],[ 11.67381974 124.32618026] ; [ 8.32618026 88.67381974],0
p1,1,0.308611,1.036612,[ 15 127] ; [ 7 96],[ 12.75102041 129.24897959] ; [ 9.24897959 93.75102041],0
n1,1,0.343212,0.898396,[19 32] ; [ 9 24],[17. 34.] ; [11. 22.],0
a3,1,0.373071,0.793411,[81 60] ; [65 38],[84.36885246 56.63114754] ; [61.63114754 41.36885246],0
v4,1,0.399641,0.709406,[114  28] ; [87 16],[116.49795918  25.50204082] ; [84.50204082 18.49795918],0
p5,1,0.404504,0.694895,[  9 134] ; [ 4 99],[  7.55691057 135.44308943] ; [ 5.44308943 97.55691057],0
a1,1,0.404504,0.694895,[  9 134] ; [ 4 99],[  7.55691057 135.44308943] ; [ 5.44308943 97.55691057],0
s2,1,0.476856,0.506044,[ 37 104] ; [31 71],[ 39.45679012 101.54320988] ; [28.54320988 73.45679012],0
s3,1,0.50251,0.449632,[45 95] ; [37 65],[47.43801653 92.56198347] ; [34.56198347 67.43801653],0
b2,1,0.509905,0.434263,[29 51] ; [19 26],[30.72 49.28] ; [17.28 27.72],0
b3,1,0.509905,0.434263,[29 51] ; [19 26],[30.72 49.28] ; [17.28 27.72],0
n4,1,0.512398,0.429167,[96 47] ; [65 38],[93.58943089 49.41056911] ; [67.41056911 35.58943089],0
a6,1,0.542549,0.370837,[89 54] ; [68 35],[91.26422764 51.73577236] ; [65.73577236 37.26422764],0
