Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,7e-06,20.238998,[3 4] ; [ 1 63],[0.3943662 6.6056338] ; [ 3.6056338 60.3943662],1
p12,1,0.00011,14.957265,[3 4] ; [ 2 61],[0.5 6.5] ; [ 4.5 58.5],1
p3,1,0.00011,14.951146,[6 1] ; [12 52],[1.77464789 5.22535211] ; [16.22535211 47.77464789],1
a2,1,0.000293,13.117277,[5 2] ; [ 9 55],[1.38028169 5.61971831] ; [12.61971831 51.38028169],1
s7,1,0.007719,7.097597,[6 1] ; [21 41],[2.73913043 4.26086957] ; [24.26086957 37.73913043],0
p4,1,0.00832,6.96321,[6 1] ; [22 42],[2.76056338 4.23943662] ; [25.23943662 38.76056338],0
p8,1,0.016261,5.774411,[5 2] ; [17 46],[2.2 4.8] ; [19.8 43.2],0
a4,1,0.028367,4.805649,[6 1] ; [27 37],[3.25352113 3.74647887] ; [29.74647887 34.25352113],0
v3,1,0.041854,4.141114,[3 1] ; [17 46],[1.19402985 2.80597015] ; [18.80597015 44.19402985],0
p6,1,0.044915,4.021842,[4 3] ; [14 49],[1.8 5.2] ; [16.2 46.8],0
v1,1,0.049417,3.861127,[4 1] ; [22 40],[1.94029851 3.05970149] ; [24.05970149 37.94029851],0
s6,1,0.051005,3.808099,[6 1] ; [30 34],[3.54929577 3.45070423] ; [32.45070423 31.54929577],0
u1,1,0.105095,2.626474,[3 4] ; [11 53],[1.38028169 5.61971831] ; [12.61971831 51.38028169],0
a5,1,0.114611,2.489458,[6 1] ; [35 29],[4.04225352 2.95774648] ; [36.95774648 27.04225352],0
d2,1,0.124366,2.361462,[6 1] ; [35 28],[4.1 2.9] ; [36.9 26.1],0
a1,1,0.163432,1.942183,[1 6] ; [ 2 62],[0.29577465 6.70422535] ; [ 2.70422535 61.29577465],0
s1,1,0.173781,1.850021,[1 6] ; [ 2 60],[0.30434783 6.69565217] ; [ 2.69565217 59.30434783],0
b4,1,0.200693,1.637327,[3 4] ; [43 21],[4.53521127 2.46478873] ; [41.46478873 22.53521127],0
a6,1,0.250243,1.321949,[6 1] ; [41 23],[4.63380282 2.36619718] ; [42.36619718 21.63380282],0
p1,1,0.303077,1.060606,[1 6] ; [ 3 60],[0.4 6.6] ; [ 3.6 59.4],0
n4,1,0.314236,1.012786,[6 1] ; [43 21],[4.83098592 2.16901408] ; [44.16901408 19.83098592],0
s5,1,0.367036,0.813675,[2 3] ; [14 49],[1.17647059 3.82352941] ; [14.82352941 48.17647059],0
d5,1,0.432312,0.616605,[6 1] ; [46 18],[5.12676056 1.87323944] ; [46.87323944 17.12676056],0
p7,1,0.470376,0.521092,[4 3] ; [27 36],[3.1 3.9] ; [27.9 35.1],0
v2,1,0.501442,0.451884,[3 2] ; [28 35],[2.27941176 2.72058824] ; [28.72058824 34.27941176],0
r1,1,0.528249,0.397759,[6 1] ; [48 16],[5.32394366 1.67605634] ; [48.67605634 15.32394366],0
d3,1,0.535559,0.383832,[5 2] ; [38 26],[4.23943662 2.76056338] ; [38.76056338 25.23943662],0
a7,1,0.799133,0.064755,[5 2] ; [42 21],[4.7 2.3] ; [42.3 20.7],0
p2,1,0.836617,0.042528,[5 2] ; [48 16],[5.22535211 1.77464789] ; [47.77464789 16.22535211],0
a8,1,0.970374,0.001379,[1 6] ; [ 8 46],[1.03278689 5.96721311] ; [ 7.96721311 46.03278689],0
b5,1,0.972835,0.00116,[4 3] ; [37 27],[4.04225352 2.95774648] ; [36.95774648 27.04225352],0
s4,1,1.0,0.0,[1 6] ; [ 9 54],[1. 6.] ; [ 9. 54.],0
