Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.001365,10.252112,[ 5 20] ; [14  7],[10.32608696 14.67391304] ; [ 8.67391304 12.32608696],0
r3,1,0.018881,5.5125,[10 15] ; [15  5],[13.88888889 11.11111111] ; [11.11111111  8.88888889],0
b4,1,0.027199,4.878144,[11 14] ; [16  5],[14.67391304 10.32608696] ; [12.32608696  8.67391304],0
r4,1,0.038757,4.271485,[ 3 22] ; [ 8 13],[ 5.97826087 19.02173913] ; [ 5.02173913 15.97826087],0
a8,1,0.060253,3.53042,[ 1 22] ; [ 5 16],[ 3.13636364 19.86363636] ; [ 2.86363636 18.13636364],0
p3,1,0.0948,2.790924,[ 9 16] ; [ 3 18],[ 6.52173913 18.47826087] ; [ 5.47826087 15.52173913],0
s4,1,0.126373,2.336508,[ 5 20] ; [ 1 20],[ 3.26086957 21.73913043] ; [ 2.73913043 18.26086957],0
s7,1,0.135662,2.226486,[ 7 17] ; [ 2 17],[ 5.02325581 18.97674419] ; [ 3.97674419 15.02325581],0
a5,1,0.138866,2.190476,[10 15] ; [13  8],[12.5 12.5] ; [10.5 10.5],0
n5,1,0.174158,1.846783,[19  6] ; [12  9],[16.84782609  8.15217391] ; [14.15217391  6.84782609],0
p4,1,0.243296,1.361393,[10 15] ; [ 5 16],[ 8.15217391 16.84782609] ; [ 6.84782609 14.15217391],0
r1,1,0.264277,1.246212,[ 9 16] ; [11 10],[10.86956522 14.13043478] ; [ 9.13043478 11.86956522],0
p9,1,0.280987,1.162309,[11 13] ; [13  8],[12.8 11.2] ; [11.2  9.8],0
a3,1,0.316233,1.004464,[10 15] ; [11  9],[11.66666667 13.33333333] ; [ 9.33333333 10.66666667],0
s2,1,0.319006,0.993016,[ 8 17] ; [ 4 17],[ 6.52173913 18.47826087] ; [ 5.47826087 15.52173913],0
r2,1,0.401067,0.705125,[10 15] ; [11 10],[11.41304348 13.58695652] ; [ 9.58695652 11.41304348],0
