Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,39.269444,[31  2] ; [21 53],[16.03738318 16.96261682] ; [35.96261682 38.03738318],1
s6,1,4e-06,21.481409,[24  9] ; [19 56],[13.13888889 19.86111111] ; [29.86111111 45.13888889],1
s8,1,0.000511,12.073945,[13 20] ; [ 8 67],[ 6.41666667 26.58333333] ; [14.58333333 60.41666667],1
s7,1,0.000568,11.878765,[14 17] ; [ 9 58],[ 7.2755102 23.7244898] ; [15.7244898 51.2755102],1
s4,1,0.001541,10.028826,[12 21] ; [ 8 67],[ 6.11111111 26.88888889] ; [13.88888889 61.11111111],0
r3,1,0.002101,9.459404,[32  1] ; [53 22],[25.97222222  7.02777778] ; [59.02777778 15.97222222],0
d3,1,0.003862,8.347596,[26  6] ; [38 36],[19.32075472 12.67924528] ; [44.67924528 29.32075472],0
p10,1,0.006392,7.436281,[23 10] ; [30 43],[16.5 16.5] ; [36.5 36.5],0
n2,1,0.036085,4.393089,[9 1] ; [17 15],[6.19047619 3.80952381] ; [19.80952381 12.19047619],0
p3,1,0.036548,4.371333,[14 19] ; [17 58],[ 9.47222222 23.52777778] ; [21.52777778 53.47222222],0
p6,1,0.043057,4.093178,[10 23] ; [10 63],[ 6.22641509 26.77358491] ; [13.77358491 59.22641509],0
b5,1,0.049784,3.848727,[23 10] ; [37 38],[18.33333333 14.66666667] ; [41.66666667 33.33333333],0
v4,1,0.049837,3.846951,[29  4] ; [52 22],[24.98130841  8.01869159] ; [56.01869159 17.98130841],0
a7,1,0.05807,3.591653,[26  7] ; [45 30],[21.69444444 11.30555556] ; [49.30555556 25.69444444],0
a6,1,0.058724,3.573061,[26  6] ; [47 28],[21.8317757 10.1682243] ; [51.1682243 23.8317757],0
p7,1,0.067137,3.351667,[20 12] ; [31 41],[15.69230769 16.30769231] ; [35.30769231 36.69230769],0
p4,1,0.082793,3.009201,[17 16] ; [25 49],[12.95327103 20.04672897] ; [29.04672897 44.95327103],0
u3,1,0.083774,2.990124,[10  4] ; [14 18],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
a4,1,0.0885,2.901453,[ 8 25] ; [31 44],[11.91666667 21.08333333] ; [27.08333333 47.91666667],0
r2,1,0.088914,2.893932,[30  3] ; [57 17],[26.8317757  6.1682243] ; [60.1682243 13.8317757],0
p9,1,0.096555,2.761547,[22 11] ; [36 37],[18.05660377 14.94339623] ; [39.94339623 33.05660377],0
p2,1,0.100049,2.704769,[23 10] ; [39 35],[19.12149533 13.87850467] ; [42.87850467 31.12149533],0
p11,1,0.111794,2.528679,[20 13] ; [33 42],[16.19444444 16.80555556] ; [36.80555556 38.19444444],0
v2,1,0.114272,2.494127,[14 17] ; [20 49],[10.54 20.46] ; [23.46 45.54],0
d4,1,0.118271,2.440064,[26  6] ; [49 25],[22.64150943  9.35849057] ; [52.35849057 21.64150943],0
p8,1,0.133836,2.247432,[14 18] ; [21 52],[10.66666667 21.33333333] ; [24.33333333 48.66666667],0
b2,1,0.204797,1.607832,[ 2 14] ; [13 33],[ 3.87096774 12.12903226] ; [11.12903226 34.87096774],0
b3,1,0.204797,1.607832,[ 2 14] ; [13 33],[ 3.87096774 12.12903226] ; [11.12903226 34.87096774],0
d1,1,0.213546,1.547224,[17 16] ; [29 46],[14.05555556 18.94444444] ; [31.94444444 43.05555556],0
u1,1,0.214694,1.539491,[ 4 29] ; [ 4 71],[ 2.44444444 30.55555556] ; [ 5.55555556 69.44444444],0
r4,1,0.253381,1.304563,[24  9] ; [46 29],[21.38888889 11.61111111] ; [48.61111111 26.38888889],0
u2,1,0.261408,1.261287,[11  4] ; [18 14],[9.25531915 5.74468085] ; [19.74468085 12.25531915],0
a8,1,0.289707,1.120984,[ 4 26] ; [ 5 68],[ 2.62135922 27.37864078] ; [ 6.37864078 66.62135922],0
r1,1,0.29683,1.088381,[23  9] ; [46 29],[20.63551402 11.36448598] ; [48.36448598 26.63551402],0
s5,1,0.321263,0.983796,[ 5 25] ; [ 7 65],[ 3.52941176 26.47058824] ; [ 8.47058824 63.52941176],0
v3,1,0.33056,0.946704,[ 8 23] ; [12 57],[ 6.2 24.8] ; [13.8 55.2],0
a1,1,0.333886,0.933769,[ 1 32] ; [ 6 69],[ 2.13888889 30.86111111] ; [ 4.86111111 70.13888889],0
n4,1,0.35916,0.840827,[14 19] ; [39 36],[16.19444444 16.80555556] ; [36.80555556 38.19444444],0
n1,1,0.361282,0.833432,[2 7] ; [12 19],[3.15 5.85] ; [10.85 20.15],0
a5,1,0.385194,0.754058,[21 12] ; [41 34],[18.94444444 14.05555556] ; [43.05555556 31.94444444],0
n5,1,0.425712,0.634492,[12 21] ; [33 41],[13.87850467 19.12149533] ; [31.12149533 42.87850467],0
p1,1,0.439054,0.598754,[ 1 32] ; [ 5 69],[ 1.85046729 31.14953271] ; [ 4.14953271 69.85046729],0
n3,1,0.456057,0.555556,[7 3] ; [17 13],[6. 4.] ; [18. 12.],0
s1,1,0.476432,0.50702,[ 3 30] ; [ 4 70],[ 2.1588785 30.8411215] ; [ 4.8411215 69.1588785],0
a2,1,0.513525,0.426877,[ 6 27] ; [10 65],[ 4.88888889 28.11111111] ; [11.11111111 63.88888889],0
b1,1,0.530869,0.392727,[15 18] ; [39 36],[16.5 16.5] ; [37.5 37.5],0
a3,1,0.731003,0.118192,[18 15] ; [43 31],[18.81308411 14.18691589] ; [42.18691589 31.81308411],0
b4,1,0.779278,0.078545,[19 14] ; [41 34],[18.33333333 14.66666667] ; [41.66666667 33.33333333],0
d5,1,0.833427,0.044229,[22 10] ; [50 25],[21.53271028 10.46728972] ; [50.46728972 24.53271028],0
d2,1,0.945645,0.004648,[13 19] ; [31 44],[13.1588785 18.8411215] ; [30.8411215 44.1588785],0
