Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.2e-05,17.984706,[313  56] ; [28 19],[302.47355769  66.52644231] ; [38.52644231  8.47355769],1
p10,1,9.2e-05,15.302913,[356  17] ; [38  9],[349.90952381  23.09047619] ; [44.09047619  2.90952381],1
r3,1,0.003215,8.681236,[361  13] ; [40  6],[357.08095238  16.91904762] ; [43.91904762  2.08095238],0
a6,1,0.009738,6.682246,[254 120] ; [23 24],[246.0760095 127.9239905] ; [30.9239905 16.0760095],0
p2,1,0.056226,3.645338,[348  26] ; [40  7],[344.68408551  29.31591449] ; [43.31591449  3.68408551],0
n6,1,0.057229,3.615919,[335  38] ; [37  9],[331.15990453  41.84009547] ; [40.84009547  5.15990453],0
a5,1,0.060896,3.512826,[294  82] ; [31 16],[288.88888889  87.11111111] ; [36.11111111 10.88888889],0
v2,1,0.07285,3.217611,[220 143] ; [21 24],[214.41911765 148.58088235] ; [26.58088235 18.41911765],0
p4,1,0.094161,2.801764,[282  93] ; [30 17],[277.25118483  97.74881517] ; [34.74881517 12.25118483],0
n5,1,0.10848,2.57622,[307  67] ; [34 13],[302.93111639  71.06888361] ; [38.06888361  8.93111639],0
b5,1,0.136648,2.215306,[205 171] ; [31 16],[209.77777778 166.22222222] ; [26.22222222 20.77777778],0
n4,1,0.141096,2.165964,[306  70] ; [34 13],[302.22222222  73.77777778] ; [37.77777778  9.22222222],0
p3,1,0.153795,2.034198,[247 128] ; [26 21],[242.59478673 132.40521327] ; [30.40521327 16.59478673],0
n1,1,0.221771,1.492876,[19 34] ; [8 7],[21.04411765 31.95588235] ; [5.95588235 9.04411765],0
b3,1,0.227111,1.458863,[ 95 140] ; [ 6 16],[ 92.3540856 142.6459144] ; [ 8.6459144 13.3540856],0
b2,1,0.227111,1.458863,[ 95 140] ; [ 6 16],[ 92.3540856 142.6459144] ; [ 8.6459144 13.3540856],0
v1,1,0.227807,1.454501,[228 138] ; [25 22],[224.20823245 141.79176755] ; [28.79176755 18.20823245],0
a1,1,0.28853,1.126467,[ 22 354] ; [ 1 46],[ 20.44444444 355.55555556] ; [ 2.55555556 44.44444444],0
s7,1,0.314115,1.013292,[191 167] ; [27 17],[194.13930348 163.86069652] ; [23.86069652 20.13930348],0
