Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.224871,[ 8 49] ; [21 14],[17.9673913 39.0326087] ; [11.0326087 23.9673913],1
p10,1,5.2e-05,16.363636,[20 35] ; [28  7],[29.33333333 25.66666667] ; [18.66666667 16.33333333],1
s8,1,0.00011,14.95565,[ 8 49] ; [18 17],[16.10869565 40.89130435] ; [ 9.89130435 25.10869565],1
p9,1,0.000772,11.307938,[28 27] ; [30  5],[35.44444444 19.55555556] ; [22.55555556 12.44444444],1
s6,1,0.001143,10.580667,[17 40] ; [22 12],[24.42857143 32.57142857] ; [14.57142857 19.42857143],0
p2,1,0.003217,8.679922,[28 29] ; [28  7],[34.69565217 22.30434783] ; [21.30434783 13.69565217],0
n6,1,0.004421,8.102278,[30 26] ; [29  6],[36.30769231 19.69230769] ; [22.69230769 12.30769231],0
v2,1,0.018255,5.571537,[ 9 43] ; [13 19],[13.61904762 38.38095238] ; [ 8.38095238 23.61904762],0
r3,1,0.018489,5.549206,[38 19] ; [31  4],[42.75 14.25] ; [26.25  8.75],0
s7,1,0.026136,4.946995,[11 42] ; [15 20],[15.65909091 37.34090909] ; [10.34090909 24.65909091],0
p11,1,0.028131,4.82003,[31 26] ; [27  8],[35.93478261 21.06521739] ; [22.06521739 12.93478261],0
p4,1,0.034219,4.483726,[15 41] ; [17 18],[19.69230769 36.30769231] ; [12.30769231 22.69230769],0
s3,1,0.038462,4.284467,[22 34] ; [21 13],[26.75555556 29.24444444] ; [16.24444444 17.75555556],0
r4,1,0.038815,4.268958,[30 27] ; [26  9],[34.69565217 22.30434783] ; [21.30434783 13.69565217],0
v4,1,0.043188,4.088027,[39 17] ; [30  4],[42.93333333 13.06666667] ; [26.06666667  7.93333333],0
n4,1,0.080021,3.064468,[32 25] ; [26  9],[35.93478261 21.06521739] ; [22.06521739 12.93478261],0
p6,1,0.092819,2.824796,[ 7 49] ; [ 9 25],[ 9.95555556 46.04444444] ; [ 6.04444444 27.95555556],0
p7,1,0.096431,2.763605,[22 34] ; [20 15],[25.84615385 30.15384615] ; [16.15384615 18.84615385],0
p1,1,0.12054,2.410292,[ 5 52] ; [ 7 28],[ 7.43478261 49.56521739] ; [ 4.56521739 30.43478261],0
s2,1,0.131475,2.275,[14 42] ; [14 21],[17.23076923 38.76923077] ; [10.76923077 24.23076923],0
u3,1,0.138709,2.192218,[14 18] ; [ 5 16],[11.47169811 20.52830189] ; [ 7.52830189 13.47169811],0
n5,1,0.144727,2.126961,[35 21] ; [27  8],[38.15384615 17.84615385] ; [23.84615385 11.15384615],0
a6,1,0.169286,1.889254,[21 36] ; [18 17],[24.16304348 32.83695652] ; [14.83695652 20.16304348],0
d2,1,0.172627,1.859983,[17 40] ; [ 6 29],[14.25 42.75] ; [ 8.75 26.25],0
a5,1,0.202585,1.623642,[17 40] ; [15 20],[19.82608696 37.17391304] ; [12.17391304 22.82608696],0
v3,1,0.248756,1.330274,[ 9 46] ; [ 9 25],[11.12359551 43.87640449] ; [ 6.87640449 27.12359551],0
a1,1,0.264625,1.244398,[ 5 52] ; [ 1 34],[ 3.7173913 53.2826087] ; [ 2.2826087 32.7173913],0
p5,1,0.290316,1.118155,[ 3 53] ; [ 4 31],[ 4.30769231 51.69230769] ; [ 2.69230769 32.30769231],0
a4,1,0.304203,1.05568,[11 45] ; [ 4 31],[ 9.23076923 46.76923077] ; [ 5.76923077 29.23076923],0
b1,1,0.362535,0.829094,[30 27] ; [15 20],[27.88043478 29.11956522] ; [17.11956522 17.88043478],0
u2,1,0.40037,0.707215,[13 19] ; [11 10],[14.49056604 17.50943396] ; [ 9.50943396 11.49056604],0
s5,1,0.403391,0.698195,[ 9 46] ; [ 8 26],[10.50561798 44.49438202] ; [ 6.49438202 27.50561798],0
d3,1,0.514677,0.424547,[13 44] ; [ 6 29],[11.77173913 45.22826087] ; [ 7.22826087 27.77173913],0
p12,1,0.532668,0.389299,[ 3 54] ; [ 3 32],[ 3.7173913 53.2826087] ; [ 2.2826087 32.7173913],0
b2,1,0.625892,0.237673,[15 23] ; [ 8 16],[14.09677419 23.90322581] ; [ 8.90322581 15.09677419],0
b3,1,0.625892,0.237673,[15 23] ; [ 8 16],[14.09677419 23.90322581] ; [ 8.90322581 15.09677419],0
a3,1,0.663264,0.189583,[25 31] ; [14 21],[24. 32.] ; [15. 20.],0
v1,1,0.680966,0.16904,[20 36] ; [14 21],[20.92307692 35.07692308] ; [13.07692308 21.92307692],0
n2,1,0.687421,0.161892,[17  9] ; [4 3],[16.54545455  9.45454545] ; [4.45454545 2.54545455],0
a8,1,0.714422,0.133901,[ 5 47] ; [ 4 29],[ 5.50588235 46.49411765] ; [ 3.49411765 29.50588235],0
u1,1,0.724737,0.123999,[ 1 56] ; [ 1 34],[ 1.23913043 55.76086957] ; [ 0.76086957 34.23913043],0
r1,1,0.750675,0.100965,[29 28] ; [19 16],[29.73913043 27.26086957] ; [18.26086957 16.73913043],0
r2,1,0.76732,0.087546,[42 15] ; [26  8],[42.59340659 14.40659341] ; [25.40659341  8.59340659],0
s1,1,0.772625,0.083488,[ 4 51] ; [ 2 33],[ 3.66666667 51.33333333] ; [ 2.33333333 32.66666667],0
d4,1,0.838029,0.041786,[22 34] ; [13 22],[21.53846154 34.46153846] ; [13.46153846 21.53846154],0
s4,1,0.845429,0.038007,[ 9 48] ; [ 5 30],[ 8.67391304 48.32608696] ; [ 5.32608696 29.67391304],0
n1,1,0.910578,0.012613,[ 8 18] ; [2 5],[ 7.87878788 18.12121212] ; [2.12121212 4.87878788],0
b5,1,0.910707,0.012577,[27 30] ; [17 18],[27.26086957 29.73913043] ; [16.73913043 18.26086957],0
n3,1,0.955212,0.003154,[14 10] ; [4 3],[13.93548387 10.06451613] ; [4.06451613 2.93548387],0
b4,1,0.992522,8.8e-05,[31 26] ; [19 16],[30.97826087 26.02173913] ; [19.02173913 15.97826087],0
