Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,69.376086,[21 47] ; [103  11],[46.32967033 21.67032967] ; [77.67032967 36.32967033],1
s6,1,7.1e-05,15.786992,[22 46] ; [71 42],[34.93922652 33.06077348] ; [58.06077348 54.93922652],1
s7,1,0.000302,13.06089,[ 9 55] ; [45 67],[19.63636364 44.36363636] ; [34.36363636 77.63636364],1
s2,1,0.001294,10.350417,[17 52] ; [55 58],[27.2967033 41.7032967] ; [44.7032967 68.2967033],0
s8,1,0.001303,10.338004,[ 9 59] ; [40 74],[18.30769231 49.69230769] ; [30.69230769 83.30769231],0
s3,1,0.001405,10.199704,[21 47] ; [62 50],[31.35555556 36.64444444] ; [51.64444444 60.35555556],0
v4,1,0.001953,9.593564,[54 15] ; [105   7],[60.61325967  8.38674033] ; [98.38674033 13.61325967],0
p11,1,0.003591,8.479977,[37 32] ; [85 29],[46. 23.] ; [76. 38.],0
p2,1,0.003849,8.35383,[43 26] ; [93 21],[51.27868852 17.72131148] ; [84.72131148 29.27868852],0
r4,1,0.005089,7.847483,[45 24] ; [95 19],[52.78688525 16.21311475] ; [87.21311475 26.78688525],0
s5,1,0.005881,7.586373,[10 56] ; [37 71],[17.82758621 48.17241379] ; [29.17241379 78.82758621],0
r2,1,0.006387,7.437872,[52 15] ; [103   9],[58.01675978  8.98324022] ; [96.98324022 15.01675978],0
a7,1,0.00784,7.069682,[41 28] ; [88 25],[48.90659341 20.09340659] ; [80.09340659 32.90659341],0
d5,1,0.010563,6.537427,[43 26] ; [90 23],[50.42307692 18.57692308] ; [82.57692308 30.42307692],0
d3,1,0.010823,6.494131,[38 31] ; [83 30],[45.87362637 23.12637363] ; [75.12637363 37.87362637],0
p8,1,0.019052,5.496755,[18 51] ; [49 64],[25.4010989 43.5989011] ; [41.5989011 71.4010989],0
n6,1,0.02364,5.120831,[35 34] ; [77 37],[42.2295082 26.7704918] ; [69.7704918 44.2295082],0
p7,1,0.032247,4.585294,[30 39] ; [67 45],[36.97790055 32.02209945] ; [60.02209945 51.97790055],0
u2,1,0.039664,4.232218,[13 20] ; [26 15],[17.39189189 15.60810811] ; [21.60810811 19.39189189],0
s4,1,0.043861,4.061892,[ 8 61] ; [27 87],[13.19672131 55.80327869] ; [21.80327869 92.19672131],0
u3,1,0.047783,3.917606,[15 18] ; [28 13],[19.17567568 13.82432432] ; [23.82432432 17.17567568],0
b1,1,0.049561,3.856241,[35 34] ; [41 73],[28.6557377 40.3442623] ; [47.3442623 66.6557377],0
a5,1,0.058049,3.592256,[35 34] ; [74 40],[41.09836066 27.90163934] ; [67.90163934 46.09836066],0
p4,1,0.074745,3.175621,[24 45] ; [55 59],[29.78688525 39.21311475] ; [49.21311475 64.78688525],0
d1,1,0.113777,2.500965,[28 41] ; [60 54],[33.18032787 35.81967213] ; [54.81967213 59.18032787],0
r1,1,0.114394,2.49244,[43 26] ; [83 30],[47.76923077 21.23076923] ; [78.23076923 34.76923077],0
d4,1,0.124107,2.364716,[51 18] ; [95 19],[55.04918033 13.95081967] ; [90.95081967 23.04918033],0
a2,1,0.131747,2.271796,[ 7 62] ; [21 93],[10.55737705 58.44262295] ; [17.44262295 96.55737705],0
s1,1,0.138937,2.189689,[ 5 64] ; [  3 111],[ 3.01639344 65.98360656] ; [  4.98360656 109.01639344],0
p6,1,0.14199,2.156259,[14 53] ; [35 78],[18.23888889 48.76111111] ; [30.76111111 82.23888889],0
p3,1,0.170536,1.878225,[20 48] ; [45 69],[24.28571429 43.71428571] ; [40.71428571 73.28571429],0
a3,1,0.174636,1.842691,[36 32] ; [72 42],[40.35164835 27.64835165] ; [67.64835165 46.35164835],0
a4,1,0.177173,1.821183,[21 48] ; [46 68],[25.26229508 43.73770492] ; [41.73770492 72.26229508],0
a6,1,0.220309,1.502359,[36 33] ; [70 44],[39.96721311 29.03278689] ; [66.03278689 47.96721311],0
n4,1,0.237916,1.392897,[23 46] ; [48 66],[26.7704918 42.2295082] ; [44.2295082 69.7704918],0
r3,1,0.288115,1.128407,[61  8] ; [106   8],[62.96721311  6.03278689] ; [104.03278689   9.96721311],0
b4,1,0.300601,1.071526,[37 32] ; [70 44],[40.3442623 28.6557377] ; [66.6557377 47.3442623],0
p1,1,0.359687,0.838987,[ 3 65] ; [  9 105],[ 4.48351648 63.51648352] ; [  7.51648352 106.48351648],0
n3,1,0.390073,0.738714,[20 10] ; [23  7],[21.5  8.5] ; [21.5  8.5],0
n1,1,0.437022,0.60409,[ 7 23] ; [10 21],[ 8.36065574 21.63934426] ; [ 8.63934426 22.36065574],0
b5,1,0.452554,0.564247,[45 24] ; [68 46],[42.60655738 26.39344262] ; [70.39344262 43.60655738],0
b3,1,0.504217,0.44605,[10 30] ; [19 42],[11.48514851 28.51485149] ; [17.51485149 43.48514851],0
b2,1,0.504217,0.44605,[10 30] ; [19 42],[11.48514851 28.51485149] ; [17.51485149 43.48514851],0
v1,1,0.568727,0.324818,[19 48] ; [36 75],[20.70224719 46.29775281] ; [34.29775281 76.70224719],0
a8,1,0.569512,0.323499,[ 5 59] ; [  6 101],[ 4.11695906 59.88304094] ; [  6.88304094 100.11695906],0
p12,1,0.605288,0.267093,[ 1 67] ; [  3 111],[ 1.49450549 66.50549451] ; [  2.50549451 111.49450549],0
v2,1,0.726359,0.122481,[28 40] ; [42 67],[26.89265537 41.10734463] ; [43.10734463 65.89265537],0
u1,1,0.791418,0.069944,[ 7 62] ; [ 13 101],[ 7.54098361 61.45901639] ; [ 12.45901639 101.54098361],0
d2,1,0.809421,0.058165,[26 43] ; [45 69],[26.7704918 42.2295082] ; [44.2295082 69.7704918],0
n2,1,0.935247,0.006601,[19 10] ; [20 11],[18.85 10.15] ; [20.15 10.85],0
a1,1,0.990243,0.00015,[ 3 66] ; [  5 109],[ 3.01639344 65.98360656] ; [  4.98360656 109.01639344],0
