Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.029345,4.747253,[ 2 12] ; [7 6],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
b2,1,0.029345,4.747253,[ 2 12] ; [7 6],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
d5,1,0.040581,4.193415,[ 8 13] ; [14  6],[11.26829268  9.73170732] ; [10.73170732  9.26829268],0
d1,1,0.081804,3.028694,[ 5 16] ; [10 10],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
d3,1,0.086974,2.929506,[ 7 14] ; [12  8],[ 9.73170732 11.26829268] ; [ 9.26829268 10.73170732],0
s7,1,0.095291,2.78264,[ 2 18] ; [ 6 13],[ 4.1025641 15.8974359] ; [ 3.8974359 15.1025641],0
r4,1,0.136112,2.221376,[ 1 20] ; [ 4 16],[ 2.56097561 18.43902439] ; [ 2.43902439 17.56097561],0
a6,1,0.155252,2.019874,[ 9 12] ; [13  7],[11.26829268  9.73170732] ; [10.73170732  9.26829268],0
a3,1,0.155252,2.019874,[ 9 12] ; [13  7],[11.26829268  9.73170732] ; [10.73170732  9.26829268],0
b5,1,0.162305,1.952617,[14  7] ; [ 9 11],[11.7804878  9.2195122] ; [11.2195122  8.7804878],0
a8,1,0.169445,1.887844,[ 4 17] ; [ 1 19],[ 2.56097561 18.43902439] ; [ 2.43902439 17.56097561],0
p1,1,0.188035,1.732943,[ 2 19] ; [ 5 15],[ 3.58536585 17.41463415] ; [ 3.41463415 16.58536585],0
s5,1,0.221853,1.492347,[ 1 20] ; [ 3 15],[ 2.15384615 18.84615385] ; [ 1.84615385 16.15384615],0
p8,1,0.239084,1.385984,[ 5 15] ; [ 2 17],[ 3.58974359 16.41025641] ; [ 3.41025641 15.58974359],0
p3,1,0.265455,1.240084,[ 5 16] ; [ 8 12],[ 6.65853659 14.34146341] ; [ 6.34146341 13.65853659],0
n5,1,0.335467,0.927677,[14  7] ; [16  4],[15.36585366  5.63414634] ; [14.63414634  5.36585366],0
p9,1,0.342178,0.902256,[ 9 11] ; [12  8],[10.5  9.5] ; [10.5  9.5],0
s4,1,0.342794,0.899955,[ 2 19] ; [ 4 16],[ 3.07317073 17.92682927] ; [ 2.92682927 17.07317073],0
a2,1,0.342794,0.899955,[ 2 19] ; [ 4 16],[ 3.07317073 17.92682927] ; [ 2.92682927 17.07317073],0
d2,1,0.356093,0.851624,[ 8 13] ; [10  9],[ 9.45 11.55] ; [ 8.55 10.45],0
v3,1,0.360709,0.835422,[ 4 17] ; [ 6 13],[ 5.25 15.75] ; [ 4.75 14.25],0
a4,1,0.369074,0.806779,[ 5 16] ; [ 7 12],[ 6.3 14.7] ; [ 5.7 13.3],0
n1,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
n3,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
n4,1,0.392919,0.72989,[12  9] ; [14  6],[13.31707317  7.68292683] ; [12.68292683  7.31707317],0
s8,1,0.412617,0.671247,[ 4 17] ; [ 2 18],[ 3.07317073 17.92682927] ; [ 2.92682927 17.07317073],0
p11,1,0.42681,0.631488,[11 10] ; [ 8 12],[ 9.73170732 11.26829268] ; [ 9.26829268 10.73170732],0
n2,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
v2,1,0.490153,0.47619,[ 5 15] ; [ 7 13],[ 6. 14.] ; [ 6. 14.],0
s3,1,0.507335,0.43956,[ 6 14] ; [ 8 12],[ 7. 13.] ; [ 7. 13.],0
p10,1,0.52501,0.40404,[ 8 12] ; [10 10],[ 9. 11.] ; [ 9. 11.],0
p2,1,0.567144,0.327485,[ 7 14] ; [ 8 11],[ 7.875 13.125] ; [ 7.125 11.875],0
b4,1,0.5848,0.298539,[13  8] ; [14  6],[13.82926829  7.17073171] ; [13.17073171  6.82926829],0
p6,1,0.622496,0.242375,[ 3 17] ; [ 4 15],[ 3.58974359 16.41025641] ; [ 3.41025641 15.58974359],0
v1,1,0.654744,0.199971,[ 5 16] ; [ 6 14],[ 5.63414634 15.36585366] ; [ 5.36585366 14.63414634],0
u3,1,0.683406,0.166317,[ 1 11] ; [1 6],[ 1.26315789 10.73684211] ; [0.73684211 6.26315789],0
n6,1,0.751529,0.100251,[11 10] ; [ 9 10],[10.5 10.5] ; [9.5 9.5],0
p7,1,0.81866,0.052564,[ 7 14] ; [ 6 14],[ 6.65853659 14.34146341] ; [ 6.34146341 13.65853659],0
b1,1,0.866503,0.028258,[11 10] ; [11  9],[11.26829268  9.73170732] ; [10.73170732  9.26829268],0
s6,1,0.873237,0.025455,[ 6 15] ; [ 5 14],[ 5.775 15.225] ; [ 5.225 13.775],0
a5,1,0.878828,0.023243,[10 11] ; [10 10],[10.24390244 10.75609756] ; [ 9.75609756 10.24390244],0
