Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000523,12.030999,[ 9 13] ; [86 25],[15.71428571  6.28571429] ; [79.28571429 31.71428571],1
s1,1,0.000821,11.192652,[ 4 18] ; [  2 107],[ 1.00763359 20.99236641] ; [  4.99236641 104.00763359],1
p10,1,0.006136,7.510015,[13  9] ; [93 17],[17.66666667  4.33333333] ; [88.33333333 21.66666667],0
r3,1,0.008033,7.026142,[19  3] ; [108   2],[21.16666667  0.83333333] ; [105.83333333   4.16666667],0
r1,1,0.008526,6.91944,[13  9] ; [93 18],[17.53383459  4.46616541] ; [88.46616541 22.53383459],0
b1,1,0.013944,6.045195,[ 5 17] ; [57 54],[10.2556391 11.7443609] ; [51.7443609 59.2556391],0
p4,1,0.053827,3.718045,[14  8] ; [91 20],[17.36842105  4.63157895] ; [87.63157895 23.36842105],0
p1,1,0.078842,3.088614,[ 6 16] ; [14 97],[ 3.30827068 18.69172932] ; [16.69172932 94.30827068],0
p2,1,0.100722,2.69407,[18  4] ; [103   8],[20.01503759  1.98496241] ; [100.98496241  10.01503759],0
u1,1,0.105908,2.614251,[ 6 16] ; [15 96],[ 3.47368421 18.52631579] ; [17.52631579 93.47368421],0
p11,1,0.141534,2.161206,[15  7] ; [91 20],[17.53383459  4.46616541] ; [88.46616541 22.53383459],0
v1,1,0.154143,2.030769,[ 6 16] ; [48 62],[ 9. 13.] ; [45. 65.],0
n6,1,0.167644,1.903883,[17  5] ; [98 13],[19.02255639  2.97744361] ; [95.97744361 15.02255639],0
u4,1,0.199424,1.646587,[ 1 21] ; [  1 110],[ 0.33082707 21.66917293] ; [  1.66917293 109.33082707],0
n1,1,0.231133,1.433873,[5 3] ; [10 16],[3.52941176 4.47058824] ; [11.47058824 14.52941176],0
s6,1,0.263778,1.248819,[14  8] ; [79 26],[16.11023622  5.88976378] ; [76.88976378 28.11023622],0
p3,1,0.287124,1.13306,[11 11] ; [69 42],[13.23308271  8.76691729] ; [66.76691729 44.23308271],0
n5,1,0.301413,1.06793,[15  7] ; [87 24],[16.87218045  5.12781955] ; [85.12781955 25.87218045],0
v3,1,0.394962,0.723612,[ 3 19] ; [24 87],[ 4.46616541 17.53383459] ; [22.53383459 88.46616541],0
d5,1,0.397071,0.717179,[16  6] ; [88 21],[17.46564885  4.53435115] ; [86.53435115 22.46564885],0
a7,1,0.41398,0.667341,[16  6] ; [70 40],[14.33333333  7.66666667] ; [71.66666667 38.33333333],0
b4,1,0.509105,0.435906,[12 10] ; [52 59],[10.58646617 11.41353383] ; [53.41353383 57.58646617],0
s7,1,0.513658,0.426608,[14  8] ; [60 47],[12.62015504  9.37984496] ; [61.37984496 45.62015504],0
p5,1,0.556126,0.346456,[ 3 19] ; [21 90],[ 3.96992481 18.03007519] ; [20.03007519 90.96992481],0
a8,1,0.556456,0.345877,[ 2 20] ; [14 88],[ 2.83870968 19.16129032] ; [13.16129032 88.83870968],0
u2,1,0.563888,0.333017,[4 2] ; [20 17],[3.34883721 2.65116279] ; [20.65116279 16.34883721],0
s8,1,0.585745,0.297038,[10 12] ; [57 53],[11.16666667 10.83333333] ; [55.83333333 54.16666667],0
a6,1,0.602918,0.270617,[14  8] ; [64 47],[12.90225564  9.09774436] ; [65.09774436 45.90225564],0
a3,1,0.616071,0.251429,[16  6] ; [74 36],[15.  7.] ; [75. 35.],0
u3,1,0.648081,0.208328,[4 2] ; [21 16],[3.48837209 2.51162791] ; [21.51162791 15.48837209],0
b5,1,0.664483,0.188123,[13  9] ; [60 51],[12.07518797  9.92481203] ; [60.92481203 50.07518797],0
a4,1,0.697059,0.15155,[12 10] ; [55 55],[11.16666667 10.83333333] ; [55.83333333 54.16666667],0
a2,1,0.717694,0.130713,[ 4 18] ; [24 87],[ 4.63157895 17.36842105] ; [23.36842105 87.63157895],0
r4,1,0.759531,0.093695,[20  2] ; [103   8],[20.34586466  1.65413534] ; [102.65413534   8.34586466],0
s5,1,0.765913,0.08864,[ 8 11] ; [49 58],[ 8.5952381 10.4047619] ; [48.4047619 58.5952381],0
n4,1,0.786803,0.073151,[18  4] ; [88 23],[17.53383459  4.46616541] ; [88.46616541 22.53383459],0
r2,1,0.805156,0.060851,[20  1] ; [106   4],[20.19847328  0.80152672] ; [105.80152672   4.19847328],0
d3,1,0.817923,0.053,[15  7] ; [77 32],[15.45038168  6.54961832] ; [76.54961832 32.45038168],0
s4,1,0.819663,0.051974,[ 6 15] ; [28 79],[ 5.578125 15.421875] ; [28.421875 78.578125],0
s3,1,0.833962,0.043942,[13  8] ; [66 45],[12.56818182  8.43181818] ; [66.43181818 44.56818182],0
d1,1,0.834207,0.04381,[14  8] ; [68 43],[13.56390977  8.43609023] ; [68.43609023 42.56390977],0
p9,1,0.840486,0.04051,[19  3] ; [94 17],[18.69172932  3.30827068] ; [94.30827068 16.69172932],0
a5,1,0.845281,0.038081,[15  7] ; [78 33],[15.38345865  6.61654135] ; [77.61654135 33.38345865],0
d2,1,0.846839,0.037308,[11 11] ; [53 58],[10.58646617 11.41353383] ; [53.41353383 57.58646617],0
s2,1,0.848467,0.036509,[12 10] ; [63 48],[12.40601504  9.59398496] ; [62.59398496 48.40601504],0
n2,1,0.910717,0.012574,[6 2] ; [20  6],[6.11764706 1.88235294] ; [19.88235294  6.11764706],0
d4,1,0.920865,0.009869,[18  4] ; [89 21],[17.83333333  4.16666667] ; [89.16666667 20.83333333],0
b2,1,0.931463,0.007397,[7 8] ; [34 37],[7.15116279 7.84883721] ; [33.84883721 37.15116279],0
b3,1,0.931463,0.007397,[7 8] ; [34 37],[7.15116279 7.84883721] ; [33.84883721 37.15116279],0
n3,1,0.938811,0.005893,[5 3] ; [16  9],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
