Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.017706,5.625,[19 13] ; [1 7],[16. 16.] ; [4. 4.],0
p10,1,0.020344,5.382173,[31  3] ; [4 3],[29.02439024  4.97560976] ; [5.97560976 1.02439024],0
s1,1,0.029279,4.751131,[ 1 33] ; [2 6],[ 2.42857143 31.57142857] ; [0.57142857 7.42857143],0
d4,1,0.037025,4.349265,[31  3] ; [5 3],[29.14285714  4.85714286] ; [6.85714286 1.14285714],0
r4,1,0.037025,4.349265,[31  3] ; [5 3],[29.14285714  4.85714286] ; [6.85714286 1.14285714],0
r3,1,0.037025,4.349265,[31  3] ; [5 3],[29.14285714  4.85714286] ; [6.85714286 1.14285714],0
b5,1,0.038666,4.275474,[16 18] ; [7 1],[18.61904762 15.38095238] ; [4.38095238 3.61904762],0
p4,1,0.046837,3.951222,[27  7] ; [3 4],[24.87804878  9.12195122] ; [5.12195122 1.87804878],0
v1,1,0.068268,3.324176,[23  9] ; [3 5],[20.8 11.2] ; [5.2 2.8],0
a6,1,0.073176,3.210311,[18 16] ; [7 1],[20.23809524 13.76190476] ; [4.76190476 3.23809524],0
s2,1,0.097543,2.745263,[15 19] ; [1 7],[12.95238095 21.04761905] ; [3.04761905 4.95238095],0
p7,1,0.143833,2.136464,[20 14] ; [2 5],[18.24390244 15.75609756] ; [3.75609756 3.24390244],0
s5,1,0.146399,2.109375,[21 11] ; [3 5],[19.2 12.8] ; [4.8 3.2],0
a8,1,0.168788,1.893671,[ 3 29] ; [2 5],[ 4.1025641 27.8974359] ; [0.8974359 6.1025641],0
p11,1,0.218219,1.516043,[28  6] ; [5 3],[26.71428571  7.28571429] ; [6.28571429 1.71428571],0
p8,1,0.237419,1.395852,[20 13] ; [3 5],[18.51219512 14.48780488] ; [4.48780488 3.51219512],0
s7,1,0.265978,1.237374,[19 13] ; [3 5],[17.6 14.4] ; [4.4 3.6],0
d1,1,0.26638,1.235294,[24 10] ; [4 4],[22.66666667 11.33333333] ; [5.33333333 2.66666667],0
b3,1,0.273082,1.201198,[12 11] ; [2 5],[10.73333333 12.26666667] ; [3.26666667 3.73333333],0
b2,1,0.273082,1.201198,[12 11] ; [2 5],[10.73333333 12.26666667] ; [3.26666667 3.73333333],0
u2,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
u3,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
b4,1,0.321602,0.982422,[19 15] ; [6 2],[20.23809524 13.76190476] ; [4.76190476 3.23809524],0
d2,1,0.321602,0.982422,[19 15] ; [6 2],[20.23809524 13.76190476] ; [4.76190476 3.23809524],0
p3,1,0.348632,0.878431,[23 11] ; [4 4],[21.85714286 12.14285714] ; [5.14285714 2.85714286],0
a5,1,0.403867,0.696783,[25  9] ; [7 1],[25.9047619  8.0952381] ; [6.0952381 1.9047619],0
b1,1,0.431923,0.617647,[16 18] ; [5 3],[17. 17.] ; [4. 4.],0
s8,1,0.476782,0.506214,[17 16] ; [3 5],[16.09756098 16.90243902] ; [3.90243902 4.09756098],0
r2,1,0.482096,0.494118,[29  5] ; [6 2],[28.33333333  5.66666667] ; [6.66666667 1.33333333],0
n1,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
p1,1,0.493948,0.467914,[ 8 26] ; [1 7],[ 7.28571429 26.71428571] ; [1.71428571 6.28571429],0
v4,1,0.513168,0.427602,[32  2] ; [7 1],[31.57142857  2.42857143] ; [7.42857143 0.57142857],0
a3,1,0.534394,0.386029,[25  9] ; [5 3],[24.28571429  9.71428571] ; [5.71428571 2.28571429],0
n2,1,0.55368,0.350765,[4 3] ; [3 1],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
d5,1,0.6337,0.227076,[28  6] ; [6 2],[27.52380952  6.47619048] ; [6.47619048 1.52380952],0
d3,1,0.656148,0.198237,[24 10] ; [5 3],[23.47619048 10.52380952] ; [5.52380952 2.47619048],0
n4,1,0.725238,0.123529,[28  6] ; [7 1],[28.33333333  5.66666667] ; [6.66666667 1.33333333],0
s6,1,0.73007,0.119048,[22 10] ; [6 2],[22.4  9.6] ; [5.6 2.4],0
a2,1,0.749934,0.101587,[ 3 31] ; [1 7],[ 3.23809524 30.76190476] ; [0.76190476 7.23809524],0
s3,1,0.763598,0.090456,[15 19] ; [4 4],[15.38095238 18.61904762] ; [3.61904762 4.38095238],0
n3,1,0.818971,0.052381,[4 3] ; [2 2],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
n6,1,0.852745,0.034454,[30  4] ; [6 1],[29.85365854  4.14634146] ; [6.14634146 0.85365854],0
u1,1,0.872548,0.025735,[ 5 29] ; [1 7],[ 4.85714286 29.14285714] ; [1.14285714 6.85714286],0
a4,1,0.906737,0.013725,[12 22] ; [3 5],[12.14285714 21.85714286] ; [2.85714286 5.14285714],0
a7,1,0.906737,0.013725,[22 12] ; [5 3],[21.85714286 12.14285714] ; [5.14285714 2.85714286],0
r1,1,0.932167,0.007245,[25  9] ; [6 2],[25.0952381  8.9047619] ; [5.9047619 2.0952381],0
p12,1,0.976567,0.000863,[ 4 29] ; [1 7],[ 4.02439024 28.97560976] ; [0.97560976 7.02439024],0
v3,1,1.0,0.0,[16 16] ; [4 4],[16. 16.] ; [4. 4.],0
