Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.035015,4.444444,[ 4 11] ; [4 1],[6. 9.] ; [2. 3.],0
a2,1,0.036888,4.355556,[ 2 13] ; [3 2],[ 3.75 11.25] ; [1.25 3.75],0
d1,1,0.069294,3.299663,[ 5 10] ; [4 1],[6.75 8.25] ; [2.25 2.75],0
v1,1,0.069294,3.299663,[ 5 10] ; [4 1],[6.75 8.25] ; [2.25 2.75],0
u1,1,0.070645,3.267974,[ 1 14] ; [2 3],[ 2.25 12.75] ; [0.75 4.25],0
p2,1,0.090969,2.857143,[12  3] ; [2 3],[10.5  4.5] ; [3.5 1.5],0
p8,1,0.121335,2.4,[6 9] ; [4 1],[7.5 7.5] ; [2.5 2.5],0
v3,1,0.17595,1.831502,[ 4 11] ; [3 2],[5.25 9.75] ; [1.75 3.25],0
b4,1,0.19446,1.683502,[7 8] ; [4 1],[8.25 6.75] ; [2.75 2.25],0
d2,1,0.19446,1.683502,[7 8] ; [4 1],[8.25 6.75] ; [2.75 2.25],0
p1,1,0.196706,1.666667,[ 2 13] ; [2 3],[ 3. 12.] ; [1. 4.],0
n3,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
b1,1,0.291841,1.111111,[8 7] ; [4 1],[9. 6.] ; [3. 2.],0
d5,1,0.291841,1.111111,[8 7] ; [4 1],[9. 6.] ; [3. 2.],0
n1,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
d4,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
n4,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
p4,1,0.436275,0.606061,[9 6] ; [2 3],[8.25 6.75] ; [2.75 2.25],0
s2,1,0.436275,0.606061,[9 6] ; [2 3],[8.25 6.75] ; [2.75 2.25],0
p3,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
r4,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
v2,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
d3,1,0.573138,0.31746,[10  5] ; [4 1],[10.5  4.5] ; [3.5 1.5],0
b5,1,0.573138,0.31746,[11  4] ; [3 2],[10.5  4.5] ; [3.5 1.5],0
s3,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
s5,1,0.636982,0.222711,[ 4 10] ; [2 3],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
p7,1,0.6885,0.160714,[5 9] ; [1 3],[4.66666667 9.33333333] ; [1.33333333 2.66666667],0
r2,1,0.708687,0.139592,[10  4] ; [4 1],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
s1,1,0.717688,0.130719,[ 2 13] ; [1 4],[ 2.25 12.75] ; [0.75 4.25],0
n6,1,0.765594,0.088889,[11  4] ; [4 1],[11.25  3.75] ; [3.75 1.25],0
a3,1,0.765594,0.088889,[11  4] ; [4 1],[11.25  3.75] ; [3.75 1.25],0
s6,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
p6,1,0.79525,0.06734,[7 8] ; [2 3],[6.75 8.25] ; [2.25 2.75],0
p11,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
b2,1,0.824745,0.049038,[4 9] ; [1 3],[3.82352941 9.17647059] ; [1.17647059 2.82352941],0
b3,1,0.824745,0.049038,[4 9] ; [1 3],[3.82352941 9.17647059] ; [1.17647059 2.82352941],0
s8,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
