Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.2e-05,17.277043,[39 57] ; [105  51],[54.85714286 41.14285714] ; [89.14285714 66.85714286],1
d4,1,5.7e-05,16.197231,[74 22] ; [147   9],[84.19047619 11.80952381] ; [136.80952381  19.19047619],1
v2,1,0.00042,12.440594,[43 54] ; [103  51],[56.42231076 40.57768924] ; [89.57768924 64.42231076],1
v3,1,0.000737,11.39265,[29 67] ; [81 75],[41.9047619 54.0952381] ; [68.0952381 87.9047619],1
a3,1,0.001886,9.657203,[66 31] ; [132  24],[75.91304348 21.08695652] ; [122.08695652  33.91304348],0
d5,1,0.002412,9.20618,[75 22] ; [142  14],[83.19762846 13.80237154] ; [133.80237154  22.19762846],0
d1,1,0.007806,7.077503,[54 43] ; [113  44],[63.77559055 33.22440945] ; [103.22440945  53.77559055],0
s2,1,0.01989,5.421504,[62 35] ; [120  35],[70.05555556 26.94444444] ; [111.94444444  43.05555556],0
p8,1,0.025113,5.016086,[51 43] ; [106  49],[59.26907631 34.73092369] ; [97.73092369 57.26907631],0
n5,1,0.028284,4.810661,[71 25] ; [132  23],[77.64143426 18.35856574] ; [125.35856574  29.64143426],0
n4,1,0.031486,4.626252,[72 25] ; [132  23],[78.52380952 18.47619048] ; [125.47619048  29.52380952],0
p12,1,0.056158,3.647378,[ 6 90] ; [ 22 135],[10.62450593 85.37549407] ; [ 17.37549407 139.62450593],0
a2,1,0.078487,3.095963,[21 76] ; [ 50 107],[27.11417323 69.88582677] ; [ 43.88582677 113.11417323],0
p10,1,0.086021,2.947307,[83 14] ; [144  12],[87.03162055  9.96837945] ; [139.96837945  16.03162055],0
p4,1,0.086215,2.943657,[63 34] ; [117  39],[69.01185771 27.98814229] ; [110.98814229  45.01185771],0
p6,1,0.088344,2.90429,[40 57] ; [80 73],[46.56 50.44] ; [73.44 79.56],0
b5,1,0.110283,2.550166,[45 52] ; [89 68],[51.17322835 45.82677165] ; [82.82677165 74.17322835],0
r3,1,0.125587,2.346218,[87  7] ; [152   5],[89.5059761  4.4940239] ; [149.4940239   7.5059761],0
b3,1,0.133861,2.247151,[20 35] ; [47 49],[24.40397351 30.59602649] ; [42.59602649 53.40397351],0
