Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.021282,5.303571,[7 4] ; [ 5 17],[4. 7.] ; [ 8. 14.],0
a3,1,0.048796,3.882353,[8 3] ; [ 8 14],[5.33333333 5.66666667] ; [10.66666667 11.33333333],0
a4,1,0.055511,3.666667,[4 7] ; [ 2 20],[2. 9.] ; [ 4. 18.],0
r4,1,0.077831,3.109615,[2 9] ; [11 11],[4.33333333 6.66666667] ; [ 8.66666667 13.33333333],0
b5,1,0.12471,2.357143,[9 2] ; [12 10],[7. 4.] ; [14.  8.],0
r3,1,0.1322,2.266484,[7 4] ; [19  3],[8.66666667 2.33333333] ; [17.33333333  4.66666667],0
a5,1,0.138011,2.2,[8 3] ; [10 12],[6. 5.] ; [12. 10.],0
b1,1,0.138011,2.2,[4 7] ; [14  8],[6. 5.] ; [12. 10.],0
b4,1,0.138011,2.2,[8 3] ; [10 12],[6. 5.] ; [12. 10.],0
s4,1,0.150962,2.0625,[ 1 10] ; [ 7 15],[2.66666667 8.33333333] ; [ 5.33333333 16.66666667],0
n6,1,0.191695,1.704545,[9 2] ; [13  9],[7.33333333 3.66666667] ; [14.66666667  7.33333333],0
p7,1,0.207821,1.586538,[5 6] ; [15  7],[6.66666667 4.33333333] ; [13.33333333  8.66666667],0
a8,1,0.210909,1.565175,[3 8] ; [ 2 18],[1.77419355 9.22580645] ; [ 3.22580645 16.77419355],0
a7,1,0.218143,1.516544,[4 7] ; [13  9],[5.66666667 5.33333333] ; [11.33333333 10.66666667],0
d1,1,0.29627,1.090909,[5 6] ; [ 6 16],[3.66666667 7.33333333] ; [ 7.33333333 14.66666667],0
a6,1,0.319137,0.992481,[5 6] ; [14  8],[6.33333333 4.66666667] ; [12.66666667  9.33333333],0
p6,1,0.407016,0.6875,[4 7] ; [ 5 17],[3. 8.] ; [ 6. 16.],0
p2,1,0.407016,0.6875,[7 4] ; [17  5],[8. 3.] ; [16.  6.],0
u2,1,0.432246,0.61678,[2 1] ; [12  2],[2.47058824 0.52941176] ; [11.52941176  2.47058824],0
n5,1,0.442695,0.589286,[8 3] ; [13  9],[7. 4.] ; [14.  8.],0
d3,1,0.442695,0.589286,[6 5] ; [15  7],[7. 4.] ; [14.  8.],0
r1,1,0.442695,0.589286,[5 6] ; [ 7 15],[4. 7.] ; [ 8. 14.],0
d5,1,0.442695,0.589286,[8 3] ; [13  9],[7. 4.] ; [14.  8.],0
p12,1,0.45067,0.568966,[2 9] ; [ 2 20],[1.33333333 9.66666667] ; [ 2.66666667 19.33333333],0
p10,1,0.592177,0.286957,[7 4] ; [16  6],[7.66666667 3.33333333] ; [15.33333333  6.66666667],0
s1,1,0.60594,0.266129,[ 1 10] ; [ 1 21],[ 0.66666667 10.33333333] ; [ 1.33333333 20.66666667],0
v1,1,0.61438,0.253846,[5 6] ; [ 8 14],[4.33333333 6.66666667] ; [ 8.66666667 13.33333333],0
s2,1,0.622301,0.242647,[6 5] ; [10 12],[5.33333333 5.66666667] ; [10.66666667 11.33333333],0
v2,1,0.622301,0.242647,[6 5] ; [10 12],[5.33333333 5.66666667] ; [10.66666667 11.33333333],0
b3,1,0.682665,0.167142,[2 7] ; [ 2 11],[1.63636364 7.36363636] ; [ 2.36363636 10.63636364],0
b2,1,0.682665,0.167142,[2 7] ; [ 2 11],[1.63636364 7.36363636] ; [ 2.36363636 10.63636364],0
p5,1,0.773938,0.0825,[3 8] ; [ 5 17],[2.66666667 8.33333333] ; [ 5.33333333 16.66666667],0
d4,1,0.773938,0.0825,[8 3] ; [17  5],[8.33333333 2.66666667] ; [16.66666667  5.33333333],0
s5,1,0.788821,0.071739,[3 8] ; [ 7 15],[3.33333333 7.66666667] ; [ 6.66666667 15.33333333],0
n4,1,0.788821,0.071739,[8 3] ; [15  7],[7.66666667 3.33333333] ; [15.33333333  6.66666667],0
p9,1,0.794003,0.068182,[7 4] ; [15  7],[7.33333333 3.66666667] ; [14.66666667  7.33333333],0
s8,1,0.803316,0.06203,[5 6] ; [ 9 13],[4.66666667 6.33333333] ; [ 9.33333333 12.66666667],0
s7,1,0.842356,0.039553,[4 7] ; [ 8 12],[4.25806452 6.74193548] ; [ 7.74193548 12.25806452],0
n3,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
p3,1,1.0,0.0,[4 7] ; [ 8 14],[4. 7.] ; [ 8. 14.],0
p4,1,1.0,0.0,[7 4] ; [14  8],[7. 4.] ; [14.  8.],0
v3,1,1.0,0.0,[4 7] ; [ 8 14],[4. 7.] ; [ 8. 14.],0
p8,1,1.0,0.0,[5 6] ; [10 12],[5. 6.] ; [10. 12.],0
s3,1,1.0,0.0,[5 6] ; [10 12],[5. 6.] ; [10. 12.],0
p11,1,1.0,0.0,[9 2] ; [18  4],[9. 2.] ; [18.  4.],0
