Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.167213,[ 1 12] ; [60 18],[8.71428571 4.28571429] ; [52.28571429 25.71428571],1
d4,1,1e-06,23.373288,[4 9] ; [69  9],[10.42857143  2.57142857] ; [62.57142857 15.42857143],1
a5,1,8.2e-05,15.515772,[4 9] ; [64 14],[9.71428571 3.28571429] ; [58.28571429 19.71428571],1
r2,1,0.000819,11.197907,[9 4] ; [74  3],[11.98888889  1.01111111] ; [71.01111111  5.98888889],1
r4,1,0.002657,9.029457,[10  3] ; [76  2],[12.28571429  0.71428571] ; [73.71428571  4.28571429],0
r3,1,0.008375,6.951389,[11  2] ; [77  1],[12.57142857  0.42857143] ; [75.42857143  2.57142857],0
a7,1,0.016583,5.739942,[6 7] ; [60 17],[9.53333333 3.46666667] ; [56.46666667 20.53333333],0
d2,1,0.023496,5.131465,[4 9] ; [50 28],[7.71428571 5.28571429] ; [46.28571429 31.71428571],0
r1,1,0.034958,4.447208,[8 5] ; [66 11],[10.68888889  2.31111111] ; [63.31111111 13.68888889],0
a4,1,0.037279,4.337637,[ 2 11] ; [36 42],[5.42857143 7.57142857] ; [32.57142857 45.42857143],0
p7,1,0.037511,4.327047,[5 8] ; [52 24],[8.3258427 4.6741573] ; [48.6741573 27.3258427],0
b4,1,0.040619,4.191832,[5 8] ; [53 25],[8.28571429 4.71428571] ; [49.71428571 28.28571429],0
d3,1,0.040619,4.191832,[5 8] ; [53 25],[8.28571429 4.71428571] ; [49.71428571 28.28571429],0
a3,1,0.051629,3.787754,[5 8] ; [52 26],[8.14285714 4.85714286] ; [48.85714286 29.14285714],0
p2,1,0.06658,3.365385,[9 4] ; [69  9],[11.14285714  1.85714286] ; [66.85714286 11.14285714],0
n5,1,0.089846,2.877123,[6 7] ; [54 23],[8.66666667 4.33333333] ; [51.33333333 25.66666667],0
v1,1,0.101338,2.684359,[4 8] ; [44 31],[6.62068966 5.37931034] ; [41.37931034 33.62068966],0
u3,1,0.106312,2.608199,[3 5] ; [18  8],[4.94117647 3.05882353] ; [16.05882353  9.94117647],0
n1,1,0.136641,2.215385,[3 2] ; [ 3 10],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
a6,1,0.154367,2.028561,[6 7] ; [52 26],[8.28571429 4.71428571] ; [49.71428571 28.28571429],0
p3,1,0.167713,1.903268,[5 8] ; [46 32],[7.28571429 5.71428571] ; [43.71428571 34.28571429],0
v4,1,0.167713,1.903268,[11  2] ; [74  4],[12.14285714  0.85714286] ; [72.85714286  5.14285714],0
s6,1,0.169415,1.888112,[7 6] ; [56 21],[9.1 3.9] ; [53.9 23.1],0
p10,1,0.177313,1.82,[9 4] ; [66 12],[10.71428571  2.28571429] ; [64.28571429 13.71428571],0
p12,1,0.268229,1.225779,[ 2 11] ; [ 5 72],[ 1.01111111 11.98888889] ; [ 5.98888889 71.01111111],0
b5,1,0.295787,1.093093,[6 7] ; [48 30],[7.71428571 5.28571429] ; [46.28571429 31.71428571],0
a8,1,0.302818,1.061744,[3 9] ; [10 64],[ 1.81395349 10.18604651] ; [11.18604651 62.81395349],0
a1,1,0.337687,0.919192,[ 1 12] ; [ 2 76],[ 0.42857143 12.57142857] ; [ 2.57142857 75.42857143],0
v3,1,0.345537,0.88978,[3 9] ; [29 45],[4.46511628 7.53488372] ; [27.53488372 46.46511628],0
s4,1,0.356139,0.851462,[ 1 12] ; [14 64],[ 2.14285714 10.85714286] ; [12.85714286 65.14285714],0
s1,1,0.356602,0.849826,[ 1 12] ; [ 2 73],[ 0.44318182 12.55681818] ; [ 2.55681818 72.44318182],0
p8,1,0.358943,0.841588,[6 7] ; [46 31],[7.51111111 5.48888889] ; [44.48888889 32.51111111],0
s5,1,0.38099,0.767506,[2 9] ; [23 51],[3.23529412 7.76470588] ; [21.76470588 52.23529412],0
b1,1,0.387154,0.747863,[7 6] ; [32 46],[5.57142857 7.42857143] ; [33.42857143 44.57142857],0
v2,1,0.398478,0.712915,[5 7] ; [40 33],[6.35294118 5.64705882] ; [38.64705882 34.35294118],0
p9,1,0.406371,0.689394,[10  3] ; [67 11],[11.  2.] ; [66. 12.],0
p6,1,0.483822,0.490236,[4 9] ; [32 46],[5.14285714 7.85714286] ; [30.85714286 47.14285714],0
n2,1,0.516407,0.421062,[4 1] ; [9 5],[3.42105263 1.57894737] ; [9.57894737 4.42105263],0
n3,1,0.518217,0.41744,[3 1] ; [8 6],[2.44444444 1.55555556] ; [8.55555556 5.44444444],0
n6,1,0.535201,0.384507,[11  2] ; [60 18],[10.14285714  2.85714286] ; [60.85714286 17.14285714],0
n4,1,0.548682,0.359684,[9 4] ; [60 18],[9.85714286 3.14285714] ; [59.14285714 18.85714286],0
s2,1,0.551596,0.354465,[5 8] ; [36 40],[5.98876404 7.01123596] ; [35.01123596 40.98876404],0
u2,1,0.66641,0.18583,[5 3] ; [14 12],[4.47058824 3.52941176] ; [14.52941176 11.47058824],0
p11,1,0.800291,0.063994,[11  2] ; [68 10],[11.28571429  1.71428571] ; [67.71428571 10.28571429],0
b3,1,0.843976,0.038734,[3 5] ; [21 30],[3.25423729 4.74576271] ; [20.74576271 30.25423729],0
b2,1,0.843976,0.038734,[3 5] ; [21 30],[3.25423729 4.74576271] ; [20.74576271 30.25423729],0
s3,1,0.854397,0.033676,[7 6] ; [43 33],[7.30337079 5.69662921] ; [42.69662921 33.30337079],0
p4,1,1.0,0.0,[8 5] ; [48 30],[8. 5.] ; [48. 30.],0
