Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000284,13.172242,[20 89] ; [18 19],[28.36986301 80.63013699] ; [ 9.63013699 27.36986301],1
p11,1,0.000657,11.605817,[49 68] ; [28 10],[58.12258065 58.87741935] ; [18.87741935 19.12258065],1
s8,1,0.003073,8.763751,[17 99] ; [14 24],[23.35064935 92.64935065] ; [ 7.64935065 30.35064935],0
p7,1,0.006677,7.357992,[46 70] ; [23 12],[53.00662252 62.99337748] ; [15.99337748 19.00662252],0
n5,1,0.008271,6.973738,[57 59] ; [28 10],[64.02597403 51.97402597] ; [20.97402597 17.02597403],0
n6,1,0.017183,5.677612,[66 49] ; [30  8],[72.15686275 42.84313725] ; [23.84313725 14.15686275],0
s3,1,0.017579,5.637633,[39 77] ; [21 17],[45.19480519 70.80519481] ; [14.80519481 23.19480519],0
p8,1,0.021049,5.32275,[29 87] ; [17 21],[34.64935065 81.35064935] ; [11.35064935 26.64935065],0
p2,1,0.04414,4.051202,[55 62] ; [25 13],[60.38709677 56.61290323] ; [19.61290323 18.38709677],0
s2,1,0.044189,4.049327,[29 87] ; [16 22],[33.8961039 82.1038961] ; [11.1038961 26.8961039],0
a8,1,0.05187,3.779951,[  7 103] ; [ 6 29],[  9.86206897 100.13793103] ; [ 3.13793103 31.86206897],0
d5,1,0.054184,3.70703,[76 41] ; [31  7],[80.76774194 36.23225806] ; [26.23225806 11.76774194],0
s5,1,0.05505,3.680578,[ 15 100] ; [10 28],[18.79084967 96.20915033] ; [ 6.20915033 31.79084967],0
a3,1,0.056521,3.636631,[62 54] ; [27 11],[67.03896104 48.96103896] ; [21.96103896 16.03896104],0
v4,1,0.08505,2.96566,[88 27] ; [34  4],[91.69934641 23.30065359] ; [30.30065359  7.69934641],0
a7,1,0.089322,2.886544,[67 48] ; [28 10],[71.40522876 43.59477124] ; [23.59477124 14.40522876],0
