Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.7e-05,18.455235,[126   9] ; [43 18],[116.40306122  18.59693878] ; [52.59693878  8.40306122],1
p9,1,9.7e-05,15.203569,[104  30] ; [28 29],[92.60732984 41.39267016] ; [39.39267016 17.60732984],1
p8,1,0.000353,12.765143,[52 83] ; [ 8 53],[41.32653061 93.67346939] ; [18.67346939 42.32653061],1
r3,1,0.000486,12.167585,[124  12] ; [44 17],[115.97969543  20.02030457] ; [52.02030457  8.97969543],1
p4,1,0.000542,11.964881,[58 78] ; [10 49],[47.42564103 88.57435897] ; [20.57435897 38.42564103],1
s1,1,0.00191,9.634387,[  3 132] ; [ 8 52],[  7.61538462 127.38461538] ; [ 3.38461538 56.61538462],0
p10,1,0.002417,9.202452,[98 37] ; [29 29],[88.83419689 46.16580311] ; [38.16580311 19.83419689],0
a6,1,0.004299,8.153162,[75 62] ; [20 41],[65.73232323 71.26767677] ; [29.26767677 31.73232323],0
p7,1,0.009225,6.778796,[64 70] ; [16 42],[55.83333333 78.16666667] ; [24.16666667 33.83333333],0
a7,1,0.010081,6.620522,[93 43] ; [30 31],[84.91370558 51.08629442] ; [38.08629442 22.91370558],0
p3,1,0.010161,6.606393,[47 90] ; [10 51],[39.43939394 97.56060606] ; [17.56060606 43.43939394],0
s6,1,0.011396,6.402448,[76 59] ; [22 38],[67.84615385 67.15384615] ; [30.15384615 29.84615385],0
n1,1,0.012029,6.30657,[ 6 29] ; [11 12],[10.25862069 24.74137931] ; [ 6.74137931 16.25862069],0
a1,1,0.015818,5.822981,[  1 136] ; [ 4 57],[  3.45959596 133.54040404] ; [ 1.54040404 59.45959596],0
d3,1,0.024563,5.054445,[82 55] ; [26 35],[74.72727273 62.27272727] ; [33.27272727 27.72727273],0
s3,1,0.047572,3.925038,[74 60] ; [23 35],[67.69791667 66.30208333] ; [29.30208333 28.69791667],0
p11,1,0.062646,3.465905,[93 44] ; [33 28],[87.18181818 49.81818182] ; [38.81818182 22.18181818],0
n6,1,0.062705,3.464341,[107  30] ; [40 21],[101.71212121  35.28787879] ; [45.28787879 15.71212121],0
s8,1,0.079095,3.083411,[41 96] ; [11 50],[ 35.97979798 101.02020202] ; [16.02020202 44.97979798],0
d5,1,0.093094,2.820035,[87 50] ; [31 30],[81.64646465 55.35353535] ; [36.35353535 24.64646465],0
s5,1,0.10582,2.615567,[ 30 104] ; [ 7 50],[ 25.95811518 108.04188482] ; [11.04188482 45.95811518],0
b2,1,0.12951,2.298362,[11 58] ; [10 25],[13.93269231 55.06730769] ; [ 7.06730769 27.93269231],0
b3,1,0.12951,2.298362,[11 58] ; [10 25],[13.93269231 55.06730769] ; [ 7.06730769 27.93269231],0
p5,1,0.154853,2.023779,[  9 128] ; [ 1 58],[  6.98979592 130.01020408] ; [ 3.01020408 55.98979592],0
r4,1,0.163404,1.942438,[103  34] ; [40 21],[98.94444444 38.05555556] ; [44.05555556 16.94444444],0
n5,1,0.191795,1.703774,[86 50] ; [32 28],[81.87755102 54.12244898] ; [36.12244898 23.87755102],0
r2,1,0.2254,1.469653,[118  18] ; [48 12],[115.18367347  20.81632653] ; [50.81632653  9.18367347],0
s7,1,0.227351,1.457355,[39 93] ; [12 45],[35.61904762 96.38095238] ; [15.38095238 41.61904762],0
s2,1,0.242853,1.363956,[55 81] ; [19 41],[51.34693878 84.65306122] ; [22.65306122 37.34693878],0
a8,1,0.249833,1.324237,[ 13 113] ; [ 3 55],[ 10.95652174 115.04347826] ; [ 5.04347826 52.95652174],0
b1,1,0.308319,1.037863,[48 89] ; [26 35],[51.2020202 85.7979798] ; [22.7979798 38.2020202],0
d2,1,0.376368,0.782533,[ 30 106] ; [17 44],[ 32.44670051 103.55329949] ; [14.55329949 46.44670051],0
a4,1,0.395237,0.722769,[ 25 112] ; [ 8 52],[ 22.94923858 114.05076142] ; [10.05076142 49.94923858],0
v1,1,0.470752,0.520211,[50 81] ; [20 41],[47.76041667 83.23958333] ; [22.23958333 38.76041667],0
s4,1,0.542623,0.3707,[ 24 112] ; [13 48],[ 25.54314721 110.45685279] ; [11.45685279 49.54314721],0
d1,1,0.571989,0.319365,[46 91] ; [18 43],[44.28282828 92.71717172] ; [19.71717172 41.28282828],0
p12,1,0.601968,0.272038,[  4 132] ; [ 1 59],[  3.46938776 132.53061224] ; [ 1.53061224 58.46938776],0
b4,1,0.615711,0.251942,[86 51] ; [36 25],[84.41414141 52.58585859] ; [37.58585859 23.41414141],0
v2,1,0.652738,0.202465,[50 76] ; [21 37],[48.61956522 77.38043478] ; [22.38043478 35.61956522],0
d4,1,0.695822,0.152854,[88 47] ; [38 23],[86.78571429 48.21428571] ; [39.21428571 21.78571429],0
n3,1,0.70725,0.141039,[23 12] ; [14  9],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
a3,1,0.708409,0.139871,[56 80] ; [23 37],[54.81632653 81.18367347] ; [24.18367347 35.81632653],0
n2,1,0.768319,0.086774,[22 12] ; [14  9],[21.47368421 12.52631579] ; [14.52631579  8.47368421],0
u2,1,0.795343,0.067277,[41 37] ; [19 19],[40.34482759 37.65517241] ; [19.65517241 18.34482759],0
b5,1,0.839305,0.041121,[81 56] ; [37 24],[81.64646465 55.35353535] ; [36.35353535 24.64646465],0
n4,1,0.925532,0.008736,[79 57] ; [35 26],[78.70050761 57.29949239] ; [35.29949239 25.70050761],0
r1,1,0.943491,0.005024,[84 52] ; [38 23],[84.22335025 51.77664975] ; [37.77664975 23.22335025],0
v3,1,0.966296,0.001785,[38 93] ; [17 41],[38.12169312 92.87830688] ; [16.87830688 41.12169312],0
p1,1,0.987431,0.000248,[  9 127] ; [ 4 57],[  8.97461929 127.02538071] ; [ 4.02538071 56.97461929],0
u3,1,0.989329,0.000179,[42 38] ; [20 18],[42.03389831 37.96610169] ; [19.96610169 18.03389831],0
