Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002348,9.255663,[6 9] ; [47 12],[10.74324324  4.25675676] ; [42.25675676 16.74324324],0
r2,1,0.003188,8.696865,[11  4] ; [57  2],[13.78378378  1.21621622] ; [54.21621622  4.78378378],0
a6,1,0.003767,8.393001,[ 4 11] ; [40 19],[8.91891892 6.08108108] ; [35.08108108 23.91891892],0
v4,1,0.005118,7.837191,[12  3] ; [58  1],[14.18918919  0.81081081] ; [55.81081081  3.18918919],0
a5,1,0.006724,7.345147,[6 9] ; [45 14],[10.33783784  4.66216216] ; [40.66216216 18.33783784],0
b3,1,0.011234,6.427915,[4 3] ; [ 4 26],[1.51351351 5.48648649] ; [ 6.48648649 23.51351351],0
b2,1,0.011234,6.427915,[4 3] ; [ 4 26],[1.51351351 5.48648649] ; [ 6.48648649 23.51351351],0
n6,1,0.026528,4.921293,[10  5] ; [52  6],[12.73972603  2.26027397] ; [49.26027397  8.73972603],0
r3,1,0.043498,4.075933,[13  2] ; [57  1],[14.38356164  0.61643836] ; [55.61643836  2.38356164],0
d3,1,0.052816,3.749737,[9 6] ; [49 10],[11.75675676  3.24324324] ; [46.24324324 12.75675676],0
s6,1,0.092145,2.83649,[9 4] ; [51  7],[10.98591549  2.01408451] ; [49.01408451  8.98591549],0
u1,1,0.092693,2.826974,[ 1 14] ; [16 43],[ 3.44594595 11.55405405] ; [13.55405405 45.44594595],0
p4,1,0.111399,2.534256,[6 9] ; [37 22],[8.71621622 6.28378378] ; [34.28378378 24.71621622],0
d1,1,0.129029,2.304146,[7 8] ; [40 19],[9.52702703 5.47297297] ; [37.47297297 21.52702703],0
p9,1,0.131023,2.280347,[12  3] ; [53  4],[13.54166667  1.45833333] ; [51.45833333  5.54166667],0
a4,1,0.148228,2.090395,[ 5 10] ; [32 27],[7.5 7.5] ; [29.5 29.5],0
d4,1,0.199284,1.647612,[12  3] ; [54  5],[13.37837838  1.62162162] ; [52.62162162  6.37837838],0
p2,1,0.263518,1.25018,[9 6] ; [44 15],[10.74324324  4.25675676] ; [42.25675676 16.74324324],0
s3,1,0.280949,1.162495,[9 6] ; [43 15],[10.68493151  4.31506849] ; [41.31506849 16.68493151],0
b1,1,0.294766,1.097726,[7 8] ; [19 40],[5.27027027 9.72972973] ; [20.72972973 38.27027027],0
s1,1,0.295901,1.092577,[ 1 14] ; [ 1 57],[ 0.4109589 14.5890411] ; [ 1.5890411 56.4109589],0
s7,1,0.302975,1.061053,[7 8] ; [35 22],[8.75 6.25] ; [33.25 23.75],0
b4,1,0.37627,0.782852,[11  4] ; [36 23],[9.52702703 5.47297297] ; [37.47297297 21.52702703],0
s8,1,0.385672,0.752542,[6 9] ; [31 28],[7.5 7.5] ; [29.5 29.5],0
p11,1,0.403237,0.698652,[9 6] ; [42 17],[10.33783784  4.66216216] ; [40.66216216 18.33783784],0
b5,1,0.429756,0.623483,[8 7] ; [38 21],[9.32432432 5.67567568] ; [36.67567568 22.32432432],0
v3,1,0.432312,0.616605,[5 9] ; [27 30],[6.30985915 7.69014085] ; [25.69014085 31.30985915],0
n1,1,0.437558,0.602679,[2 5] ; [1 7],[1.4 5.6] ; [1.6 6.4],0
n3,1,0.437558,0.602679,[5 2] ; [7 1],[5.6 1.4] ; [6.4 1.6],0
p10,1,0.441783,0.591647,[12  3] ; [50  7],[12.91666667  2.08333333] ; [49.08333333  7.91666667],0
n4,1,0.483187,0.491661,[9 6] ; [41 18],[10.13513514  4.86486486] ; [39.86486486 19.13513514],0
d2,1,0.520246,0.413406,[7 8] ; [33 26],[8.10810811 6.89189189] ; [31.89189189 27.10810811],0
d5,1,0.531241,0.392017,[12  3] ; [51  8],[12.77027027  2.22972973] ; [50.22972973  8.77027027],0
a1,1,0.565574,0.330145,[ 1 14] ; [ 2 57],[ 0.60810811 14.39189189] ; [ 2.39189189 56.60810811],0
s5,1,0.687938,0.161327,[6 6] ; [31 24],[6.62686567 5.37313433] ; [30.37313433 24.62686567],0
u2,1,0.697161,0.151442,[3 6] ; [5 7],[3.42857143 5.57142857] ; [4.57142857 7.42857143],0
p7,1,0.73607,0.113611,[9 5] ; [40 18],[9.52777778 4.47222222] ; [39.47222222 18.52777778],0
s2,1,0.762139,0.091611,[10  5] ; [41 17],[10.47945205  4.52054795] ; [40.52054795 17.47945205],0
p3,1,0.772456,0.083616,[7 8] ; [30 29],[7.5 7.5] ; [29.5 29.5],0
v1,1,0.804203,0.06146,[8 7] ; [33 25],[8.42465753 6.57534247] ; [32.57534247 25.42465753],0
p1,1,0.808833,0.058531,[ 1 14] ; [ 3 56],[ 0.81081081 14.18918919] ; [ 3.18918919 55.81081081],0
a7,1,0.81281,0.056076,[11  4] ; [45 14],[11.35135135  3.64864865] ; [44.64864865 14.35135135],0
a8,1,0.83035,0.045904,[ 1 12] ; [ 5 47],[ 1.2 11.8] ; [ 4.8 47.2],0
n2,1,0.875996,0.024351,[5 2] ; [6 2],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
u3,1,0.898708,0.016204,[5 4] ; [7 5],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
n5,1,0.933474,0.006968,[10  5] ; [40 19],[10.13513514  4.86486486] ; [39.86486486 19.13513514],0
p8,1,0.936903,0.006267,[6 7] ; [27 30],[6.12857143 6.87142857] ; [26.87142857 30.12857143],0
p6,1,0.986672,0.000279,[6 8] ; [25 33],[6.02777778 7.97222222] ; [24.97222222 33.02777778],0
