Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,25.087262,[246  46] ; [30 25],[232.25360231  59.74639769] ; [43.74639769 11.25360231],1
p7,1,1.2e-05,19.216959,[183 106] ; [16 36],[168.65395894 120.34604106] ; [30.34604106 21.65395894],1
p4,1,0.00082,11.194938,[167 126] ; [17 36],[155.8150289 137.1849711] ; [28.1849711 24.8150289],1
p11,1,0.001821,9.721327,[256  37] ; [39 16],[248.37643678  44.62356322] ; [46.62356322  8.37643678],0
r1,1,0.003177,8.70265,[228  62] ; [33 22],[219.39130435  70.60869565] ; [41.60869565 13.39130435],0
d1,1,0.005757,7.624725,[171 122] ; [21 34],[161.65517241 131.34482759] ; [30.34482759 24.65517241],0
p6,1,0.005906,7.578723,[ 91 199] ; [ 7 47],[ 82.61627907 207.38372093] ; [15.38372093 38.61627907],0
s6,1,0.008598,6.904449,[161 124] ; [20 34],[152.16814159 132.83185841] ; [28.83185841 25.16814159],0
r4,1,0.008894,6.844033,[265  28] ; [43 12],[259.32183908  33.67816092] ; [48.67816092  6.32183908],0
p8,1,0.011146,6.441846,[159 130] ; [20 35],[150.38081395 138.61918605] ; [28.61918605 26.38081395],0
a1,1,0.01244,6.247064,[  7 286] ; [ 5 50],[ 10.10344828 282.89655172] ; [ 1.89655172 53.10344828],0
r2,1,0.017866,5.60928,[272  17] ; [45  8],[267.87426901  21.12573099] ; [49.12573099  3.87426901],0
n6,1,0.017952,5.600822,[250  42] ; [40 15],[244.03458213  47.96541787] ; [45.96541787  9.03458213],0
s1,1,0.018174,5.579282,[  3 287] ; [ 3 50],[  5.0728863 284.9271137] ; [ 0.9271137 52.0728863],0
p9,1,0.020917,5.3337,[278  14] ; [47  7],[274.27745665  17.72254335] ; [50.72254335  3.27745665],0
d4,1,0.021092,5.319148,[246  47] ; [39 16],[239.95689655  53.04310345] ; [45.04310345  9.95689655],0
v1,1,0.025704,4.975811,[154 128] ; [21 34],[146.43916914 135.56083086] ; [28.56083086 26.43916914],0
s4,1,0.039434,4.242066,[ 38 250] ; [13 41],[ 42.94736842 245.05263158] ; [ 8.05263158 45.94736842],0
d3,1,0.051507,3.791719,[203  88] ; [31 24],[196.80346821  94.19653179] ; [37.19653179 17.80346821],0
a5,1,0.052487,3.760192,[209  84] ; [32 23],[202.91091954  90.08908046] ; [38.08908046 16.91091954],0
v4,1,0.054458,3.698592,[278  13] ; [49  6],[275.02023121  15.97976879] ; [51.97976879  3.02023121],0
a7,1,0.06085,3.514074,[225  66] ; [36 19],[219.51156069  71.48843931] ; [41.48843931 13.51156069],0
d2,1,0.070212,3.278065,[125 167] ; [16 38],[118.99421965 173.00578035] ; [22.00578035 31.99421965],0
a2,1,0.072867,3.217231,[ 56 237] ; [ 5 50],[ 51.3591954 241.6408046] ; [ 9.6408046 45.3591954],0
r3,1,0.075535,3.158439,[277  14] ; [49  6],[274.17919075  16.82080925] ; [51.82080925  3.17919075],0
n4,1,0.081213,3.040466,[215  78] ; [34 21],[209.64655172  83.35344828] ; [39.35344828 15.64655172],0
u1,1,0.100786,2.693058,[ 39 254] ; [ 3 52],[ 35.36206897 257.63793103] ; [ 6.63793103 48.36206897],0
a6,1,0.12854,2.310047,[211  82] ; [34 21],[206.27873563  86.72126437] ; [38.72126437 16.27873563],0
s8,1,0.168456,1.89663,[ 67 226] ; [ 8 47],[ 63.14655172 229.85344828] ; [11.85344828 43.14655172],0
n2,1,0.19043,1.714286,[40 16] ; [14  2],[42. 14.] ; [12.  4.],0
p3,1,0.19185,1.70335,[129 164] ; [19 36],[124.6091954 168.3908046] ; [23.3908046 31.6091954],0
a4,1,0.233787,1.41767,[121 172] ; [18 37],[117.0316092 175.9683908] ; [21.9683908 33.0316092],0
b4,1,0.291043,1.114792,[182 111] ; [30 25],[178.49425287 114.50574713] ; [33.50574713 21.49425287],0
p1,1,0.341185,0.905972,[ 21 272] ; [ 6 49],[ 22.73275862 270.26724138] ; [ 4.26724138 50.73275862],0
p12,1,0.361433,0.832907,[ 17 275] ; [ 5 50],[ 18.5129683 273.4870317] ; [ 3.4870317 51.5129683],0
v3,1,0.436618,0.605156,[ 93 189] ; [14 37],[ 90.61261261 191.38738739] ; [16.38738739 34.61261261],0
p5,1,0.441288,0.592931,[ 25 268] ; [ 3 52],[ 23.57471264 269.42528736] ; [ 4.42528736 50.57471264],0
u2,1,0.454272,0.55997,[62 48] ; [11 12],[60.37593985 49.62406015] ; [12.62406015 10.37593985],0
n5,1,0.504504,0.44545,[213  79] ; [37 17],[210.98265896  81.01734104] ; [39.01734104 14.98265896],0
u3,1,0.527979,0.39828,[60 49] ; [11 12],[58.62878788 50.37121212] ; [12.37121212 10.62878788],0
v2,1,0.573843,0.316295,[147 128] ; [30 22],[148.85321101 126.14678899] ; [28.14678899 23.85321101],0
a3,1,0.582196,0.302698,[182 111] ; [32 23],[180.17816092 112.82183908] ; [33.82183908 21.17816092],0
s3,1,0.588577,0.292572,[118 170] ; [20 34],[116.21052632 171.78947368] ; [21.78947368 32.21052632],0
b2,1,0.796171,0.066722,[52 98] ; [ 9 19],[51.40449438 98.59550562] ; [ 9.59550562 18.40449438],0
b3,1,0.796171,0.066722,[52 98] ; [ 9 19],[51.40449438 98.59550562] ; [ 9.59550562 18.40449438],0
b5,1,0.803989,0.061597,[181 112] ; [33 22],[180.17816092 112.82183908] ; [33.82183908 21.17816092],0
s5,1,0.880068,0.022766,[ 71 213] ; [12 38],[ 70.5748503 213.4251497] ; [12.4251497 37.5748503],0
n3,1,0.886347,0.020428,[41 15] ; [12  4],[41.22222222 14.77777778] ; [11.77777778  4.22222222],0
a8,1,0.901155,0.015426,[ 29 241] ; [ 6 47],[ 29.25696594 240.74303406] ; [ 5.74303406 47.25696594],0
b1,1,0.913341,0.011843,[ 99 194] ; [19 36],[ 99.35057471 193.64942529] ; [18.64942529 36.35057471],0
s2,1,0.922315,0.00951,[ 95 195] ; [17 36],[ 94.69387755 195.30612245] ; [17.30612245 35.69387755],0
n1,1,0.945486,0.004675,[17 39] ; [ 5 11],[17.11111111 38.88888889] ; [ 4.88888889 11.11111111],0
