Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5e-06,20.877682,[ 5 83] ; [17 30],[14.34074074 73.65925926] ; [ 7.65925926 39.34074074],1
r1,1,0.002029,9.522811,[45 45] ; [37 11],[53.47826087 36.52173913] ; [28.52173913 19.47826087],0
a3,1,0.003295,8.636733,[39 51] ; [34 15],[47.26618705 42.73381295] ; [25.73381295 23.26618705],0
r2,1,0.007397,7.173891,[71 19] ; [47  2],[76.4028777 13.5971223] ; [41.5971223  7.4028777],0
s6,1,0.008726,6.878023,[36 54] ; [31 18],[43.38129496 46.61870504] ; [23.61870504 25.38129496],0
a5,1,0.015433,5.866324,[34 56] ; [29 20],[40.79136691 49.20863309] ; [22.20863309 26.79136691],0
b1,1,0.020191,5.395342,[40 50] ; [12 37],[33.66906475 56.33093525] ; [18.33093525 30.66906475],0
r3,1,0.030495,4.681159,[75 15] ; [47  2],[78.99280576 11.00719424] ; [43.00719424  5.99280576],0
s5,1,0.035504,4.420781,[18 71] ; [17 29],[23.07407407 65.92592593] ; [11.92592593 34.07407407],0
u2,1,0.063039,3.455566,[27 23] ; [ 4 11],[23.84615385 26.15384615] ; [7.15384615 7.84615385],0
s3,1,0.10109,2.688256,[33 57] ; [25 24],[37.55395683 52.44604317] ; [20.44604317 28.55395683],0
r4,1,0.104346,2.637831,[62 28] ; [40  9],[66.04316547 23.95683453] ; [35.95683453 13.04316547],0
s2,1,0.116064,2.469651,[28 61] ; [22 27],[32.24637681 56.75362319] ; [17.75362319 31.24637681],0
d5,1,0.131137,2.278989,[56 33] ; [37 12],[59.97826087 29.02173913] ; [33.02173913 15.97826087],0
d1,1,0.158516,1.988324,[33 57] ; [24 25],[36.90647482 53.09352518] ; [20.09352518 28.90647482],0
b5,1,0.200702,1.637258,[56 34] ; [25 24],[52.44604317 37.55395683] ; [28.55395683 20.44604317],0
p4,1,0.20726,1.590462,[32 57] ; [23 26],[35.47101449 53.52898551] ; [19.52898551 29.47101449],0
p6,1,0.211741,1.559479,[23 67] ; [ 8 41],[20.07194245 69.92805755] ; [10.92805755 38.07194245],0
p5,1,0.249425,1.326521,[ 2 86] ; [ 3 46],[ 3.21167883 84.78832117] ; [ 1.78832117 47.21167883],0
p12,1,0.249564,1.325741,[ 1 89] ; [ 2 47],[ 1.94244604 88.05755396] ; [ 1.05755396 47.94244604],0
n5,1,0.260084,1.268308,[30 59] ; [12 37],[27.08695652 61.91304348] ; [14.91304348 34.08695652],0
p7,1,0.303887,1.057059,[39 46] ; [27 22],[41.86567164 43.13432836] ; [24.13432836 24.86567164],0
a2,1,0.310907,1.02682,[ 5 85] ; [ 5 44],[ 6.47482014 83.52517986] ; [ 3.52517986 45.47482014],0
s8,1,0.323356,0.975322,[19 71] ; [14 35],[21.36690647 68.63309353] ; [11.63309353 37.36690647],0
p1,1,0.324098,0.972337,[ 5 84] ; [ 1 48],[ 3.86956522 85.13043478] ; [ 2.13043478 46.86956522],0
s1,1,0.32999,0.948936,[ 5 85] ; [ 1 48],[ 3.88489209 86.11510791] ; [ 2.11510791 46.88489209],0
u1,1,0.368441,0.808915,[ 4 86] ; [ 4 45],[ 5.17985612 84.82014388] ; [ 2.82014388 46.17985612],0
a7,1,0.38367,0.758909,[59 30] ; [36 13],[61.26811594 27.73188406] ; [33.73188406 15.26811594],0
n2,1,0.396203,0.719818,[22 17] ; [11  5],[23.4 15.6] ; [9.6 6.4],0
d4,1,0.410052,0.678651,[62 28] ; [37 12],[64.10071942 25.89928058] ; [34.89928058 14.10071942],0
b2,1,0.416518,0.660118,[ 9 37] ; [ 7 18],[10.36619718 35.63380282] ; [ 5.63380282 19.36619718],0
b3,1,0.416518,0.660118,[ 9 37] ; [ 7 18],[10.36619718 35.63380282] ; [ 5.63380282 19.36619718],0
v4,1,0.462408,0.54006,[76 13] ; [44  5],[77.39130435 11.60869565] ; [42.60869565  6.39130435],0
a1,1,0.467203,0.528583,[ 4 86] ; [ 1 48],[ 3.23741007 86.76258993] ; [ 1.76258993 47.23741007],0
d2,1,0.479568,0.499845,[31 59] ; [14 35],[29.13669065 60.86330935] ; [15.86330935 33.13669065],0
a4,1,0.496555,0.462292,[21 69] ; [ 9 40],[19.42446043 70.57553957] ; [10.57553957 38.42446043],0
a6,1,0.602626,0.271054,[51 39] ; [30 19],[52.44604317 37.55395683] ; [28.55395683 20.44604317],0
s7,1,0.610702,0.259153,[19 65] ; [13 36],[20.21052632 63.78947368] ; [11.78947368 37.21052632],0
p11,1,0.614185,0.254126,[53 37] ; [31 18],[54.38848921 35.61151079] ; [29.61151079 19.38848921],0
u3,1,0.617967,0.248735,[27 23] ; [7 8],[26.15384615 23.84615385] ; [7.84615385 7.15384615],0
b4,1,0.666437,0.185798,[48 42] ; [28 21],[49.20863309 40.79136691] ; [26.79136691 22.20863309],0
p3,1,0.700711,0.147733,[23 67] ; [14 35],[23.95683453 66.04316547] ; [13.04316547 35.95683453],0
p8,1,0.708462,0.139818,[36 53] ; [21 27],[37.02919708 51.97080292] ; [19.97080292 28.02919708],0
p10,1,0.709024,0.139254,[51 37] ; [30 19],[52.02919708 35.97080292] ; [28.97080292 20.02919708],0
n3,1,0.742005,0.108372,[25 14] ; [11  5],[25.52727273 13.47272727] ; [10.47272727  5.52727273],0
n1,1,0.808466,0.058761,[11 28] ; [ 4 12],[10.63636364 28.36363636] ; [ 4.36363636 11.63636364],0
p2,1,0.885632,0.020688,[61 28] ; [33 16],[60.62318841 28.37681159] ; [33.37681159 15.62318841],0
n6,1,0.889931,0.019152,[58 32] ; [31 18],[57.62589928 32.37410072] ; [31.37410072 17.62589928],0
