Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.965683,[140  11] ; [4 7],[134.22222222  16.77777778] ; [9.77777778 1.22222222],1
r2,1,1e-06,24.461642,[145   4] ; [7 4],[141.55   7.45] ; [10.45  0.55],1
v4,1,0.000469,12.234184,[143   5] ; [8 3],[140.55345912   7.44654088] ; [10.44654088  0.55345912],1
r1,1,0.000583,11.828666,[127  21] ; [5 6],[122.86792453  25.13207547] ; [9.13207547 1.86792453],1
v2,1,0.000613,11.736296,[91 56] ; [ 1 10],[85.59493671 61.40506329] ; [6.40506329 4.59493671],1
a1,1,0.008448,6.935998,[  4 147] ; [2 9],[  5.59259259 145.40740741] ; [ 0.40740741 10.59259259],0
p1,1,0.009879,6.656663,[  9 140] ; [3 8],[ 11.175 137.825] ; [ 0.825 10.175],0
d5,1,0.013547,6.096193,[127  24] ; [6 5],[123.9691358  27.0308642] ; [9.0308642 1.9691358],0
n6,1,0.024017,5.093372,[131  18] ; [7 4],[128.5125  20.4875] ; [9.4875 1.5125],0
p9,1,0.030423,4.685225,[127  21] ; [6 4],[124.58227848  23.41772152] ; [8.41772152 1.58227848],0
n3,1,0.031818,4.608295,[29  6] ; [2 3],[27.125  7.875] ; [3.875 1.125],0
p7,1,0.034161,4.486612,[87 58] ; [3 8],[83.65384615 61.34615385] ; [6.34615385 4.65384615],0
p10,1,0.036287,4.383548,[120  28] ; [6 5],[117.28301887  30.71698113] ; [8.71698113 2.28301887],0
s2,1,0.044399,4.041316,[99 50] ; [4 7],[95.91875 53.08125] ; [7.08125 3.91875],0
b1,1,0.065451,3.393565,[54 97] ; [7 4],[56.85802469 94.14197531] ; [4.14197531 6.85802469],0
s7,1,0.088756,2.89679,[83 61] ; [3 7],[80.41558442 63.58441558] ; [5.58441558 4.41558442],0
d1,1,0.089951,2.875254,[94 57] ; [4 7],[91.34567901 59.65432099] ; [6.65432099 4.34567901],0
v3,1,0.091916,2.840502,[65 82] ; [2 9],[62.33544304 84.66455696] ; [4.66455696 6.33544304],0
s3,1,0.105193,2.624992,[101  45] ; [5 6],[98.57324841 47.42675159] ; [7.42675159 3.57324841],0
p8,1,0.118908,2.431641,[67 81] ; [2 8],[64.63291139 83.36708861] ; [4.36708861 5.63291139],0
d3,1,0.149012,2.082339,[101  50] ; [5 6],[98.80246914 52.19753086] ; [7.19753086 3.80246914],0
d4,1,0.169736,1.885273,[132  19] ; [8 3],[130.49382716  20.50617284] ; [9.50617284 1.49382716],0
a2,1,0.200052,1.641995,[ 40 111] ; [ 1 10],[ 38.21604938 112.78395062] ; [2.78395062 8.21604938],0
s8,1,0.205632,1.601917,[76 74] ; [3 7],[74.0625 75.9375] ; [4.9375 5.0625],0
s6,1,0.228026,1.453133,[126  23] ; [7 3],[124.63522013  24.36477987] ; [8.36477987 1.63522013],0
p5,1,0.23286,1.423306,[ 21 129] ; [3 8],[ 22.36024845 127.63975155] ; [1.63975155 9.36024845],0
p4,1,0.285989,1.138407,[79 70] ; [4 7],[77.29375 71.70625] ; [5.70625 5.29375],0
u3,1,0.291841,1.111111,[19 17] ; [1 3],[18. 18.] ; [2. 2.],0
a7,1,0.325721,0.965836,[104  47] ; [6 5],[102.5308642  48.4691358] ; [7.4691358 3.5308642],0
a3,1,0.330237,0.94797,[115  35] ; [7 4],[113.66459627  36.33540373] ; [8.33540373 2.66459627],0
b2,1,0.372303,0.795963,[37 53] ; [2 6],[35.81632653 54.18367347] ; [3.18367347 4.81632653],0
b3,1,0.372303,0.795963,[37 53] ; [2 6],[35.81632653 54.18367347] ; [3.18367347 4.81632653],0
u1,1,0.380366,0.769517,[ 30 121] ; [ 1 10],[ 28.89506173 122.10493827] ; [2.10493827 8.89506173],0
p11,1,0.3824,0.762972,[114  37] ; [7 4],[112.78395062  38.21604938] ; [8.21604938 2.78395062],0
n4,1,0.398337,0.713341,[104  45] ; [9 2],[105.23125  43.76875] ; [7.76875 3.23125],0
n1,1,0.428045,0.628122,[14 20] ; [3 2],[14.82051282 19.17948718] ; [2.17948718 2.82051282],0
n5,1,0.500336,0.454223,[108  41] ; [9 2],[108.95625  40.04375] ; [8.04375 2.95625],0
d2,1,0.576394,0.312101,[83 68] ; [7 4],[83.88888889 67.11111111] ; [6.11111111 4.88888889],0
v1,1,0.595225,0.282258,[79 68] ; [5 6],[78.15189873 68.84810127] ; [5.84810127 5.15189873],0
u2,1,0.700098,0.14837,[14 21] ; [2 2],[14.35897436 20.64102564] ; [1.64102564 2.35897436],0
a5,1,0.716769,0.13161,[117  34] ; [8 3],[116.51234568  34.48765432] ; [8.48765432 2.51234568],0
s4,1,0.758813,0.094274,[ 33 116] ; [2 9],[ 32.59375 116.40625] ; [2.40625 8.59375],0
b4,1,0.792154,0.06944,[90 61] ; [7 4],[90.41358025 60.58641975] ; [6.58641975 4.41358025],0
n2,1,0.875024,0.024737,[29  6] ; [4 1],[28.875  6.125] ; [4.125 0.875],0
b5,1,0.919998,0.010087,[80 71] ; [6 5],[80.16049383 70.83950617] ; [5.83950617 5.16049383],0
p3,1,0.953754,0.003363,[70 81] ; [5 6],[69.90740741 81.09259259] ; [5.09259259 5.90740741],0
p12,1,0.956229,0.003013,[ 13 138] ; [ 1 10],[ 13.04938272 137.95061728] ; [ 0.95061728 10.04938272],0
a6,1,0.967925,0.001617,[97 54] ; [7 4],[96.9382716 54.0617284] ; [7.0617284 3.9382716],0
a4,1,0.987649,0.00024,[69 82] ; [5 6],[68.97530864 82.02469136] ; [5.02469136 5.97530864],0
p2,1,0.987915,0.000229,[123  27] ; [9 2],[122.98136646  27.01863354] ; [9.01863354 1.98136646],0
