Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.945586,[ 8 38] ; [96 69],[22.67298578 23.32701422] ; [81.32701422 83.67298578],1
p7,1,4e-06,21.288311,[15 29] ; [119  47],[28.07619048 15.92380952] ; [105.92380952  60.07619048],1
n4,1,0.000123,14.741268,[26 20] ; [139  28],[35.63380282 10.36619718] ; [129.36619718  37.63380282],1
p10,1,0.000357,12.746933,[28 18] ; [140  25],[36.62559242  9.37440758] ; [131.37440758  33.62559242],1
p9,1,0.000538,11.979915,[31 15] ; [147  19],[38.62264151  7.37735849] ; [139.37735849  26.62264151],1
p3,1,0.00083,11.173382,[12 34] ; [90 77],[22.02816901 23.97183099] ; [79.97183099 87.02816901],1
a5,1,0.001636,9.919042,[23 23] ; [124  43],[31.74647887 14.25352113] ; [115.25352113  51.74647887],0
d5,1,0.001659,9.892611,[25 21] ; [129  37],[33.41509434 12.58490566] ; [120.58490566  45.41509434],0
u3,1,0.001813,9.730106,[15  6] ; [13 30],[ 9.1875 11.8125] ; [18.8125 24.1875],0
a3,1,0.009128,6.797575,[25 21] ; [124  43],[32.17840376 13.82159624] ; [116.82159624  50.17840376],0
p4,1,0.010996,6.465909,[16 29] ; [95 72],[23.56132075 21.43867925] ; [87.43867925 79.56132075],0
n5,1,0.011054,6.4566,[29 16] ; [137  30],[35.23584906  9.76415094] ; [130.76415094  36.23584906],0
v4,1,0.014983,5.918447,[38  8] ; [155  10],[42.07582938  3.92417062] ; [150.92417062  14.07582938],0
s1,1,0.016711,5.72648,[ 4 40] ; [  3 163],[ 1.46666667 42.53333333] ; [  5.53333333 160.46666667],0
n6,1,0.020248,5.390386,[33 13] ; [144  23],[38.22535211  7.77464789] ; [138.77464789  28.22535211],0
p6,1,0.031,4.652969,[10 35] ; [65 99],[16.14832536 28.85167464] ; [ 58.85167464 105.14832536],0
d1,1,0.039449,4.241416,[15 31] ; [83 84],[21.16431925 24.83568075] ; [76.83568075 90.16431925],0
d4,1,0.042974,4.096425,[28 18] ; [126  40],[33.41509434 12.58490566] ; [120.58490566  45.41509434],0
n1,1,0.05139,3.795524,[10  6] ; [14 27],[6.73684211 9.26315789] ; [17.26315789 23.73684211],0
d3,1,0.057075,3.620404,[14 32] ; [77 90],[19.65258216 26.34741784] ; [71.34741784 95.65258216],0
v3,1,0.062957,3.457723,[11 33] ; [66 98],[16.28846154 27.71153846] ; [ 60.71153846 103.28846154],0
s3,1,0.068289,3.323677,[20 25] ; [99 67],[25.37914692 19.62085308] ; [93.62085308 72.37914692],0
a2,1,0.100716,2.694169,[ 1 45] ; [ 16 151],[ 3.6713615 42.3286385] ; [ 13.3286385 153.6713615],0
s7,1,0.102397,2.667805,[19 27] ; [89 73],[23.88461538 22.11538462] ; [84.11538462 77.88461538],0
b4,1,0.143633,2.138595,[29 17] ; [85 82],[24.61971831 21.38028169] ; [89.38028169 77.61971831],0
b1,1,0.164885,1.928846,[24 22] ; [68 99],[19.8685446 26.1314554] ; [72.1314554 94.8685446],0
r1,1,0.193743,1.68892,[30 16] ; [125  42],[33.4741784 12.5258216] ; [121.5258216  45.4741784],0
n2,1,0.21046,1.56826,[15  2] ; [30 11],[13.18965517  3.81034483] ; [31.81034483  9.18965517],0
p5,1,0.211831,1.55887,[ 3 41] ; [ 23 144],[ 5.42180095 38.57819905] ; [ 20.57819905 146.42180095],0
s6,1,0.234962,1.410569,[26 20] ; [107  55],[29.41346154 16.58653846] ; [103.58653846  58.41346154],0
u1,1,0.250399,1.321075,[ 1 45] ; [ 11 156],[ 2.5915493 43.4084507] ; [  9.4084507 157.5915493],0
a1,1,0.30066,1.071264,[ 1 45] ; [ 10 157],[ 2.37558685 43.62441315] ; [  8.62441315 158.37558685],0
n3,1,0.327948,0.956985,[13  3] ; [28 13],[11.50877193  4.49122807] ; [29.49122807 11.50877193],0
v1,1,0.345199,0.891026,[21 24] ; [89 74],[23.79807692 21.20192308] ; [86.20192308 76.79807692],0
v2,1,0.345776,0.888898,[17 24] ; [81 82],[19.69607843 21.30392157] ; [78.30392157 84.69607843],0
a6,1,0.371913,0.797262,[17 29] ; [74 93],[19.65258216 26.34741784] ; [71.34741784 95.65258216],0
r3,1,0.419875,0.650664,[44  2] ; [154  13],[42.76056338  3.23943662] ; [155.23943662  11.76056338],0
r2,1,0.436214,0.606221,[40  6] ; [149  15],[41.4  4.6] ; [147.6  16.4],0
s5,1,0.456377,0.554766,[14 29] ; [62 98],[16.09852217 26.90147783] ; [ 59.90147783 100.09852217],0
b5,1,0.492718,0.470585,[23 23] ; [74 93],[20.94835681 25.05164319] ; [76.05164319 90.94835681],0
p1,1,0.505339,0.443706,[ 5 41] ; [ 13 154],[ 3.88732394 42.11267606] ; [ 14.11267606 152.88732394],0
a8,1,0.577857,0.309712,[ 4 42] ; [ 18 137],[ 5.03482587 40.96517413] ; [ 16.96517413 138.03482587],0
p12,1,0.63582,0.224251,[ 4 42] ; [ 11 154],[ 3.27014218 42.72985782] ; [ 11.72985782 153.27014218],0
s2,1,0.65512,0.199506,[20 25] ; [80 86],[21.32701422 23.67298578] ; [78.67298578 87.32701422],0
a4,1,0.692129,0.156791,[19 27] ; [74 92],[20.17924528 25.82075472] ; [72.82075472 93.17924528],0
r4,1,0.842805,0.039325,[38  8] ; [140  27],[38.44131455  7.55868545] ; [139.55868545  27.44131455],0
s4,1,0.891347,0.018659,[ 9 37] ; [ 31 135],[ 8.67924528 37.32075472] ; [ 31.32075472 134.67924528],0
b2,1,0.916791,0.010915,[13 18] ; [49 65],[13.25517241 17.74482759] ; [48.74482759 65.25517241],0
b3,1,0.916791,0.010915,[13 18] ; [49 65],[13.25517241 17.74482759] ; [48.74482759 65.25517241],0
u4,1,0.930053,0.007705,[ 1 45] ; [  4 163],[ 1.07981221 44.92018779] ; [  3.92018779 163.07981221],0
d2,1,0.939277,0.005803,[21 24] ; [79 88],[21.22641509 23.77358491] ; [78.77358491 88.22641509],0
u2,1,0.951741,0.003663,[11  9] ; [24 19],[11.11111111  8.88888889] ; [23.88888889 19.11111111],0
s8,1,0.992508,8.8e-05,[22 24] ; [80 87],[22.02816901 23.97183099] ; [79.97183099 87.02816901],0
