Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,41.593704,[ 2 46] ; [59 39],[20.05479452 27.94520548] ; [40.94520548 57.05479452],1
d4,1,4e-06,21.286401,[22 25] ; [82 16],[33.71034483 13.28965517] ; [70.28965517 27.71034483],1
d3,1,0.000127,14.678772,[20 28] ; [72 25],[30.45517241 17.54482759] ; [61.54482759 35.45517241],1
d2,1,0.000677,11.551038,[ 7 41] ; [42 56],[16.10958904 31.89041096] ; [32.89041096 65.10958904],1
a5,1,0.002179,9.392566,[14 34] ; [55 43],[22.68493151 25.31506849] ; [46.31506849 51.68493151],0
a8,1,0.002379,9.231509,[ 6 39] ; [ 1 90],[ 2.31617647 42.68382353] ; [ 4.68382353 86.31617647],0
a3,1,0.003344,8.609602,[17 31] ; [60 38],[25.31506849 22.68493151] ; [51.68493151 46.31506849],0
r2,1,0.00451,8.066133,[35 13] ; [89  9],[40.76712329  7.23287671] ; [83.23287671 14.76712329],0
a4,1,0.01002,6.631346,[ 5 43] ; [29 69],[11.17808219 36.82191781] ; [22.82191781 75.17808219],0
a7,1,0.017905,5.605419,[27 21] ; [74 24],[33.20547945 14.79452055] ; [67.79452055 30.20547945],0
v4,1,0.026642,4.91386,[37 10] ; [89  8],[41.125  5.875] ; [84.875 12.125],0
r1,1,0.04773,3.91947,[24 24] ; [65 32],[29.46206897 18.53793103] ; [59.53793103 37.46206897],0
a2,1,0.058871,3.568917,[ 1 47] ; [11 87],[ 3.94520548 44.05479452] ; [ 8.05479452 89.94520548],0
p5,1,0.069394,3.297291,[ 4 43] ; [ 2 95],[ 1.95833333 45.04166667] ; [ 4.04166667 92.95833333],0
r4,1,0.070369,3.274387,[31 17] ; [77 21],[35.50684932 12.49315068] ; [72.49315068 25.50684932],0
u3,1,0.070929,3.2614,[12 18] ; [23 14],[15.67164179 14.32835821] ; [19.32835821 17.67164179],0
p11,1,0.08696,2.929766,[34 14] ; [55 43],[29.26027397 18.73972603] ; [59.73972603 38.26027397],0
