Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,26.262382,[595 100] ; [5 9],[588.15232722 106.84767278] ; [11.84767278  2.15232722],1
p5,1,2.4e-05,17.820296,[ 83 609] ; [7 7],[ 88.21529745 603.78470255] ; [ 1.78470255 12.21529745],1
v4,1,0.001351,10.270932,[685  13] ; [12  2],[683.29494382  14.70505618] ; [13.70505618  0.29494382],0
s7,1,0.008574,6.90938,[348 319] ; [ 2 11],[343.30882353 323.69117647] ; [6.69117647 6.30882353],0
s2,1,0.017395,5.656091,[369 321] ; [ 3 11],[364.60227273 325.39772727] ; [7.39772727 6.60227273],0
n2,1,0.017771,5.618618,[106  32] ; [1 3],[103.98591549  34.01408451] ; [3.01408451 0.98591549],0
s3,1,0.029979,4.710519,[395 291] ; [ 4 10],[391.02 294.98] ; [7.98 6.02],0
a5,1,0.031934,4.602058,[524 173] ; [7 7],[520.5443038 176.4556962] ; [10.4556962  3.5443038],0
v1,1,0.039734,4.229207,[383 299] ; [ 4 10],[379.21551724 302.78448276] ; [7.78448276 6.21551724],0
d1,1,0.058108,3.590589,[424 274] ; [5 9],[420.56460674 277.43539326] ; [8.43539326 5.56460674],0
a4,1,0.061975,3.48373,[323 371] ; [ 3 11],[319.55367232 374.44632768] ; [6.44632768 7.55367232],0
n4,1,0.085508,2.956979,[572 124] ; [9 5],[569.54366197 126.45633803] ; [11.45633803  2.54366197],0
a8,1,0.103304,2.653777,[ 92 541] ; [4 9],[ 94.06811146 538.93188854] ; [ 1.93188854 11.06811146],0
u2,1,0.1339,2.246697,[101  92] ; [5 1],[102.8040201  90.1959799] ; [3.1959799 2.8040201],0
s8,1,0.165483,1.923395,[327 365] ; [ 4 10],[324.43626062 367.56373938] ; [6.56373938 7.43626062],0
a3,1,0.204906,1.607057,[503 191] ; [8 6],[500.89548023 193.10451977] ; [10.10451977  3.89548023],0
p3,1,0.224836,1.473238,[362 333] ; [5 9],[359.75317348 335.24682652] ; [7.24682652 6.75317348],0
n3,1,0.250361,1.321286,[104  34] ; [2 2],[103.01408451  34.98591549] ; [2.98591549 1.01408451],0
v2,1,0.258001,1.279454,[390 283] ; [6 8],[387.930131 285.069869] ; [8.069869 5.930131],0
p11,1,0.276898,1.182251,[569 129] ; [13  1],[570.55617978 127.44382022] ; [11.44382022  2.55617978],0
d4,1,0.28429,1.146469,[574 122] ; [10  4],[572.48450704 123.51549296] ; [11.51549296  2.48450704],0
d5,1,0.324126,0.972226,[569 127] ; [10  4],[567.58309859 128.41690141] ; [11.41690141  2.58309859],0
p8,1,0.367375,0.812525,[376 308] ; [6 8],[374.33810888 309.66189112] ; [7.66189112 6.33810888],0
a7,1,0.377345,0.779333,[519 176] ; [9 5],[517.57404795 177.42595205] ; [10.42595205  3.57404795],0
b5,1,0.382485,0.762698,[418 280] ; [10  4],[419.58426966 278.41573034] ; [8.41573034 5.58426966],0
n5,1,0.382998,0.761058,[562 134] ; [10  4],[560.72112676 135.27887324] ; [11.27887324  2.72112676],0
p6,1,0.421391,0.646431,[269 418] ; [ 4 10],[267.54778887 419.45221113] ; [5.45221113 8.54778887],0
p4,1,0.458278,0.550096,[427 265] ; [10  4],[428.33427762 263.66572238] ; [8.66572238 5.33427762],0
p12,1,0.462383,0.540121,[ 60 632] ; [ 2 12],[ 60.77053824 631.22946176] ; [ 1.22946176 12.77053824],0
p9,1,0.510363,0.433322,[596  90] ; [13  1],[596.82  89.18] ; [12.18  1.82],0
p10,1,0.547547,0.361731,[582 107] ; [11  3],[581.19061166 107.80938834] ; [11.80938834  2.19061166],0
b1,1,0.560927,0.338102,[252 446] ; [ 4 10],[250.96629213 447.03370787] ; [5.03370787 8.96629213],0
p2,1,0.561295,0.337467,[585 109] ; [11  3],[584.21468927 109.78531073] ; [11.78531073  2.21468927],0
s6,1,0.584981,0.298251,[482 197] ; [9 5],[481.08080808 197.91919192] ; [9.91919192 4.08080808],0
v3,1,0.62542,0.238323,[285 390] ; [5 9],[284.10740203 390.89259797] ; [5.89259797 8.10740203],0
b4,1,0.645676,0.211395,[406 292] ; [9 5],[406.83988764 291.16011236] ; [8.16011236 5.83988764],0
d3,1,0.646227,0.210691,[487 209] ; [9 5],[486.21971831 209.78028169] ; [9.78028169 4.21971831],0
a1,1,0.652124,0.203232,[ 32 666] ; [ 1 13],[ 32.3511236 665.6488764] ; [ 0.6488764 13.3511236],0
s5,1,0.657483,0.196596,[248 421] ; [6 8],[248.79355783 420.20644217] ; [5.20644217 8.79355783],0
u3,1,0.725097,0.123661,[111  83] ; [3 3],[110.58  83.42] ; [3.42 2.58],0
a6,1,0.734834,0.11472,[477 219] ; [9 5],[476.41690141 219.58309859] ; [9.58309859 4.41690141],0
p1,1,0.814571,0.055006,[ 62 631] ; [ 1 13],[ 61.75247525 631.24752475] ; [ 1.24752475 12.75247525],0
b3,1,0.844271,0.038586,[167 259] ; [3 4],[167.2517321 258.7482679] ; [2.7482679 4.2517321],0
b2,1,0.844271,0.038586,[167 259] ; [3 4],[167.2517321 258.7482679] ; [2.7482679 4.2517321],0
p7,1,0.870056,0.026761,[452 229] ; [9 5],[451.71366906 229.28633094] ; [9.28633094 4.71366906],0
d2,1,0.991506,0.000113,[349 347] ; [7 7],[348.98028169 347.01971831] ; [7.01971831 6.98028169],0
