Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.00384,8.357924,[14 13] ; [19 65],[ 8.02702703 18.97297297] ; [24.97297297 59.02702703],0
v2,1,0.008285,6.97075,[14 12] ; [21 60],[ 8.5046729 17.4953271] ; [26.4953271 54.5046729],0
r1,1,0.011261,6.423611,[21  6] ; [42 42],[15.32432432 11.67567568] ; [47.67567568 36.32432432],0
r2,1,0.031773,4.61069,[26  1] ; [65 18],[22.33636364  4.66363636] ; [68.66363636 14.33636364],0
v1,1,0.03402,4.493709,[14 11] ; [27 56],[ 9.49074074 15.50925926] ; [31.50925926 51.49074074],0
p3,1,0.039476,4.24028,[12 15] ; [20 64],[ 7.78378378 19.21621622] ; [24.21621622 59.78378378],0
a6,1,0.040848,4.182327,[16 11] ; [31 53],[11.43243243 15.56756757] ; [35.56756757 48.43243243],0
a4,1,0.042185,4.127751,[ 7 20] ; [40 43],[11.53636364 15.46363636] ; [35.46363636 47.53636364],0
r4,1,0.042852,4.101219,[21  6] ; [47 37],[16.54054054 10.45945946] ; [51.45945946 32.54054054],0
p6,1,0.053872,3.716659,[ 6 21] ; [ 7 76],[ 3.19090909 23.80909091] ; [ 9.80909091 73.19090909],0
u1,1,0.057081,3.620216,[ 3 24] ; [ 2 82],[ 1.21621622 25.78378378] ; [ 3.78378378 80.21621622],0
s6,1,0.066839,3.359,[18  9] ; [38 44],[13.87155963 13.12844037] ; [42.12844037 39.87155963],0
a5,1,0.075401,3.161344,[20  7] ; [46 38],[16.05405405 10.94594595] ; [49.94594595 34.05405405],0
a3,1,0.085683,2.953672,[21  6] ; [50 34],[17.27027027  9.72972973] ; [53.72972973 30.27027027],0
s3,1,0.09572,2.77545,[15 12] ; [31 52],[11.29090909 15.70909091] ; [34.70909091 48.29090909],0
u2,1,0.109454,2.562092,[4 2] ; [11 23],[2.25 3.75] ; [12.75 21.25],0
s2,1,0.112448,2.519478,[13 14] ; [26 57],[ 9.57272727 17.42727273] ; [29.42727273 53.57272727],0
n4,1,0.173958,1.848502,[22  5] ; [57 27],[19.21621622  7.78378378] ; [59.78378378 24.21621622],0
r3,1,0.2247,1.4741,[23  4] ; [62 22],[20.67567568  6.32432432] ; [64.32432432 19.67567568],0
p4,1,0.23646,1.401575,[11 16] ; [24 60],[ 8.51351351 18.48648649] ; [26.48648649 57.51351351],0
d2,1,0.236499,1.401343,[ 9 18] ; [38 44],[11.64220183 15.35779817] ; [35.35779817 46.64220183],0
a1,1,0.237725,1.394035,[ 3 24] ; [ 4 80],[ 1.7027027 25.2972973] ; [ 5.2972973 78.7027027],0
s1,1,0.237725,1.394035,[ 3 24] ; [ 4 80],[ 1.7027027 25.2972973] ; [ 5.2972973 78.7027027],0
s7,1,0.242673,1.365,[12 13] ; [28 52],[ 9.52380952 15.47619048] ; [30.47619048 49.52380952],0
v4,1,0.258712,1.275639,[23  4] ; [62 21],[20.86363636  6.13636364] ; [64.13636364 18.86363636],0
a8,1,0.287633,1.130667,[ 1 24] ; [ 9 72],[ 2.35849057 22.64150943] ; [ 7.64150943 73.35849057],0
s5,1,0.295511,1.094342,[ 4 22] ; [20 59],[ 5.94285714 20.05714286] ; [18.05714286 60.94285714],0
d1,1,0.312045,1.022002,[ 8 19] ; [34 50],[10.21621622 16.78378378] ; [31.78378378 52.21621622],0
b4,1,0.325544,0.966543,[18  9] ; [47 37],[15.81081081 11.18918919] ; [49.18918919 34.81081081],0
n3,1,0.357725,0.845865,[5 2] ; [20 18],[3.88888889 3.11111111] ; [21.11111111 16.88888889],0
p8,1,0.360232,0.837085,[ 7 20] ; [15 69],[ 5.35135135 21.64864865] ; [16.64864865 67.35135135],0
b5,1,0.413823,0.667791,[13 14] ; [48 36],[14.83783784 12.16216216] ; [46.16216216 37.83783784],0
n6,1,0.415626,0.662651,[18  9] ; [62 21],[19.63636364  7.36363636] ; [60.36363636 22.63636364],0
a2,1,0.41839,0.654834,[ 1 26] ; [ 7 77],[ 1.94594595 25.05405405] ; [ 6.05405405 77.94594595],0
d3,1,0.471141,0.519298,[ 7 20] ; [28 56],[ 8.51351351 18.48648649] ; [26.48648649 57.51351351],0
p2,1,0.479027,0.501078,[13 14] ; [47 37],[14.59459459 12.40540541] ; [45.40540541 38.59459459],0
b1,1,0.54193,0.371974,[12 15] ; [43 41],[13.37837838 13.62162162] ; [41.62162162 42.37837838],0
n2,1,0.553496,0.351091,[6 2] ; [25 14],[5.27659574 2.72340426] ; [25.72340426 13.27659574],0
s4,1,0.560089,0.33955,[ 3 24] ; [13 70],[ 3.92727273 23.07272727] ; [12.07272727 70.92727273],0
d5,1,0.59331,0.285205,[17 10] ; [48 36],[15.81081081 11.18918919] ; [49.18918919 34.81081081],0
p5,1,0.596919,0.279667,[ 2 25] ; [ 4 80],[ 1.45945946 25.54054054] ; [ 4.54054054 79.45945946],0
p12,1,0.606964,0.26462,[ 2 25] ; [ 4 79],[ 1.47272727 25.52727273] ; [ 4.52727273 78.47272727],0
d4,1,0.637809,0.221619,[16 11] ; [54 30],[17.02702703  9.97297297] ; [52.97297297 31.02702703],0
n1,1,0.640026,0.218708,[4 4] ; [16 23],[3.40425532 4.59574468] ; [16.59574468 22.40425532],0
