Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,124.532665,[ 6 39] ; [256  36],[34.9851632 10.0148368] ; [227.0148368  64.9851632],1
v4,1,0.0,44.869882,[25 20] ; [267  24],[39.10714286  5.89285714] ; [252.89285714  38.10714286],1
p11,1,0.0,36.7043,[14 31] ; [221  71],[31.37982196 13.62017804] ; [203.62017804  88.37982196],1
r2,1,0.0,35.163985,[25 18] ; [263  26],[37.30120482  5.69879518] ; [250.69879518  38.30120482],1
p9,1,0.0,30.861765,[14 27] ; [221  69],[29.10876133 11.89123867] ; [205.89123867  84.10876133],1
p2,1,0.0,28.257877,[19 26] ; [231  60],[33.48214286 11.51785714] ; [216.51785714  74.48214286],1
p10,1,1e-06,24.947206,[15 29] ; [209  81],[29.50898204 14.49101796] ; [194.49101796  95.50898204],1
s6,1,2e-06,22.856559,[ 9 35] ; [170 118],[23.72289157 20.27710843] ; [155.27710843 132.72289157],1
r1,1,8e-06,20.007652,[17 28] ; [208  83],[30.13392857 14.86607143] ; [194.86607143  96.13392857],1
n6,1,6.4e-05,15.96608,[23 21] ; [233  59],[33.52380952 10.47619048] ; [222.47619048  69.52380952],1
p7,1,0.000632,11.678982,[13 31] ; [164 123],[23.52870091 20.47129909] ; [153.47129909 133.52870091],1
d5,1,0.000788,11.269414,[24 21] ; [224  67],[33.21428571 11.78571429] ; [214.78571429  76.21428571],1
s2,1,0.000989,10.847617,[ 8 37] ; [127 164],[18.08035714 26.91964286] ; [116.91964286 174.08035714],1
a1,1,0.00191,9.634354,[ 6 39] ; [  9 283],[ 2.00296736 42.99703264] ; [ 12.99703264 279.00296736],0
a7,1,0.002227,9.352577,[21 24] ; [203  88],[30. 15.] ; [194.  97.],0
d4,1,0.003409,8.574308,[26 19] ; [227  64],[33.88392857 11.11607143] ; [219.11607143  71.88392857],0
a6,1,0.004335,8.137881,[20 25] ; [194  98],[28.57566766 16.42433234] ; [185.42433234 106.57566766],0
p4,1,0.006041,7.537886,[13 32] ; [148 143],[21.5625 23.4375] ; [139.4375 151.5625],0
p8,1,0.006203,7.49031,[10 33] ; [132 159],[18.28143713 24.71856287] ; [123.71856287 167.28143713],0
n3,1,0.006744,7.339823,[11 15] ; [62 25],[16.79646018  9.20353982] ; [56.20353982 30.79646018],0
d3,1,0.014822,5.937456,[21 24] ; [190 100],[28.34328358 16.65671642] ; [182.65671642 107.34328358],0
p6,1,0.020095,5.403607,[ 6 38] ; [ 89 202],[12.47761194 31.52238806] ; [ 82.52238806 208.47761194],0
v2,1,0.021504,5.285445,[ 6 38] ; [ 86 197],[12.37920489 31.62079511] ; [ 79.62079511 203.37920489],0
n2,1,0.022817,5.182401,[11 15] ; [59 29],[15.96491228 10.03508772] ; [54.03508772 33.96491228],0
p1,1,0.026393,4.930061,[ 7 38] ; [ 18 272],[ 3.35820896 41.64179104] ; [ 21.64179104 268.35820896],0
s3,1,0.039339,4.246173,[15 28] ; [151 141],[21.30746269 21.69253731] ; [144.69253731 147.30746269],0
b1,1,0.03965,4.232799,[26 19] ; [121 171],[19.62908012 25.37091988] ; [127.37091988 164.62908012],0
s8,1,0.041852,4.14119,[ 7 37] ; [ 90 202],[12.70238095 31.29761905] ; [ 84.29761905 207.70238095],0
p3,1,0.075323,3.163043,[11 34] ; [111 180],[16.33928571 28.66071429] ; [105.66071429 185.33928571],0
s7,1,0.08469,2.972523,[10 30] ; [111 173],[14.9382716 25.0617284] ; [106.0617284 177.9382716],0
u1,1,0.088699,2.897829,[ 2 43] ; [ 39 253],[ 5.47477745 39.52522255] ; [ 35.52522255 256.47477745],0
d1,1,0.097951,2.738595,[17 28] ; [149 143],[22.16617211 22.83382789] ; [143.83382789 148.16617211],0
a5,1,0.105345,2.622704,[23 22] ; [186 106],[27.90801187 17.09198813] ; [181.09198813 110.90801187],0
s1,1,0.122504,2.385007,[ 4 41] ; [ 11 280],[ 2.00892857 42.99107143] ; [ 12.99107143 278.00892857],0
u3,1,0.127745,2.3197,[ 7 15] ; [55 56],[10.2556391 11.7443609] ; [51.7443609 59.2556391],0
a2,1,0.134594,2.238697,[ 4 41] ; [ 52 240],[ 7.47774481 37.52225519] ; [ 48.52225519 243.47774481],0
a8,1,0.202328,1.625492,[ 2 40] ; [ 31 246],[ 4.34482759 37.65517241] ; [ 28.65517241 248.34482759],0
n5,1,0.218895,1.511598,[32 13] ; [178 111],[28.29341317 16.70658683] ; [181.70658683 107.29341317],0
a3,1,0.254202,1.30006,[23 21] ; [179 113],[26.45238095 17.54761905] ; [175.54761905 116.45238095],0
s5,1,0.313839,1.014451,[ 8 36] ; [ 71 211],[10.66257669 33.33742331] ; [ 68.33742331 213.66257669],0
u2,1,0.37083,0.80088,[ 9 13] ; [57 54],[10.91729323 11.08270677] ; [55.08270677 55.91729323],0
n1,1,0.379946,0.770876,[11 15] ; [29 59],[ 9.12280702 16.87719298] ; [30.87719298 57.12280702],0
s4,1,0.402701,0.700246,[11 34] ; [ 55 233],[ 8.91891892 36.08108108] ; [ 57.08108108 230.91891892],0
a4,1,0.427995,0.628257,[14 30] ; [111 181],[16.36904762 27.63095238] ; [108.63095238 183.36904762],0
p5,1,0.464423,0.535214,[ 4 40] ; [ 18 274],[ 2.88095238 41.11904762] ; [ 19.11904762 272.88095238],0
b2,1,0.503346,0.447875,[11 22] ; [ 41 108],[ 9.42857143 23.57142857] ; [ 42.57142857 106.42857143],0
b3,1,0.503346,0.447875,[11 22] ; [ 41 108],[ 9.42857143 23.57142857] ; [ 42.57142857 106.42857143],0
b5,1,0.657972,0.195996,[24 21] ; [166 126],[25.37091988 19.62908012] ; [164.62908012 127.37091988],0
p12,1,0.670132,0.181448,[ 1 44] ; [ 10 281],[ 1.47321429 43.52678571] ; [  9.52678571 281.47321429],0
b4,1,0.740038,0.110093,[26 19] ; [161 131],[24.97032641 20.02967359] ; [162.02967359 129.97032641],0
d2,1,0.755158,0.097247,[20 24] ; [125 166],[19.04477612 24.95522388] ; [125.95522388 165.04477612],0
n4,1,0.899122,0.016071,[29 16] ; [191 101],[29.3768546 15.6231454] ; [190.6231454 101.3768546],0
