Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.9e-05,15.149254,[ 3 35] ; [12 11],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],1
r3,1,0.033545,4.517762,[17 20] ; [17  6],[20.96666667 16.03333333] ; [13.03333333  9.96666667],0
v2,1,0.033878,4.500844,[ 8 29] ; [11 12],[11.71666667 25.28333333] ; [ 7.28333333 15.71666667],0
u2,1,0.036966,4.351974,[ 3 15] ; [5 4],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
n5,1,0.041517,4.15478,[28 10] ; [11 12],[24.29508197 13.70491803] ; [14.70491803  8.29508197],0
a6,1,0.0593,3.556853,[21 17] ; [ 7 16],[17.44262295 20.55737705] ; [10.55737705 12.44262295],0
s6,1,0.062715,3.464093,[ 8 30] ; [10 13],[11.21311475 26.78688525] ; [ 6.78688525 16.21311475],0
p2,1,0.082119,3.022448,[11 26] ; [12 11],[14.18333333 22.81666667] ; [ 8.81666667 14.18333333],0
r2,1,0.095504,2.779059,[15 20] ; [15  8],[18.10344828 16.89655172] ; [11.89655172 11.10344828],0
b5,1,0.104863,2.629987,[23 15] ; [ 9 14],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
a4,1,0.188746,1.72738,[10 27] ; [10 13],[12.33333333 24.66666667] ; [ 7.66666667 15.33333333],0
d4,1,0.206704,1.594363,[22 16] ; [17  6],[24.29508197 13.70491803] ; [14.70491803  8.29508197],0
n2,1,0.233703,1.418182,[6 9] ; [7 4],[7.5 7.5] ; [5.5 5.5],0
s2,1,0.237065,1.397961,[ 7 31] ; [ 7 15],[ 8.86666667 29.13333333] ; [ 5.13333333 16.86666667],0
p1,1,0.262796,1.253966,[ 5 33] ; [ 1 22],[ 3.73770492 34.26229508] ; [ 2.26229508 20.73770492],0
s3,1,0.269796,1.217786,[10 27] ; [ 9 13],[11.91525424 25.08474576] ; [ 7.08474576 14.91525424],0
p8,1,0.305174,1.051448,[ 7 30] ; [ 7 16],[ 8.63333333 28.36666667] ; [ 5.36666667 17.63333333],0
v1,1,0.327138,0.960193,[10 27] ; [ 9 14],[11.71666667 25.28333333] ; [ 7.28333333 15.71666667],0
s7,1,0.367757,0.81123,[ 6 31] ; [ 5 14],[ 7.26785714 29.73214286] ; [ 3.73214286 15.26785714],0
s8,1,0.380283,0.769787,[ 5 33] ; [ 5 18],[ 6.2295082 31.7704918] ; [ 3.7704918 19.2295082],0
d1,1,0.385821,0.752073,[14 24] ; [ 6 17],[12.45901639 25.54098361] ; [ 7.54098361 15.45901639],0
